,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
Lat,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Long,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,98.21,98.7,98.12,96.53,95.64,95.82,94.89,95.2,91.81,91.89,93.64,96.21,97.7,95.21,96.19,95.55,98.3,98.75,95.67,93.36,97.69,98.48,98.41,98.04,98.44,101.07,94.98,91.16,93.12,96.97,95.75,95.47,96.25,97.7,100,100.3,98.46,98.02,95.6,97.84,97.75,98.55,98.76,96.33,100.23,99.29,101.85,102.91,103.54,104.66,103.34,103.99,105.05,99.12,101.04
apparentTemperatureHighTime,1579681020,1579763640,1579852440,1579936560,1580025240,1580111700,1580198160,1580284800,1580371080,1580457480,1580543940,1580630220,1580716260,1580802780,1580889000,1580976000,1581062220,1581148800,1581234840,1581321300,1581407820,1581493980,1581579900,1581666720,1581753300,1581839940,1581929340,1582012440,1582099560,1582185480,1582271820,1582358220,1582444680,1582530960,1582617060,1582703820,1582790340,1582878180,1582961220,1583047740,1583122980,1583221200,1583308620,1583395500,1583481000,1583567460,1583638200,1583740800,1583827140,1583913600,1583999940,1584086400,1584172560,1584257820,1584342000
apparentTemperatureLow,74.4,76.22,75.22,74.7,70.96,71.46,67.69,67.51,67.05,63.48,67.54,69.03,73.71,72.46,73.35,75.23,71.65,72.87,68.81,73.3,75.57,77,77.8,75.03,71.44,68.77,68.08,69.82,68.39,69.7,69.33,69.84,67.34,64.55,68.66,66.38,74.36,77.78,77.19,79.11,76.02,78.91,75.46,75.38,76.29,78.4,78.26,76.32,77.94,81.6,81.15,85.93,78,77.42,81.94
apparentTemperatureLowTime,1579734420,1579822620,1579906620,1579992900,1580076120,1580165100,1580254020,1580340600,1580425260,1580511780,1580597100,1580686260,1580770800,1580858880,1580945220,1581032700,1581116760,1581203760,1581290220,1581375180,1581460740,1581550140,1581631020,1581723120,1581802560,1581893640,1581981000,1582068660,1582150200,1582241580,1582326900,1582413000,1582495380,1582583100,1582670400,1582755720,1582843740,1582927800,1583019240,1583105820,1583186520,1583274240,1583359860,1583446800,1583532240,1583618820,1583708040,1583794320,1583882940,1583967240,1584053640,1584139320,1584228660,1584310380,1584398280
apparentTemperatureMax,98.21,98.7,98.12,96.53,95.64,95.82,94.89,95.2,91.81,91.89,93.64,96.21,97.7,95.21,96.19,95.55,98.3,98.75,95.67,93.36,97.69,98.48,98.41,98.04,98.44,101.07,94.98,91.16,93.12,96.97,95.75,95.47,96.25,97.7,100,100.3,98.46,98.02,95.6,97.84,97.75,98.55,98.76,96.33,100.23,99.29,101.85,102.91,103.54,104.66,103.34,103.99,105.05,99.12,101.04
apparentTemperatureMaxTime,1579681020,1579763640,1579852440,1579936560,1580025240,1580111700,1580198160,1580284800,1580371080,1580457480,1580543940,1580630220,1580716260,1580802780,1580889000,1580976000,1581062220,1581148800,1581234840,1581321300,1581407820,1581493980,1581579900,1581666720,1581753300,1581839940,1581929340,1582012440,1582099560,1582185480,1582271820,1582358220,1582444680,1582530960,1582617060,1582703820,1582790340,1582878180,1582961220,1583047740,1583122980,1583221200,1583308620,1583395500,1583481000,1583567460,1583638200,1583740800,1583827140,1583913600,1583999940,1584086400,1584172560,1584257820,1584342000
