,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo
Lat,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195,8.6195
Long,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248,0.8248
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,95.82,95.11,93.8,94.16,94.82,94.93,95.07,98.19,97.61,96.74,95.94,95.47,96.08,96.23,95.07,95.66,96.87,98.74,98.24,97.23,96.45,94.73,95.38,97.29,98.47,99.11,99.74,99.36,98.54,98.43,99.1,101.58,100.78,100.73,98.43,100.17,99.4,98.98,102.98,100.49,105.55,103.06,103.45,97.95,102.09,99.93,101.75,106.92,106.52,101.61,101.14,103.73,102.19,98.32,100.85
apparentTemperatureHighTime,1579701360,1579787940,1579874280,1579960020,1580047440,1580133300,1580219760,1580306100,1580392560,1580478900,1580565480,1580651700,1580737920,1580824920,1580910900,1580997420,1581083640,1581169920,1581256620,1581342840,1581431160,1581516060,1581602400,1581688560,1581775200,1581861660,1581947760,1582031820,1582120140,1582207140,1582293420,1582379820,1582466460,1582552260,1582639080,1582727100,1582810260,1582897620,1582984620,1583068200,1583147340,1583233260,1583318280,1583415540,1583499060,1583579940,1583671920,1583757000,1583841720,1583933280,1584014160,1584097560,1584194400,1584280320,1584363600
apparentTemperatureLow,69.1,67.36,67.59,64.1,62.04,65.17,69.12,65.89,64.32,65.84,67.31,65.5,61.14,63.09,65.44,68.18,69.16,68.91,69.41,73.49,70.04,65.75,66.29,67.73,67.46,66.17,68.9,67.58,67.5,69.88,70.75,72.53,72.16,69.07,67.29,67.5,70.72,73.42,70.81,74.09,73.02,73.32,74.02,74.32,72.62,72.24,75.44,74.18,73.66,73.95,76.5,74.02,74.36,74.36,77.12
apparentTemperatureLowTime,1579756260,1579842780,1579930440,1580017020,1580101620,1580189340,1580274000,1580360520,1580447100,1580533200,1580619900,1580706000,1580792820,1580879400,1580967540,1581053880,1581137760,1581225360,1581310500,1581398220,1581484920,1581571140,1581656520,1581742740,1581829680,1581916080,1582002120,1582089000,1582175160,1582261500,1582349400,1582435140,1582521000,1582607280,1582695300,1582779900,1582866120,1582953120,1583039280,1583125140,1583211600,1583298360,1583386680,1583473200,1583558520,1583644680,1583731260,1583816580,1583902680,1583990100,1584077220,1584163140,1584248580,1584335100,1584422160
apparentTemperatureMax,95.82,95.11,93.8,94.16,94.82,94.93,95.07,98.19,97.61,96.74,95.94,95.47,96.08,96.23,95.07,95.66,96.87,98.74,98.24,97.23,96.45,94.73,95.38,97.29,98.47,99.11,99.74,99.36,98.54,98.43,99.1,101.58,100.78,100.73,98.43,100.17,99.4,98.98,102.98,100.49,105.55,103.06,103.45,97.95,102.09,99.93,101.75,106.92,106.52,101.61,101.14,103.73,102.19,98.32,100.85
apparentTemperatureMaxTime,1579701360,1579787940,1579874280,1579960020,1580047440,1580133300,1580219760,1580306100,1580392560,1580478900,1580565480,1580651700,1580737920,1580824920,1580910900,1580997420,1581083640,1581169920,1581256620,1581342840,1581431160,1581516060,1581602400,1581688560,1581775200,1581861660,1581947760,1582031820,1582120140,1582207140,1582293420,1582379820,1582466460,1582552260,1582639080,1582727100,1582810260,1582897620,1582984620,1583068200,1583147340,1583233260,1583318280,1583415540,1583499060,1583579940,1583671920,1583757000,1583841720,1583933280,1584014160,1584097560,1584194400,1584280320,1584363600
