,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey
Lat,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637,38.9637
Long,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433,35.2433
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,28.21,30.2,17.71,40.23,46.68,46.02,43.9,41.68,39.29,20.31,26.49,36.13,38.49,35.75,45.75,50.19,38.12,13.03,10.78,18.74,22.49,33.8,31.76,30.09,36.57,31.8,32.64,37.05,38.83,37.76,40.42,40.19,41.78,45.04,39.4,53.28,56.84,53.87,50.13,38.72,54.26,60.12,64.16,63.13,56.64,61.86,66.02,69.88,63.79,64.8,66.76,58.48,60.02,62.56,33.22
apparentTemperatureHighTime,1579705440,1579776180,1579859940,1579957320,1580036700,1580123100,1580205960,1580295840,1580378040,1580468400,1580572140,1580641320,1580727480,1580827440,1580900040,1580983080,1581066540,1581134400,1581245760,1581336420,1581430380,1581522960,1581566400,1581678240,1581765900,1581850380,1581937140,1582024140,1582110120,1582196460,1582282800,1582368840,1582453740,1582542300,1582632180,1582715340,1582801440,1582884960,1582973760,1583059860,1583155080,1583233320,1583319900,1583406000,1583500140,1583582520,1583665320,1583751780,1583834280,1583932380,1584010740,1584092760,1584194340,1584265920,1584331200
apparentTemperatureLow,14.09,11.32,12.24,14.86,17.44,26,29.22,23.98,14.63,12.04,22.82,17.18,28.11,27.27,34.51,28.59,11.52,-1.12,4.04,-10.37,13.52,27.81,5.82,14.98,20.41,12.86,5.88,12.84,13.11,19.95,29.91,28.27,26.69,27.13,18.2,22.49,32.33,31.47,28.39,22.77,27.12,26.93,30.44,41.08,36.41,34.57,34.49,50.74,34.03,38.43,44.34,45.32,39.25,30.99,13.09
apparentTemperatureLowTime,1579746000,1579834620,1579924620,1580014380,1580098800,1580169000,1580255220,1580341200,1580446800,1580515260,1580600640,1580686140,1580757360,1580859960,1580955000,1581045120,1581119520,1581205740,1581292560,1581378720,1581463800,1581570000,1581655200,1581724080,1581825420,1581911100,1581996480,1582082880,1582165500,1582234560,1582319040,1582425420,1582520400,1582605120,1582682940,1582772940,1582846980,1582934220,1583037120,1583121900,1583204580,1583287920,1583374140,1583460720,1583547300,1583632860,1583720040,1583805240,1583893380,1583979300,1584066540,1584134400,1584239340,1584334800,1584414600
apparentTemperatureMax,28.21,30.2,21.69,40.23,46.68,46.02,43.9,41.68,39.29,26.85,26.49,36.13,38.49,35.75,45.75,50.19,38.12,15.42,10.78,18.74,22.49,33.8,33.34,30.09,36.57,31.8,32.64,37.05,38.83,37.76,40.42,40.19,41.78,45.04,39.4,53.28,56.84,53.87,50.13,38.72,54.26,60.12,64.16,63.13,56.64,61.86,66.02,69.88,63.79,64.8,66.76,58.48,60.02,62.56,44.41
apparentTemperatureMaxTime,1579705440,1579776180,1579885740,1579957320,1580036700,1580123100,1580205960,1580295840,1580378040,1580418000,1580572140,1580641320,1580727480,1580827440,1580900040,1580983080,1581066540,1581109200,1581245760,1581336420,1581430380,1581522960,1581542520,1581678240,1581765900,1581850380,1581937140,1582024140,1582110120,1582196460,1582282800,1582368840,1582453740,1582542300,1582632180,1582715340,1582801440,1582884960,1582973760,1583059860,1583155080,1583233320,1583319900,1583406000,1583500140,1583582520,1583665320,1583751780,1583834280,1583932380,1584010740,1584092760,1584194340,1584265920,1584306000
apparentTemperatureMin,17.37,14.09,11.32,12.24,14.86,17.44,26,25.97,23.98,14.4,12.04,20.44,17.18,28.19,27.27,32.46,16.93,1.09,-1.12,-4.89,-10.37,13.52,23.61,5.82,14.98,16.66,12.86,5.88,12.84,13.11,19.95,28.85,28.27,26.63,27.13,18.2,22.49,32.33,31.47,27.96,22.77,27.12,26.93,30.44,41.08,36.41,34.57,34.49,43.33,34.03,38.43,44.34,43.95,39.25,15.1
apparentTemperatureMinTime,1579645380,1579746000,1579834620,1579924620,1580014380,1580098800,1580169000,1580328000,1580341200,1580451840,1580515260,1580673600,1580686140,1580763600,1580859960,1581019200,1581105600,1581192000,1581205740,1581364800,1581378720,1581463800,1581624000,1581655200,1581724080,1581882720,1581911100,1581996480,1582082880,1582165500,1582234560,1582397820,1582425420,1582520880,1582605120,1582682940,1582772940,1582846980,1582934220,1583092800,1583121900,1583204580,1583287920,1583374140,1583460720,1583547300,1583632860,1583720040,1583870400,1583893380,1583979300,1584066540,1584216000,1584239340,1584388800
cloudCover,0.42,0.56,0.51,0,0.09,0.65,1,0.84,0.94,0.86,0.85,0.49,0.31,1,0.66,0.71,0.93,0.93,0.8,0.46,0.67,0.9,0.87,0.37,0.94,0.74,0.1,0,0.01,0.48,0.78,0.95,0.77,0.22,0.38,0.02,0.66,0.69,0.72,0.78,0.08,0.02,0.3,0.8,0.85,0.14,0.27,0.71,0.09,0.37,0.97,0.98,0.82,0.76,0.97
dewPoint,16.14,16.46,13.55,9.9,13.5,16.53,26.03,30.66,31.37,23.03,23.22,27.01,26.78,35.05,34.31,35.84,31.36,13.54,7.12,6.27,6.84,28.85,30.07,16.72,20.35,21.9,16.95,17.76,22.65,23.56,30.67,31.75,30.95,30.23,24.55,18.65,25.77,31.93,33.99,28.99,22.5,24.79,24.26,24.69,33.17,30.02,26.92,27.74,24.92,20.33,27.93,41.56,40.26,41.06,34.77
