,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182,32.3182
Long,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023,-86.9023
Province/State,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama
apparentTemperatureHigh,50.14,45.96,60.3,54.44,58.38,57.82,63.91,51.21,60.88,53.75,54.19,68.62,74.71,75.53,72.96,70.59,46.89,58.97,67.17,70.67,76.89,79.19,58.34,56.04,62.56,53.74,63.24,75.88,58.04,52.95,50.37,56.26,60.87,61.6,65.17,53.64,50.95,62.27,65.17,70,71.81,72.64,60.87,57.7,62.76,61.52,69.15,73.68,72.57,74.77,81.93,79.19,83.95,83.31,82.54
apparentTemperatureHighTime,1579723500,1579809480,1579896900,1579982760,1580067480,1580155800,1580241720,1580314740,1580415180,1580494260,1580587260,1580674500,1580760720,1580844360,1580927100,1580994000,1581111060,1581196620,1581279120,1581371400,1581444780,1581537780,1581598800,1581710760,1581797160,1581883020,1581969960,1582055820,1582117200,1582203600,1582315260,1582401900,1582487640,1582572660,1582660560,1582736100,1582835100,1582920000,1583006520,1583092620,1583179080,1583268420,1583348700,1583436060,1583524980,1583611680,1583697960,1583783820,1583877420,1583962440,1584044100,1584130020,1584216120,1584301740,1584389100
apparentTemperatureLow,31.67,44.52,31.19,34.39,45.49,33.88,39.21,34.01,43.43,45.23,30.71,39.16,53.78,65.55,65.51,28.32,30.86,33.95,50.24,64.01,57.28,57.08,30.5,26.64,43.71,50.19,57.29,55.91,51.76,28.06,29.01,32.42,46.28,56.5,43.39,29.5,25.56,32.64,34.39,53.68,63.27,56.23,51.54,39.68,30.92,35.84,40.12,56.65,55.9,58.91,64.1,62.12,62.19,57.81,62.17
apparentTemperatureLowTime,1579786320,1579827600,1579957200,1580035500,1580119740,1580208840,1580294340,1580382060,1580452080,1580555280,1580644620,1580731020,1580802900,1580872020,1580997600,1581079080,1581145800,1581235320,1581330720,1581390720,1581500520,1581602400,1581678600,1581761100,1581860400,1581937260,1581996360,1582120800,1582183980,1582283580,1582365660,1582452540,1582546500,1582636380,1582715100,1582801320,1582889340,1582973640,1583059200,1583145900,1583200980,1583330400,1583401680,1583495460,1583579820,1583662200,1583748240,1583834520,1583920620,1584014160,1584095040,1584180240,1584271080,1584355200,1584445980
apparentTemperatureMax,50.14,50.33,60.3,54.44,58.38,57.82,63.91,51.21,60.88,53.75,54.19,68.62,74.71,75.53,72.96,73.51,46.89,58.97,67.17,70.67,76.89,79.19,72.44,56.04,62.56,53.74,63.24,75.88,64.67,53.02,50.37,56.26,60.87,62.9,65.17,53.64,50.95,62.27,65.17,70,71.81,72.64,62.97,57.7,62.76,61.52,69.15,73.68,72.57,74.77,81.93,79.19,83.95,83.31,82.54
apparentTemperatureMaxTime,1579723500,1579842000,1579896900,1579982760,1580067480,1580155800,1580241720,1580314740,1580415180,1580494260,1580587260,1580674500,1580760720,1580844360,1580927100,1580989260,1581111060,1581196620,1581279120,1581371400,1581444780,1581537780,1581579960,1581710760,1581797160,1581883020,1581969960,1582055820,1582092000,1582201440,1582315260,1582401900,1582487640,1582606800,1582660560,1582736100,1582835100,1582920000,1583006520,1583092620,1583179080,1583268420,1583310240,1583436060,1583524980,1583611680,1583697960,1583783820,1583877420,1583962440,1584044100,1584130020,1584216120,1584301740,1584389100
apparentTemperatureMin,24.1,31.67,38.24,31.19,34.39,41.62,33.88,38.94,34.01,43.43,38.03,30.71,39.16,53.78,65.85,40.69,28.32,30.86,33.95,50.24,58.16,57.28,39.7,30.5,26.64,43.71,50.19,58.95,52.14,35.41,28.06,29.01,32.42,46.28,51.71,35.17,29.5,25.56,32.64,34.39,53.68,63.63,53.43,49.49,39.68,30.92,35.84,40.12,56.65,55.9,58.91,64.1,62.12,62.19,57.81
apparentTemperatureMinTime,1579690320,1579786320,1579928400,1579957200,1580035500,1580187600,1580208840,1580360400,1580382060,1580452080,1580619600,1580644620,1580731020,1580802900,1580899860,1581051600,1581079080,1581145800,1581235320,1581330720,1581483480,1581500520,1581656400,1581678600,1581761100,1581860400,1581937260,1582005600,1582174800,1582261200,1582283580,1582365660,1582452540,1582546500,1582693200,1582779600,1582801320,1582889340,1582973640,1583059200,1583145900,1583298000,1583381820,1583470800,1583495460,1583579820,1583662200,1583748240,1583834520,1583920620,1584014160,1584095040,1584180240,1584271080,1584355200
cloudCover,0.64,0.95,0.51,0.2,0.76,0.66,0.22,0.59,0.27,0.92,0.67,0.07,0.23,0.75,0.99,0.96,0.38,0.3,0.32,0.8,0.84,0.79,0.92,0.14,0.04,0.91,0.89,0.92,0.96,0.97,0.11,0.02,0.51,0.89,0.94,0.47,0.07,0.02,0.03,0.3,0.75,0.94,0.94,0.86,0.07,0.11,0.38,0.39,0.68,0.74,0.43,0.59,0.66,0.5,0.56
dewPoint,17.22,37.05,45.1,33.75,38.4,45.54,37.49,40.63,39.06,44.71,43.32,36.31,46.76,59.59,66.52,55.83,33.07,37.66,43.36,56.73,65.2,64.67,51.95,29.68,25.49,45.29,53.86,65.25,55,47.06,29.78,27.33,33.18,51.86,54.13,42.61,27.5,30.16,33.22,38.56,57.81,66.28,57.06,53.14,37.27,29.08,33.92,47.22,59.68,61.65,61.89,65.94,64.2,64.46,61.89
humidity,0.48,0.77,0.79,0.7,0.76,0.87,0.72,0.82,0.77,0.84,0.85,0.64,0.71,0.87,0.97,0.95,0.72,0.75,0.74,0.87,0.95,0.92,0.85,0.58,0.49,0.85,0.92,0.98,0.94,0.93,0.65,0.59,0.6,0.87,0.83,0.8,0.58,0.58,0.56,0.6,0.89,0.99,0.96,0.96,0.6,0.51,0.52,0.67,0.89,0.92,0.8,0.88,0.83,0.81,0.81
icon,partly-cloudy-day,rain,rain,clear-day,rain,rain,clear-day,rain,clear-day,rain,rain,clear-day,clear-day,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,rain,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.76,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
ozone,283.2,293.8,309.4,302.8,317.6,311,300.9,306.5,307.3,306.7,330.2,298.3,270.3,262.2,261.1,284.8,333,309.3,275.1,273.3,260.7,263.8,271.9,276.1,279.9,290.5,289,271.8,265.5,266.2,278.8,282.2,275.4,280.8,288.6,285.5,295.7,332.6,338.5,310.7,291.2,278.6,275.2,284.4,304.8,312.3,306.4,292.3,295.2,301.8,300.7,289.4,282.4,278,280
precipAccumulation,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
precipIntensity,0.0004,0.0287,0.0053,0.0008,0.0009,0.001,0.0008,0.0221,0.0008,0.0018,0.0027,0.0004,0.0006,0.0062,0.0329,0.0611,0.0033,0.0022,0.0009,0.0234,0.0046,0.0083,0.0264,0.0007,0.0008,0.0088,0.001,0.0282,0.0193,0.1091,0.0008,0.0007,0.0005,0.0185,0.0032,0.0022,0.0005,0.0002,0.0007,0.0004,0.013,0.0389,0.1031,0.0332,0.001,0.0009,0.0007,0.0008,0.0049,0.003,0.0007,0.0012,0.0007,0.0008,0.0009
precipIntensityMax,0.0015,0.1195,0.031,0.002,0.0039,0.0045,0.0022,0.0853,0.0023,0.0066,0.0128,0.002,0.0023,0.0335,0.1248,0.2532,0.0338,0.0078,0.0033,0.1561,0.0141,0.1911,0.1478,0.0018,0.002,0.045,0.0047,0.1223,0.0918,0.3972,0.002,0.0021,0.0021,0.0601,0.0201,0.014,0.0021,0.0015,0.0021,0.0021,0.0245,0.3066,0.6023,0.1082,0.0023,0.0022,0.0022,0.0022,0.0311,0.0178,0.002,0.0029,0.0018,0.0034,0.0032
precipIntensityMaxTime,1579682700,1579827960,1579845600,1580004000,1580101200,1580104800,1580244420,1580317560,1580421600,1580526300,1580569020,1580680800,1580755920,1580871420,1580961600,1580997600,1581055200,1581171120,1581245940,1581392160,1581443880,1581570000,1581591420,1581681240,1581765600,1581861720,1581919200,1582084320,1582099500,1582210920,1582317840,1582401600,1582452900,1582584480,1582621020,1582750620,1582828680,1582909260,1582977600,1583082000,1583151420,1583255160,1583355780,1583402580,1583536740,1583620200,1583721960,1583748240,1583853360,1583967540,1584014460,1584140280,1584231720,1584316620,1584399060
precipProbability,0.03,0.98,0.86,0.12,0.38,0.48,0.12,0.93,0.13,0.34,0.52,0.1,0.12,0.67,0.94,0.98,0.71,0.5,0.1,0.91,0.77,0.68,0.94,0.1,0.06,0.86,0.26,0.96,0.92,0.99,0.13,0.04,0.07,0.93,0.65,0.34,0.07,0.04,0.06,0.05,0.94,0.91,0.99,0.97,0.06,0.05,0.04,0.09,0.71,0.28,0.18,0.16,0.14,0.28,0.11
precipType,snow,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
