,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA","Alameda County, CA"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017,37.6017
Long,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195,-121.7195
time,1579680000,1579766400,1579852800,1579939200,1580025600,1580112000,1580198400,1580284800,1580371200,1580457600,1580544000,1580630400,1580716800,1580803200,1580889600,1580976000,1581062400,1581148800,1581235200,1581321600,1581408000,1581494400,1581580800,1581667200,1581753600,1581840000,1581926400,1582012800,1582099200,1582185600,1582272000,1582358400,1582444800,1582531200,1582617600,1582704000,1582790400,1582876800,1582963200,1583049600,1583136000,1583222400,1583308800,1583395200,1583481600,1583568000,1583654400,1583737200,1583823600,1583910000,1583996400,1584082800,1584169200,1584255600,1584342000
summary,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Possible drizzle overnight.,Light rain in the morning.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Light rain until evening.,Possible drizzle in the morning.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Light rain throughout the day.,Light rain throughout the day.,Light rain in the morning and afternoon.
icon,rain,partly-cloudy-day,partly-cloudy-day,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,wind,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,partly-cloudy-day,partly-cloudy-day,rain,clear-day,clear-day,rain,rain,rain
sunriseTime,1579706340,1579792680,1579879080,1579965420,1580051760,1580138160,1580224500,1580310840,1580397240,1580483580,1580569920,1580656260,1580742600,1580828940,1580915280,1581001620,1581087960,1581174300,1581260640,1581346980,1581433320,1581519660,1581606000,1581692340,1581778680,1581865020,1581951300,1582037640,1582123980,1582210320,1582296660,1582382940,1582469280,1582555620,1582641900,1582728240,1582814580,1582900860,1582987200,1583073480,1583159820,1583246160,1583332440,1583418780,1583505060,1583591400,1583677680,1583764020,1583850300,1583936640,1584022920,1584109260,1584195540,1584281880,1584368160
sunsetTime,1579742400,1579828860,1579915380,1580001840,1580088300,1580174760,1580261220,1580347680,1580434140,1580520600,1580607060,1580693580,1580780040,1580866500,1580952960,1581039420,1581125880,1581212340,1581298800,1581385320,1581471780,1581558240,1581644700,1581731160,1581817620,1581904080,1581990540,1582077000,1582163460,1582249920,1582336380,1582422840,1582509300,1582595760,1582682220,1582768680,1582855140,1582941660,1583028060,1583114520,1583200980,1583287440,1583373900,1583460360,1583546820,1583633280,1583719740,1583806200,1583892660,1583979120,1584065580,1584152040,1584238500,1584324960,1584411420
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
precipIntensity,0.0015,0.0007,0.0005,0.0008,0.0074,0.0006,0.0012,0.0005,0.0006,0.0003,0.0003,0.0004,0.0005,0.0004,0.0008,0.0006,0.0004,0.0006,0.0006,0.0006,0.0007,0.0008,0.0004,0.0005,0.0007,0.0007,0.0005,0.0007,0.0006,0.0007,0.0006,0.0006,0.0006,0.0006,0.0006,0.0005,0.0003,0.0001,0.0005,0.0007,0.0007,0.0006,0.0004,0.0004,0.0008,0.012,0.0033,0.0006,0.0008,0.002,0.0005,0.0007,0.0291,0.0248,0.0279
precipIntensityMax,0.0074,0.0013,0.002,0.0035,0.0386,0.0015,0.0101,0.0016,0.0017,0.0012,0.0014,0.0016,0.0018,0.0016,0.0021,0.0019,0.0016,0.002,0.0018,0.0019,0.0016,0.0017,0.0016,0.0014,0.0015,0.0016,0.0014,0.0016,0.0016,0.0016,0.0015,0.0016,0.0024,0.0017,0.0014,0.0016,0.0016,0.0011,0.0015,0.0033,0.0017,0.0015,0.0015,0.0014,0.0016,0.0527,0.012,0.0016,0.006,0.0098,0.0015,0.0024,0.0889,0.0739,0.0883
