,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska,Alaska
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707,61.3707
Long,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044,-152.4044
time,1579683600,1579770000,1579856400,1579942800,1580029200,1580115600,1580202000,1580288400,1580374800,1580461200,1580547600,1580634000,1580720400,1580806800,1580893200,1580979600,1581066000,1581152400,1581238800,1581325200,1581411600,1581498000,1581584400,1581670800,1581757200,1581843600,1581930000,1582016400,1582102800,1582189200,1582275600,1582362000,1582448400,1582534800,1582621200,1582707600,1582794000,1582880400,1582966800,1583053200,1583139600,1583226000,1583312400,1583398800,1583485200,1583571600,1583658000,1583740800,1583827200,1583913600,1584000000,1584086400,1584172800,1584259200,1584345600
summary,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Foggy starting in the afternoon.,Foggy in the morning.,Foggy in the evening and overnight.,Foggy in the morning.,Partly cloudy throughout the day.,Clear throughout the day.,Foggy starting in the afternoon.,Foggy throughout the day.,Foggy in the evening.,Mostly cloudy throughout the day.,Foggy in the evening and overnight.,"Foggy until morning, starting again in the evening.",Heavy snow (9–14 in.) in the morning and afternoon.,Partly cloudy throughout the day.,Clear throughout the day.,Foggy overnight.,Foggy in the morning.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Foggy overnight.,Heavy snow (20–34 in.) throughout the day.,Foggy throughout the day.,Foggy throughout the day.,Foggy in the morning and afternoon.,Foggy throughout the day.,Foggy until evening.,Clear throughout the day.,Clear throughout the day.,Foggy in the evening and overnight.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Foggy starting in the afternoon.,Foggy in the morning.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Overcast throughout the day.,Overcast throughout the day.,Foggy in the morning.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.
icon,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,snow,snow,snow,partly-cloudy-day,clear-day,snow,snow,partly-cloudy-day,cloudy,partly-cloudy-day,snow,snow,snow,clear-day,partly-cloudy-day,snow,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,snow,snow,snow,snow,snow,snow,clear-day,clear-day,clear-day,snow,clear-day,clear-day,snow,snow,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,cloudy,snow,snow,snow,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day
sunriseTime,1579719360,1579805640,1579891920,1579978140,1580064420,1580150700,1580236920,1580323200,1580409480,1580495700,1580581980,1580668200,1580754420,1580840700,1580926920,1581013200,1581099420,1581185640,1581271860,1581358140,1581444360,1581530580,1581616800,1581703020,1581789240,1581875460,1581961740,1582047960,1582134180,1582220400,1582306620,1582392840,1582479060,1582565280,1582651500,1582737720,1582823880,1582910100,1582996320,1583082540,1583168760,1583254980,1583341200,1583427420,1583513640,1583599800,1583686020,1583772240,1583858460,1583944680,1584030900,1584117120,1584203280,1584289500,1584375720
sunsetTime,1579744140,1579830660,1579917240,1580003820,1580090340,1580176920,1580263500,1580350080,1580436660,1580523180,1580609760,1580696340,1580782920,1580869500,1580956080,1581042600,1581129180,1581215760,1581302340,1581388920,1581475500,1581562020,1581648600,1581735180,1581821760,1581908340,1581994920,1582081440,1582168020,1582254600,1582341180,1582427700,1582514280,1582600860,1582687440,1582773960,1582860540,1582947120,1583033640,1583120220,1583206800,1583293380,1583379900,1583466480,1583553060,1583639580,1583726160,1583812680,1583899260,1583985840,1584072360,1584158940,1584245460,1584332040,1584418620
moonPhase,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.54,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.93,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.64,0.67,0.71,0.74,0.78
precipIntensity,0.0002,0.0001,0.0006,0.0001,0.0002,0.0039,0.0016,0.0138,0.0047,0.0014,0.0001,0.0051,0.0082,0.0017,0.0009,0.0019,0.0119,0.024,0.0028,0.0002,0.0004,0.0107,0.0001,0.0001,0.0002,0.0006,0.0416,0.0269,0.0077,0.0331,0.0105,0.003,0.0001,0.0002,0.0014,0.0005,0.0001,0.0001,0.0104,0.0072,0.0004,0.0001,0.0001,0.0001,0.0003,0.0031,0.003,0.0003,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001
precipIntensityMax,0.0004,0.0003,0.0025,0.0004,0.0005,0.0136,0.0069,0.0478,0.0128,0.0061,0.0003,0.0161,0.0229,0.0097,0.0025,0.0074,0.0332,0.0648,0.0077,0.0005,0.0082,0.0371,0.0005,0.0002,0.0008,0.0068,0.1491,0.1728,0.0237,0.0983,0.0244,0.0104,0.0006,0.0003,0.0093,0.0057,0.0002,0.0001,0.0406,0.0338,0.0009,0.0002,0.0004,0.0003,0.0016,0.007,0.0088,0.0007,0.0002,0.0004,0.0005,0.0004,0.0002,0.0002,0.0002
precipIntensityMaxTime,1579738200,1579780980,1579928640,1579942800,1580094360,1580181360,1580284800,1580358540,1580381880,1580461740,1580591100,1580699760,1580791800,1580806800,1580893200,1581049260,1581093660,1581174600,1581245880,1581325680,1581494400,1581508440,1581660900,1581694200,1581821940,1581926400,1582012800,1582016520,1582110180,1582210140,1582345740,1582362000,1582448400,1582608600,1582698360,1582707600,1582867200,1582914300,1583032980,1583055360,1583203860,1583290080,1583376660,1583431380,1583561880,1583642040,1583659560,1583808360,1583863200,1583924280,1584016920,1584122760,1584218100,1584295440,1584424680
precipProbability,0.19,0.19,0.16,0.1,0.12,0.23,0.27,0.34,0.3,0.22,0.07,0.27,0.3,0.21,0.24,0.19,0.42,0.52,0.31,0.09,0.12,0.33,0.06,0.07,0.12,0.17,0.6,0.63,0.41,0.53,0.38,0.33,0.16,0.18,0.22,0.27,0.18,0.13,0.34,0.45,0.24,0.14,0.16,0.12,0.09,0.36,0.36,0.27,0.11,0.17,0.08,0.06,0.04,0.02,0.06
precipType,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow
precipAccumulation,0.2,0.17,0.73,0.14,0.35,3.69,1.76,9.78,4.39,1.58,0.14,4.45,4.88,0.99,0.56,1.25,6.76,12.88,1.66,0.14,0.3,6.65,0.1,0.08,0.16,0.49,21.81,14.08,4.59,20.01,6.89,2.88,0.13,0.15,1.04,0.33,0.07,0.05,7.72,4.42,0.38,0.14,0.14,0.11,0.24,2.06,1.92,0.25,0.09,0.18,0.17,0.09,0.05,0.05,0.05
temperatureHigh,-6.2,-11.56,-7.44,-14.29,-15.99,-2.12,-10.39,9.62,-1.55,-5.78,-8.09,-2.79,7.93,8.74,11.21,8.27,12.23,15.63,7.75,-2.26,8.61,10.66,6.88,8.69,8.47,6.63,10.94,11.73,7.15,13.64,12.31,-0.13,-6.73,0.59,2.89,14.31,11.83,4.15,2.72,10.85,0.69,-10.06,-9.48,4.53,8.06,8.95,13.57,6.52,-2.62,0.26,11.47,19.34,20.38,22.18,20.09
