,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697,34.9697
Long,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731,-92.3731
Province/State,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas
apparentTemperatureHigh,31.11,40.86,38.34,53.16,54.17,58.08,45.02,39.19,41.35,50.67,56.86,74.37,66.13,63.6,35.73,36.14,44.67,56.51,65.72,56.51,42.29,43.16,40.23,35.32,55.85,58.98,60.49,57.82,52.07,41.67,44.37,52.85,46.05,66.45,54.82,38.63,53.04,58.04,65.33,65.74,74.09,67.9,63.23,70.04,62.96,62.27,69.24,62.05,65.94,69.3,76.06,56.95,51,46.07,50.19
apparentTemperatureHighTime,1579719900,1579809120,1579895640,1579984200,1580068440,1580161200,1580238780,1580327940,1580422680,1580500980,1580587740,1580677140,1580755620,1580832360,1580943120,1581016380,1581105900,1581192600,1581278340,1581339600,1581450720,1581544560,1581624000,1581711120,1581797160,1581885300,1581979260,1582030800,1582142880,1582229220,1582318740,1582402440,1582476540,1582573680,1582660800,1582746660,1582834500,1582921440,1583006940,1583088300,1583179260,1583268300,1583351580,1583444460,1583525160,1583611320,1583697660,1583798400,1583877300,1583963820,1584045540,1584121200,1584214680,1584302520,1584399480
apparentTemperatureLow,26.72,31.49,26.62,39.73,40.24,35.98,33.9,34.33,37.79,31.3,34.31,50.04,61.75,32.75,29.24,24.56,26.91,40.11,53.2,34.1,31.1,30.63,13.16,20.88,42.02,51.32,55.62,27.88,28.2,18.21,24.82,38.46,42.02,41.29,34.54,23.44,31.19,33.25,50.65,59.76,48,51.35,44.11,38.41,30.6,34.93,56.23,50.03,43.9,57.02,55.87,39.79,36.36,34.96,46.16
apparentTemperatureLowTime,1579752060,1579867200,1579957260,1580032920,1580111400,1580220000,1580306400,1580392800,1580465160,1580556600,1580637480,1580734860,1580817720,1580911140,1580997600,1581069540,1581162600,1581223140,1581343200,1581414540,1581495000,1581598500,1581682860,1581759900,1581851400,1581930180,1582034400,1582117140,1582203840,1582285620,1582365840,1582449900,1582506900,1582629540,1582722360,1582804500,1582890180,1582980720,1583042760,1583146020,1583240340,1583320020,1583405940,1583499360,1583582100,1583667780,1583751120,1583845200,1583920140,1583999700,1584104400,1584170640,1584269880,1584356640,1584419460
apparentTemperatureMax,31.11,40.86,38.34,53.16,54.17,58.08,45.02,39.19,41.35,50.67,56.86,74.37,66.13,63.88,38.88,36.14,44.67,56.51,65.72,60.18,42.29,43.16,40.23,35.32,55.85,58.98,60.49,60.54,52.07,41.67,44.37,52.85,46.05,66.45,54.82,41.48,53.04,58.04,65.33,65.74,74.09,67.9,63.23,70.04,62.96,62.27,69.24,63.05,65.94,69.3,76.06,68.04,51,46.07,50.19
apparentTemperatureMaxTime,1579719900,1579809120,1579895640,1579984200,1580068440,1580161200,1580238780,1580327940,1580422680,1580500980,1580587740,1580677140,1580755620,1580797920,1580882400,1581016380,1581105900,1581192600,1581278340,1581317220,1581450720,1581544560,1581624000,1581711120,1581797160,1581885300,1581979260,1582011420,1582142880,1582229220,1582318740,1582402440,1582476540,1582573680,1582660800,1582696800,1582834500,1582921440,1583006940,1583088300,1583179260,1583268300,1583351580,1583444460,1583525160,1583611320,1583697660,1583812800,1583877300,1583963820,1584045540,1584075600,1584214680,1584302520,1584399480
apparentTemperatureMin,24.09,26.83,31.49,26.62,39.73,40.24,35.98,33.89,34.04,37.79,31.3,34.31,50.04,40.93,32.75,27.08,24.56,26.91,40.83,38.32,34.1,31.1,23.15,13.16,20.88,42.02,51.32,37.29,27.88,28.2,18.21,24.82,38.46,43.75,41.29,29.54,23.44,31.19,33.25,50.65,59.76,48,51.35,44.11,38.41,30.6,34.93,56.23,49.93,43.9,57.02,41.81,39.79,36.36,34.96
apparentTemperatureMinTime,1579689060,1579759200,1579867200,1579957260,1580032920,1580111400,1580220000,1580306700,1580395320,1580465160,1580556600,1580637480,1580734860,1580878800,1580911140,1581051600,1581069540,1581162600,1581234720,1581397200,1581414540,1581495000,1581656400,1581682860,1581759900,1581851400,1581930180,1582057140,1582117140,1582203840,1582285620,1582365840,1582449900,1582524000,1582629540,1582779600,1582804500,1582890180,1582980720,1583042760,1583146020,1583240340,1583320020,1583405940,1583499360,1583582100,1583667780,1583751120,1583846820,1583920140,1583999700,1584158400,1584170640,1584269880,1584356640
cloudCover,0.99,0.93,0.63,0.39,0.74,0.44,0.8,0.97,1,0.8,0.13,0.08,0.74,0.98,0.95,0.95,0.26,0.08,0.63,0.98,0.99,0.99,0.49,0.01,0.39,0.66,0.95,0.96,0.64,0.72,0.01,0.22,0.9,0.78,0.75,0.53,0.03,0.11,0.11,0.77,0.77,0.79,0.82,0.3,0,0.19,0.35,0.95,0.58,0.61,0.83,0.86,0.98,0.95,0.98
