,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279,43.0279
Long,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135,-73.135
Province/State,"Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT","Bennington County, VT"
apparentTemperatureHigh,27.19,38.54,40.43,30.3,29.47,31.99,26.58,22.15,32.07,34.78,37.24,30.93,32.03,42.99,27.02,28.01,30.49,10.76,28.02,34.13,34.12,30.75,35.47,4.69,17.76,31.25,26.24,31.43,21.63,14.98,18.52,27.34,41.53,53.21,47.49,40.83,31.12,18.92,12.29,21.65,45.55,55.86,33.86,39.28,40.07,28.65,44.7,64.26,55.52,40.98,45.6,50.67,36.43,34.46,37.92
apparentTemperatureHighTime,1579721760,1579804920,1579894140,1579994100,1580066880,1580152200,1580230560,1580324580,1580412300,1580503260,1580576400,1580673180,1580759400,1580842500,1580934780,1581024960,1581076800,1581190380,1581278220,1581364620,1581450600,1581534660,1581610740,1581709860,1581796740,1581883440,1581972960,1582070400,1582113600,1582225740,1582314060,1582400460,1582487340,1582573320,1582651200,1582746360,1582804800,1582919100,1582988700,1583093520,1583179860,1583263800,1583351940,1583437980,1583516040,1583611260,1583697660,1583783400,1583853300,1583955660,1584041280,1584122280,1584205800,1584300480,1584387960
apparentTemperatureLow,8.79,21.46,21.25,26.51,26.41,23.63,11.43,0.33,8.67,25.89,23.47,23.5,25.83,23.46,17.73,25.28,-0.27,2.3,22.83,28.38,16.9,26.7,-2.69,-5.64,6.62,20.09,9.94,20.68,4.25,0.53,5.25,14.95,20.52,33.46,31.72,27.94,7.06,11.24,2,10.65,36.84,26.54,22.41,20.2,7.12,12.39,31.41,38.11,25.11,26.88,30.66,24.16,20.22,10.33,23.59
apparentTemperatureLowTime,1579777620,1579870560,1579952880,1580035380,1580126700,1580212440,1580295420,1580385480,1580471280,1580529360,1580648400,1580706600,1580802900,1580907600,1580987040,1581053400,1581158040,1581249960,1581303960,1581401700,1581508380,1581552960,1581685200,1581731340,1581818820,1581934860,1582005720,1582117200,1582199760,1582285020,1582369140,1582458420,1582538100,1582628400,1582711800,1582793040,1582867560,1582973400,1583059320,1583119740,1583233020,1583323020,1583405940,1583490780,1583581980,1583658420,1583753700,1583834580,1583928000,1583994600,1584086640,1584179820,1584273600,1584356220,1584431820
apparentTemperatureMax,27.19,38.54,40.43,32.28,32.92,31.99,26.58,22.15,32.07,34.78,37.24,30.93,32.03,42.99,28.55,28.01,30.49,10.76,28.02,34.13,34.12,30.75,35.47,18.93,17.76,31.25,26.24,33.15,28.67,14.98,18.52,27.34,41.53,53.21,47.49,40.83,31.13,18.92,12.29,21.65,45.55,55.86,34.87,39.28,40.07,28.65,44.7,64.26,55.52,40.98,45.6,50.67,36.43,34.46,37.92
apparentTemperatureMaxTime,1579721760,1579804920,1579894140,1580011200,1580017320,1580152200,1580230560,1580324580,1580412300,1580503260,1580576400,1580673180,1580759400,1580842500,1580882340,1581024960,1581076680,1581190380,1581278220,1581364620,1581450600,1581534660,1581610740,1581656400,1581796740,1581883440,1581972960,1582077420,1582088400,1582225740,1582314060,1582400460,1582487340,1582573320,1582651200,1582746360,1582804680,1582919100,1582988700,1583093520,1583179860,1583263800,1583298000,1583437980,1583516040,1583611260,1583697660,1583783400,1583853300,1583955660,1584041280,1584122280,1584205800,1584300480,1584387960
