,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263,40.9263
Long,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077,-74.077
Province/State,"Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ","Bergen County, NJ"
apparentTemperatureHigh,38.5,45.7,50.8,44.9,41.27,41.6,37.11,36.75,37.01,43.33,43.6,40.6,55.87,56.88,41.3,40.13,51.61,35.24,40.1,42.08,46.65,45.11,40.81,21.97,24.59,41.93,52.3,41.96,41.26,32.34,32.76,51.84,56.21,62.33,51.73,44.33,35.61,32.88,27.32,38.67,61.31,59.25,56.38,53.05,43.14,43.24,61.11,73.16,67.15,57.64,50.83,69.33,56.41,54.6,43.03
apparentTemperatureHighTime,1579723020,1579807140,1579893840,1579994100,1580059380,1580152740,1580230680,1580327460,1580413080,1580496900,1580586600,1580669640,1580760660,1580847240,1580932020,1581018540,1581096840,1581191520,1581278580,1581379200,1581451020,1581534240,1581624060,1581681600,1581795480,1581883020,1581968820,1582070400,1582132200,1582227960,1582315620,1582402500,1582487040,1582571340,1582649640,1582733040,1582804800,1582919760,1582995960,1583099280,1583178300,1583253360,1583351760,1583438400,1583511840,1583610900,1583697780,1583783640,1583867880,1583956380,1584041820,1584130920,1584215160,1584302160,1584385320
apparentTemperatureLow,22.24,29.96,29.17,30.52,28.81,27.65,24.65,15.02,28.8,35.25,32.06,31.94,34.73,33.74,30.81,33.09,19.96,23.4,32.72,41.69,30.1,32.13,19.85,7.64,18.16,29.36,28.54,33.66,22.38,12.45,19.39,28.06,32.17,41.61,42.07,33.66,18.14,20.4,15.63,25.85,44.34,38.33,31.92,30.52,27.67,26.93,37.06,46.4,38.38,37.88,40.1,37.14,38.36,24.95,35.19
apparentTemperatureLowTime,1579777320,1579865940,1579936080,1580036340,1580120580,1580206200,1580295420,1580382300,1580470740,1580548260,1580641260,1580727000,1580802900,1580894280,1580971380,1581077700,1581154860,1581248820,1581311220,1581413700,1581507720,1581570660,1581685200,1581755340,1581823920,1581937200,1582011960,1582114140,1582192380,1582279680,1582366560,1582454640,1582544100,1582628460,1582714680,1582808400,1582884780,1582973460,1583040180,1583146620,1583231100,1583318880,1583406060,1583490960,1583578920,1583660520,1583749320,1583834820,1583924640,1584002400,1584074820,1584185280,1584270180,1584357480,1584409200
apparentTemperatureMax,38.5,45.7,50.8,44.9,41.27,41.6,37.11,36.75,37.01,43.33,43.6,40.6,55.87,56.88,44.3,40.13,51.61,35.24,40.1,43.2,46.65,45.11,40.81,32.57,24.59,41.93,52.3,41.96,41.26,32.34,32.76,51.84,56.21,62.33,51.73,45.26,39.7,32.88,27.32,38.67,61.31,59.25,56.38,53.05,43.14,43.24,61.11,73.16,67.15,57.64,50.83,69.33,56.41,54.6,43.03
apparentTemperatureMaxTime,1579723020,1579807140,1579893840,1579994100,1580059380,1580152740,1580230680,1580327460,1580413080,1580496900,1580586600,1580669640,1580760660,1580847240,1580878800,1581018540,1581096840,1581191520,1581278580,1581383700,1581451020,1581534240,1581624060,1581660420,1581795480,1581883020,1581968820,1582070400,1582132200,1582227960,1582315620,1582402500,1582487040,1582571340,1582649640,1582696020,1582795440,1582919760,1582995960,1583099280,1583178300,1583253360,1583351760,1583438400,1583511840,1583610900,1583697780,1583783640,1583867880,1583956380,1584041820,1584130920,1584215160,1584302160,1584385320
