,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118,42.3118
Long,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822,-73.1822
Province/State,"Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA","Berkshire County, MA"
apparentTemperatureHigh,28.85,40.11,38.8,30.69,27.51,26.85,20.97,19.9,31.71,30.9,33.87,28.65,32.35,44.1,28.16,28.05,31.54,12.87,23.43,32.05,38.78,30.4,32.82,-0.96,16.8,30.76,23.31,29.39,17.52,10.23,17.86,28.13,41.16,52.05,47.01,37.74,32.19,16.93,12.44,17.61,51.91,52.68,33.9,38.14,35.67,26.17,45.27,63.64,56.38,41.68,39.91,45.82,33.97,34.16,33.3
apparentTemperatureHighTime,1579726080,1579805880,1579886280,1579993980,1580068500,1580151540,1580230440,1580323140,1580412000,1580498220,1580583120,1580685240,1580760180,1580844180,1580944020,1581029760,1581095280,1581191040,1581277500,1581364500,1581450180,1581536940,1581605460,1581711600,1581796200,1581890040,1581958800,1582070400,1582113600,1582219200,1582314840,1582401000,1582484700,1582571880,1582650900,1582745160,1582804800,1582917000,1582990380,1583107200,1583177880,1583260020,1583351940,1583438160,1583514300,1583611020,1583697660,1583782980,1583869980,1583955960,1584042300,1584120660,1584212220,1584299160,1584387840
apparentTemperatureLow,9.85,26.17,22.08,23.87,21.32,18.52,12.22,5.71,19.24,25.23,18.14,22.35,27.24,21.98,19.12,24.84,1.79,7.81,20.36,28.48,14.42,24.74,-4.25,-7.1,9.51,16.38,15.45,16.64,6,-1.46,10.03,19.01,24.86,32.55,32.09,28.77,4.38,8.14,-0.85,17.61,34.99,23.77,17.41,23.13,11.13,17.07,34.25,42.55,24.54,27.44,29.11,21.74,23.72,12.78,20.92
apparentTemperatureLowTime,1579776480,1579866780,1579951740,1580036040,1580122560,1580212920,1580295720,1580385300,1580471280,1580528100,1580644980,1580727540,1580800320,1580904360,1580990940,1581042960,1581136440,1581220140,1581310140,1581409320,1581508200,1581570900,1581685200,1581753240,1581815700,1581938220,1582023900,1582117200,1582191540,1582285560,1582371060,1582452360,1582538160,1582628460,1582722000,1582783260,1582889880,1582973400,1583038140,1583107200,1583233740,1583322180,1583401980,1583492220,1583583420,1583642940,1583750580,1583840040,1583926020,1584010560,1584083520,1584180300,1584273240,1584357780,1584424380
apparentTemperatureMax,28.85,40.11,38.8,33.24,30.94,26.85,20.97,19.9,31.71,30.9,33.87,28.65,32.35,44.1,28.16,28.05,31.54,12.87,25.57,33.46,38.78,30.4,32.82,17.62,16.8,30.76,23.31,30.22,27.05,10.23,17.86,28.13,41.16,52.05,47.01,37.74,32.4,16.93,12.62,23.42,51.91,52.68,33.9,38.14,35.67,26.17,45.27,63.64,56.38,41.68,39.91,45.82,33.97,34.16,33.3
apparentTemperatureMaxTime,1579726080,1579805880,1579886280,1580007540,1580014800,1580151540,1580230440,1580323140,1580412000,1580498220,1580583120,1580685240,1580760180,1580844180,1580944020,1581029760,1581095280,1581191040,1581296340,1581384180,1581450180,1581536940,1581605460,1581659340,1581796200,1581890040,1581958800,1582077720,1582088400,1582219200,1582314840,1582401000,1582484700,1582571880,1582650900,1582745160,1582803420,1582917000,1582955460,1583114880,1583177880,1583260020,1583351940,1583438160,1583514300,1583611020,1583697660,1583782980,1583869980,1583955960,1584042300,1584120660,1584212220,1584299160,1584387840
apparentTemperatureMin,6.96,9.85,24.58,22.08,22.97,19.4,14.97,12.22,5.71,19.24,21.86,18.14,22.35,27.24,21.05,19.12,1.9,1.89,10.78,20.39,20.36,14.42,17.02,-6.78,-7.1,10.48,16.38,15.45,7.04,0.81,-1.46,10.03,19.01,24.86,32.55,29.85,7.15,4.38,-0.61,-0.82,20.57,34.99,23.73,17.41,21.37,11.13,17.09,34.25,39.34,24.54,27.44,25.83,21.74,21.93,12.78
apparentTemperatureMinTime,1579669200,1579776480,1579924800,1579951740,1580097600,1580184000,1580270400,1580295720,1580385300,1580471280,1580616000,1580644980,1580727540,1580800320,1580914020,1580990940,1581134400,1581138000,1581252660,1581310800,1581480000,1581508200,1581652800,1581735720,1581753240,1581829200,1581938220,1582023900,1582170120,1582257600,1582285560,1582371060,1582452360,1582538160,1582628460,1582776000,1582862400,1582889880,1583035200,1583038800,1583146740,1583233740,1583380800,1583401980,1583553600,1583583420,1583643600,1583750580,1583895600,1583926020,1584010560,1584154800,1584180300,1584327600,1584357780
cloudCover,0.23,0.57,0.48,0.96,0.76,0.72,0.78,0.35,0.19,0.47,0.91,0.73,0.61,0.75,0.71,1,0.93,0.42,0.65,0.96,0.91,0.57,0.96,0.3,0.15,0.5,0.27,0.88,0.31,0.36,0.01,0.04,0.09,0.18,0.73,0.93,0.78,0.36,0.47,0.2,0.52,0.77,0.56,0.2,0.53,0.33,0.13,0.2,0.58,0.57,0.57,0.75,0.47,0.3,0.16
dewPoint,12.49,13.76,20.77,30.9,29.16,26.61,22.75,15.1,6.44,18.86,28.55,23.32,27.81,30.37,20.68,25.18,23.96,10.34,15.77,31.26,31.22,22.29,29.06,3.86,-0.92,18.19,19.97,23.08,18.9,8.13,1.99,13.16,20.91,24.87,32.24,35.58,24.77,8.56,8.39,8.25,26.49,40.61,28.9,23.35,24.47,11.84,15.67,25.27,38.35,27.07,28.25,37.56,24.01,17.27,9.3
humidity,0.68,0.57,0.6,0.89,0.89,0.87,0.83,0.69,0.51,0.72,0.93,0.84,0.87,0.77,0.69,0.82,0.83,0.73,0.79,0.94,0.92,0.73,0.92,0.66,0.54,0.69,0.77,0.8,0.73,0.69,0.54,0.56,0.6,0.56,0.74,0.94,0.81,0.56,0.66,0.63,0.63,0.86,0.76,0.69,0.71,0.54,0.44,0.39,0.63,0.68,0.71,0.87,0.64,0.56,0.47
icon,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,snow,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,snow,snow,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,snow,rain,partly-cloudy-day,snow,snow,rain,partly-cloudy-day,snow,clear-day,clear-day,partly-cloudy-day,clear-day,rain,snow,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,rain,rain,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,rain,partly-cloudy-day,partly-cloudy-day,rain,wind,clear-day,clear-day
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
