,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020
Province/State,"Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL","Broward County, FL"
Country/Region,US,US,US,US,US,US,US,US,US,US
Lat,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901,26.1901
Long,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659,-80.3659
time,1579669200,1579755600,1579842000,1579928400,1580014800,1580101200,1580187600,1580274000,1580360400,1580446800
summary,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain overnight.,Clear throughout the day.,Heavy rain in the evening and overnight.
icon,clear-day,rain,rain,rain,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain
sunriseTime,1579695060,1579781400,1579867800,1579954200,1580040600,1580126940,1580213340,1580299680,1580386080,1580472480
sunsetTime,1579733880,1579820280,1579906740,1579993200,1580079660,1580166060,1580252520,1580338980,1580425440,1580511900
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22
precipIntensity,0.0004,0.0053,0.006,0.0016,0.0006,0.0008,0.0013,0.0033,0.0057,0.0107
precipIntensityMax,0.0014,0.026,0.0176,0.0102,0.0021,0.0021,0.0038,0.0167,0.0876,0.0746
precipIntensityMaxTime,1579747680,1579824000,1579904760,1579928400,1580088060,1580115600,1580242140,1580291940,1580364000,1580526000
precipProbability,0.15,0.46,0.6,0.36,0.08,0.19,0.2,0.45,0.68,0.73
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
temperatureHigh,61.46,75.94,78.56,77.71,75.56,78.13,78.12,81.77,75.06,81.58
temperatureHighTime,1579723320,1579808340,1579894980,1579981920,1580068200,1580154720,1580239740,1580327100,1580414580,1580497500
temperatureLow,53.57,62.27,62.04,48.38,54.63,59.89,59.07,64.57,58.43,64.86
temperatureLowTime,1579749960,1579859880,1579952220,1580037660,1580106780,1580212440,1580298660,1580379060,1580464920,1580554800
apparentTemperatureHigh,60.96,75.96,78.72,77.45,75.06,77.64,78.07,81.47,74.56,84.02
apparentTemperatureHighTime,1579723320,1579808220,1579894920,1579981680,1580068200,1580154660,1580239800,1580327100,1580414520,1580498580
apparentTemperatureLow,54.05,63.88,63.37,46.32,55.12,60.82,59.7,66.29,59.25,66.66
apparentTemperatureLowTime,1579750020,1579860000,1579952580,1580037120,1580106780,1580212440,1580298720,1580379240,1580464980,1580554980
dewPoint,41.02,61.4,65.79,60.92,44.45,56.13,62.2,61.42,62.84,65.02
humidity,0.72,0.9,0.88,0.8,0.6,0.73,0.84,0.78,0.83,0.86
pressure,1018.3,1016.2,1016.1,1017.6,1018.3,1014.3,1012.9,1012.9,1013.2,1015.9
windSpeed,11.15,5.64,3.79,4.68,5.13,4.68,4.54,6.03,6.02,4.31
windGust,28.55,13,8.95,11.92,14.14,16.84,12.18,19.82,17.27,12.92
windGustTime,1579689780,1579755600,1579906320,1579964520,1580035560,1580137320,1580269440,1580328120,1580382000,1580492460
windBearing,316,41,112,323,339,229,20,243,327,181
cloudCover,0.19,0.57,0.62,0.15,0.09,0.39,0.34,0.19,0.27,0.48
uvIndex,5,5,5,5,6,6,5,6,6,6
uvIndexTime,1579713420,1579799820,1579888140,1579974540,1580060520,1580147580,1580232780,1580319420,1580405640,1580493060
visibility,10,9.744,9.668,9.81,10,10,9.958,10,9.881,9.777
ozone,288.5,272.9,271.9,274.9,262.4,269.6,285.1,279.9,273.9,258.4
temperatureMin,38.87,54.29,62.27,58.95,48.38,54.63,59.89,59.07,62.79,58.43
temperatureMinTime,1579691700,1579755600,1579859880,1580011200,1580037660,1580106780,1580212440,1580298660,1580443200,1580464920
temperatureMax,61.46,75.94,78.56,77.71,75.56,78.13,78.12,81.77,75.06,81.58
temperatureMaxTime,1579723320,1579808340,1579894980,1579981920,1580068200,1580154720,1580239740,1580327100,1580414580,1580497500
apparentTemperatureMin,32.39,54.82,63.88,59.44,46.32,55.12,60.82,59.7,63.42,59.25
apparentTemperatureMinTime,1579690800,1579755600,1579860000,1580011200,1580037120,1580106780,1580212440,1580298720,1580443200,1580464980
apparentTemperatureMax,60.96,75.96,78.72,77.45,75.06,77.64,78.07,81.47,74.56,84.02
apparentTemperatureMaxTime,1579723320,1579808220,1579894920,1579981680,1580068200,1580154660,1580239800,1580327100,1580414520,1580498580
