,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC","Charleston County, SC"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957,32.7957
Long,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848,-79.7848
time,1579669200,1579755600,1579842000,1579928400,1580014800,1580101200,1580187600,1580274000,1580360400,1580446800,1580533200,1580619600,1580706000,1580792400,1580878800,1580965200,1581051600,1581138000,1581224400,1581310800,1581397200,1581483600,1581570000,1581656400,1581742800,1581829200,1581915600,1582002000,1582088400,1582174800,1582261200,1582347600,1582434000,1582520400,1582606800,1582693200,1582779600,1582866000,1582952400,1583038800,1583125200,1583211600,1583298000,1583384400,1583470800,1583557200,1583643600,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Clear throughout the day.,Mostly cloudy throughout the day.,Light rain throughout the day.,Clear throughout the day.,Clear throughout the day.,Light rain in the morning.,Clear throughout the day.,Light rain in the evening and overnight.,Light rain in the morning.,Rain starting in the afternoon.,Possible drizzle in the morning.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Heavy rain and dangerously windy throughout the day.,Windy in the morning.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Rain in the evening.,Partly cloudy throughout the day.,Clear throughout the day.,Light rain starting in the afternoon.,Mostly cloudy throughout the day.,Light rain starting in the afternoon.,Drizzle until evening.,Rain throughout the day.,Possible drizzle in the morning.,Clear throughout the day.,Clear throughout the day.,Rain overnight.,"Rain until morning, starting again in the evening.",Light rain until evening.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Light rain in the morning.,Rain throughout the day.,Rain until evening.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.
icon,clear-day,partly-cloudy-day,rain,rain,partly-cloudy-day,rain,clear-day,rain,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,rain,clear-day,rain,rain,rain,rain,rain,rain,clear-day,clear-day,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,partly-cloudy-day,rain,rain,rain
sunriseTime,1579695660,1579782000,1579868400,1579954740,1580041140,1580127480,1580213880,1580300220,1580386620,1580472960,1580559300,1580645700,1580732040,1580818380,1580904780,1580991120,1581077460,1581163800,1581250140,1581336540,1581422880,1581509220,1581595560,1581681900,1581768240,1581854580,1581940920,1582027260,1582113600,1582199940,1582286280,1582372620,1582458960,1582545240,1582631580,1582717920,1582804260,1582890600,1582976940,1583063220,1583149560,1583235900,1583322240,1583408580,1583494860,1583581200,1583667540,1583753880,1583840160,1583926500,1584012840,1584099120,1584185460,1584271800,1584358080
sunsetTime,1579732980,1579819440,1579905900,1579992360,1580078820,1580165280,1580251740,1580338200,1580424600,1580511060,1580597520,1580683980,1580770440,1580856900,1580943360,1581029820,1581116280,1581202740,1581289200,1581375660,1581462120,1581548580,1581635040,1581721500,1581807900,1581894360,1581980820,1582067280,1582153740,1582240200,1582326660,1582413060,1582499520,1582585980,1582672440,1582758900,1582845360,1582931760,1583018220,1583104680,1583191140,1583277600,1583364000,1583450460,1583536920,1583623380,1583709780,1583796240,1583882700,1583969160,1584055560,1584142020,1584228480,1584314940,1584401340
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
