,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796,36.0796
Long,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094,-115.094
Province/State,"Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV","Clark County, NV"
apparentTemperatureHigh,61.4,66.23,67.55,67.83,67.47,68.84,64.25,63.13,64.44,65.39,68.59,73.84,40.63,43.15,53.43,63.84,70.36,68.7,58.63,67.19,59.27,63.85,64.25,66.48,69.07,72.18,72.29,61.59,65.72,64.67,69.4,56.46,68.49,70.95,60.61,63.84,71.43,70.92,71.79,66.68,65.31,72.6,73.95,76.28,78.46,75.55,71.19,72.18,60.8,68.25,70.58,61.75,66.94,70.5,68.5
apparentTemperatureHighTime,1579730520,1579816920,1579906380,1579992540,1580079300,1580162340,1580248800,1580335260,1580424840,1580511300,1580594760,1580685360,1580769120,1580853780,1580943840,1581029400,1581116100,1581201420,1581278160,1581375300,1581465060,1581545940,1581632280,1581720960,1581807420,1581893820,1581979800,1582067220,1582149900,1582236660,1582322760,1582411680,1582495860,1582581360,1582668060,1582758060,1582844280,1582927260,1583017320,1583099460,1583186760,1583273220,1583359980,1583445900,1583532300,1583617440,1583707740,1583794020,1583885340,1583968020,1584043740,1584130020,1584223440,1584309480,1584396120
apparentTemperatureLow,38.98,41.4,39.18,42.23,42.57,40.22,38.97,36.11,36.23,37.77,39.03,31.88,24.57,24.15,31.34,35.16,38.05,41.05,38.91,36.1,33.37,34.81,36.51,37.37,40.56,44.23,38.4,36.85,35.96,39.17,51.35,42.61,42.42,41.07,35.63,37.56,45.14,46.05,51.93,40.97,42.37,45.31,46.92,51.37,53.86,53.22,47.77,53.43,53.56,51.64,53.59,51.02,50.08,45.26,45.67
apparentTemperatureLowTime,1579790640,1579874220,1579963260,1580050080,1580136000,1580222700,1580306280,1580395320,1580481780,1580566800,1580655000,1580742660,1580824500,1580910840,1580999640,1581084060,1581173340,1581259620,1581342240,1581431760,1581515880,1581602880,1581691740,1581775020,1581862680,1581947880,1582034100,1582119960,1582207260,1582293480,1582368780,1582467000,1582552920,1582639620,1582725060,1582811640,1582889760,1582984380,1583071380,1583147220,1583242980,1583329740,1583416260,1583502840,1583588880,1583677800,1583762220,1583852400,1583917260,1584021120,1584106620,1584194640,1584280560,1584366540,1584452880
apparentTemperatureMax,61.4,66.23,67.55,67.83,67.47,68.84,64.25,63.13,64.44,65.39,68.59,73.84,53.21,43.15,53.43,63.84,70.36,68.7,58.63,67.19,59.27,63.85,64.25,66.48,69.07,72.18,72.29,61.59,65.72,64.67,69.4,56.46,68.49,70.95,60.61,63.84,71.43,70.92,71.79,66.68,65.31,72.6,73.95,76.28,78.46,75.55,71.19,72.18,60.8,68.25,70.58,61.75,66.94,70.5,68.5
apparentTemperatureMaxTime,1579730520,1579816920,1579906380,1579992540,1580079300,1580162340,1580248800,1580335260,1580424840,1580511300,1580594760,1580685360,1580716800,1580853780,1580943840,1581029400,1581116100,1581201420,1581278160,1581375300,1581465060,1581545940,1581632280,1581720960,1581807420,1581893820,1581979800,1582067220,1582149900,1582236660,1582322760,1582411680,1582495860,1582581360,1582668060,1582758060,1582844280,1582927260,1583017320,1583099460,1583186760,1583273220,1583359980,1583445900,1583532300,1583617440,1583707740,1583794020,1583885340,1583968020,1584043740,1584130020,1584223440,1584309480,1584396120
apparentTemperatureMin,38.22,38.98,41.4,39.18,42.23,42.57,40.22,38.97,36.11,36.23,37.77,39.03,29.1,24.57,24.15,31.34,35.16,38.05,41.05,38.91,36.1,33.37,34.81,36.51,37.37,40.56,44.23,38.4,36.85,35.96,39.17,47.72,42.61,42.42,41.07,35.63,37.56,45.14,46.05,44.31,40.97,42.37,45.31,46.92,51.37,53.86,53.22,47.77,53.4,53.56,51.64,53.59,51.02,50.08,45.26
apparentTemperatureMinTime,1579701060,1579790640,1579874220,1579963260,1580050080,1580136000,1580222700,1580306280,1580395320,1580481780,1580566800,1580655000,1580799600,1580824500,1580910840,1580999640,1581084060,1581173340,1581259620,1581342240,1581431760,1581515880,1581602880,1581691740,1581775020,1581862680,1581947880,1582034100,1582119960,1582207260,1582293480,1582441200,1582467000,1582552920,1582639620,1582725060,1582811640,1582889760,1582984380,1583132400,1583147220,1583242980,1583329740,1583416260,1583502840,1583588880,1583677800,1583762220,1583853120,1583917260,1584021120,1584106620,1584194640,1584280560,1584366540
cloudCover,0.17,0.07,0.28,0.26,0.21,0.04,0.2,0.06,0.08,0.12,0.01,0.07,0.06,0,0.22,0.1,0.01,0.01,0.26,0.16,0.01,0.03,0,0.04,0.18,0.15,0.19,0.2,0.01,0,0.11,0.59,0.21,0.01,0,0,0.16,0.64,0.43,0.22,0.31,0,0.01,0.2,0.44,0.44,0.34,0.67,0.74,0.63,0.59,0.75,0.24,0.19,0.25
dewPoint,36.03,32.53,29.67,28.94,31.85,23.37,24.81,22.95,19.92,22.52,23.5,20.87,-3.59,-6.73,3.42,20.74,21.62,17.96,25.01,15.17,-0.75,6.09,14.26,16.11,15.01,22.75,16.59,8.79,9.16,5.11,6.18,33.9,39.67,28.19,8.7,8.97,14.09,16.96,20.03,28.87,26.67,20.26,26.7,25.35,25.28,28.05,25.79,26.32,44.82,51.62,49.02,46.94,43.91,41.36,39.36
humidity,0.6,0.49,0.42,0.4,0.44,0.31,0.35,0.33,0.3,0.34,0.33,0.28,0.15,0.15,0.22,0.35,0.32,0.25,0.37,0.27,0.14,0.18,0.25,0.27,0.23,0.29,0.24,0.19,0.19,0.16,0.15,0.53,0.57,0.39,0.18,0.21,0.22,0.22,0.24,0.35,0.4,0.23,0.31,0.28,0.24,0.27,0.29,0.28,0.66,0.77,0.69,0.69,0.59,0.53,0.51
icon,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,wind,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,rain,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,clear-day,clear-day,clear-day
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
ozone,288.9,292.9,313.3,303.4,303.4,321,322,348.7,322.1,313.5,307.6,313.2,361.2,373.1,363,290.2,287.5,293.9,325,338.6,346.3,341.9,345.2,333.6,320.8,300.6,306.2,309.8,318.3,292.7,308.9,329.1,323.2,315.7,303.3,323.8,313.8,303.4,296,346.4,356.8,328.5,338.6,329.1,330,328.9,354.1,356.7,346.6,341.2,346.2,319.2,318.7,328.7,351.3
precipIntensity,0.0003,0.0006,0.0004,0.0005,0.0006,0.0005,0.0005,0.0004,0.0005,0.0003,0.0003,0.0003,0.0004,0.0004,0.0007,0.0006,0.0004,0.0005,0.0006,0.0008,0.0006,0.0006,0.0004,0.0004,0.0006,0.0006,0.0004,0.0006,0.0006,0.0007,0.0006,0.0103,0.001,0.0005,0.0005,0.0005,0,0,0,0.0021,0.0026,0.0005,0,0,0.0006,0.0005,0.0005,0.0008,0.0066,0.0066,0.0178,0.0059,0.0005,0.0004,0.0005
precipIntensityMax,0.001,0.0013,0.0018,0.0013,0.0022,0.0014,0.0014,0.0014,0.0014,0.0011,0.0011,0.0014,0.0015,0.0014,0.0018,0.0016,0.0014,0.0016,0.0015,0.0049,0.0014,0.0015,0.0014,0.0012,0.0013,0.0014,0.0012,0.0014,0.0014,0.0015,0.0013,0.0791,0.0088,0.0014,0.0013,0.0014,0,0,0,0.0205,0.0244,0.0014,0,0,0.0015,0.0014,0.0015,0.0079,0.0351,0.0467,0.1161,0.0269,0.0014,0.0015,0.0014
precipIntensityMaxTime,1579682760,1579794000,1579924680,1580004000,1580101500,1580115600,1580226840,1580289240,1580454000,1580457600,1580553840,1580680800,1580755980,1580824980,1580938020,1581008160,1581145200,1581178440,1581270600,1581322560,1581460620,1581528900,1581638340,1581674040,1581765720,1581898680,1581998880,1582027440,1582167720,1582261080,1582317720,1582398060,1582452180,1582588800,1582682400,1582736340,1582828680,1582909260,1582977600,1583129460,1583136000,1583272860,1583366400,1583420040,1583536920,1583620380,1583722020,1583791140,1583906400,1583917020,1584069960,1584098160,1584231600,1584291660,1584366900
precipProbability,0.06,0.06,0.04,0.05,0.08,0.08,0.04,0.05,0.02,0.02,0.06,0.07,0.07,0.05,0.06,0.05,0.04,0.03,0.08,0.3,0.04,0.02,0.01,0.04,0.03,0.05,0.08,0.08,0.08,0.07,0.07,0.91,0.51,0.04,0.01,0.01,0,0,0,0.26,0.53,0.01,0,0,0.03,0.03,0.02,0.05,0.82,0.84,0.82,0.83,0.13,0.06,0.04
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,,,,rain,rain,rain,,,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
pressure,1021.1,1021.1,1017.3,1018.7,1017.7,1022.1,1020.8,1018.3,1021.7,1026.8,1025.5,1009.5,1013.5,1022.7,1021.5,1017.3,1017.2,1011.4,1010.8,1014.8,1019.3,1017,1018.7,1017.9,1019.1,1016.1,1014.2,1017.9,1018.9,1023.6,1019.9,1013.6,1018.9,1021.3,1027.9,1029.9,1026,1022.5,1013.5,1007.4,1012.9,1014.7,1018.5,1020.9,1015.5,1009.1,1011.6,1017.5,1020.1,1016.4,1009.9,1007.9,1014.5,1015.4,1012.8
summary,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy in the evening and overnight.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Light rain throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Possible light rain overnight.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,"Light rain until morning, starting again in the evening.",Possible drizzle in the morning.,Rain in the evening and overnight.,Light rain in the morning.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.
sunriseTime,1579704540,1579790880,1579877280,1579963620,1580050020,1580136360,1580222700,1580309100,1580395440,1580481780,1580568120,1580654520,1580740860,1580827200,1580913540,1580999880,1581086220,1581172560,1581258900,1581345300,1581431640,1581517920,1581604260,1581690600,1581776940,1581863280,1581949620,1582035960,1582122300,1582208640,1582294920,1582381260,1582467600,1582553940,1582640220,1582726560,1582812900,1582899240,1582985520,1583071860,1583158200,1583244480,1583330820,1583417100,1583503440,1583589780,1583676060,1583762400,1583848680,1583935020,1584021360,1584107640,1584193980,1584280260,1584366600
sunsetTime,1579741020,1579827480,1579913940,1580000400,1580086860,1580173380,1580259840,1580346300,1580432760,1580519220,1580605680,1580692140,1580778600,1580865060,1580951520,1581037980,1581124440,1581210900,1581297360,1581383820,1581470280,1581556740,1581643260,1581729720,1581816180,1581902640,1581989100,1582075560,1582162020,1582248480,1582334940,1582421400,1582507800,1582594260,1582680720,1582767180,1582853640,1582940100,1583026560,1583113020,1583199480,1583285940,1583372400,1583458860,1583545320,1583631780,1583718180,1583804640,1583891100,1583977560,1584064020,1584150480,1584236940,1584323340,1584409800
temperatureHigh,61.9,66.73,68.05,68.33,67.97,69.34,64.75,63.63,64.94,65.89,69.09,74.34,48.18,49.92,53.93,64.34,70.86,69.2,59.13,67.69,59.77,64.35,64.75,66.98,69.57,72.68,72.79,62.09,66.22,65.17,69.9,56.96,68.99,71.45,61.11,64.34,71.93,71.42,72.29,67.18,65.81,73.1,74.45,76.78,78.96,76.05,71.69,72.68,61.3,68.75,71.08,62.25,67.44,71,69
temperatureHighTime,1579730520,1579816920,1579906380,1579992540,1580079300,1580162340,1580248800,1580335260,1580424840,1580511300,1580594760,1580685360,1580768700,1580853720,1580943840,1581029400,1581116100,1581201420,1581278160,1581375300,1581465060,1581545940,1581632280,1581720960,1581807420,1581893820,1581979800,1582067220,1582149900,1582236660,1582322760,1582411680,1582495860,1582581360,1582668060,1582758060,1582844280,1582927260,1583017320,1583099460,1583186760,1583273220,1583359980,1583445900,1583532300,1583617440,1583707740,1583794020,1583885340,1583968020,1584043740,1584130020,1584223440,1584309480,1584396120
temperatureLow,40.96,42.3,41.36,41.74,45.41,41.77,43.39,38.79,38.66,40.37,40.19,39.51,33.2,28.32,34.44,38.38,39.09,44.91,43.9,42.04,36.03,37.33,37.4,39.41,41.89,46.35,41.78,38.87,39.62,41.18,50.86,45.6,44.89,44.62,38.19,39.39,46.76,45.56,51.44,44.99,46.73,46.68,47.63,50.88,53.37,52.73,48.86,52.94,53.07,51.15,53.1,50.53,49.59,47,48.44
temperatureLowTime,1579790700,1579876620,1579963440,1580050080,1580136480,1580222700,1580306040,1580395680,1580481960,1580567040,1580653980,1580742120,1580824740,1580910780,1580998980,1581084360,1581171420,1581259980,1581341400,1581432240,1581516900,1581602580,1581689340,1581775500,1581862320,1581948240,1582035180,1582120200,1582208640,1582293360,1582368780,1582468620,1582553340,1582639740,1582725240,1582811580,1582898100,1582984380,1583071380,1583150100,1583243220,1583330040,1583416560,1583502840,1583588880,1583677800,1583761980,1583852400,1583917260,1584021120,1584106620,1584194640,1584280560,1584366660,1584453240
temperatureMax,61.9,66.73,68.05,68.33,67.97,69.34,64.75,63.63,64.94,65.89,69.09,74.34,53.71,49.92,53.93,64.34,70.86,69.2,59.13,67.69,59.77,64.35,64.75,66.98,69.57,72.68,72.79,62.09,66.22,65.17,69.9,56.96,68.99,71.45,61.11,64.34,71.93,71.42,72.29,67.18,65.81,73.1,74.45,76.78,78.96,76.05,71.69,72.68,61.3,68.75,71.08,62.25,67.44,71,69
temperatureMaxTime,1579730520,1579816920,1579906380,1579992540,1580079300,1580162340,1580248800,1580335260,1580424840,1580511300,1580594760,1580685360,1580716800,1580853720,1580943840,1581029400,1581116100,1581201420,1581278160,1581375300,1581465060,1581545940,1581632280,1581720960,1581807420,1581893820,1581979800,1582067220,1582149900,1582236660,1582322760,1582411680,1582495860,1582581360,1582668060,1582758060,1582844280,1582927260,1583017320,1583099460,1583186760,1583273220,1583359980,1583445900,1583532300,1583617440,1583707740,1583794020,1583885340,1583968020,1584043740,1584130020,1584223440,1584309480,1584396120
temperatureMin,39.42,40.96,42.3,41.36,41.74,45.41,41.77,43.39,38.79,38.66,40.37,40.19,36.42,33.2,28.32,34.44,38.38,39.09,44.91,43.9,42.04,36.03,37.33,37.4,39.41,41.89,46.35,41.78,38.87,39.62,41.18,48.52,45.6,44.89,44.62,38.19,39.39,46.76,45.56,47.81,44.99,46.73,46.68,47.63,50.88,53.37,52.73,48.86,52.91,53.07,51.15,53.1,50.53,49.59,47
