,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999,33.8999
Long,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641,-84.5641
Province/State,"Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA","Cobb County, GA"
apparentTemperatureHigh,46.37,43.68,53.48,40.08,50.45,50.57,57.32,52.17,56.98,37.94,44.79,63.96,74.34,66.78,67.41,67.65,33.8,42.88,53.43,51.55,69.81,70.84,62.36,46,54.19,47.08,54.55,59.49,52.48,38.14,44.22,55.14,56.85,44.45,64.95,53.85,42.91,50.68,53.87,63.93,52.53,68.8,55.54,50.14,55.46,57.47,62.18,67.22,64.16,71.52,73.97,71.61,75.64,65.53,54.74
apparentTemperatureHighTime,1579723680,1579809600,1579901760,1579982400,1580068680,1580161380,1580241720,1580327460,1580415120,1580497860,1580594220,1580674320,1580761680,1580847240,1580932860,1580996580,1581112920,1581198660,1581282960,1581379200,1581441000,1581544080,1581595200,1581710580,1581797520,1581891900,1581969540,1582055880,1582142220,1582200000,1582319400,1582402380,1582487160,1582545600,1582660860,1582737060,1582839300,1582919940,1583007060,1583092440,1583193600,1583265900,1583351940,1583416620,1583524920,1583611680,1583697900,1583781840,1583871000,1583952780,1584048120,1584127980,1584216420,1584303180,1584388800
apparentTemperatureLow,31.72,33.97,32.39,27.75,42.63,32.89,37.77,34.27,36.56,37.42,32.48,38.71,54.68,60.71,62.16,28.37,30.59,30.75,35.26,51.52,49.23,58.33,27.22,25.22,38.86,42.36,50.37,44.13,36.82,25.66,28.44,33.21,42.73,44,42.7,24.31,28.1,30.44,31.54,46.17,52.53,53,46.96,39.24,28.13,35.59,39.02,53.82,53.69,58.44,62.91,53.76,54.52,52.95,50.68
apparentTemperatureLowTime,1579774380,1579845900,1579949220,1580036520,1580121300,1580204460,1580291640,1580388780,1580475600,1580521140,1580644800,1580731920,1580814120,1580891400,1580961480,1581080400,1581151200,1581250200,1581320880,1581382260,1581508800,1581598800,1581684780,1581766080,1581840540,1581941040,1581991800,1582117200,1582203600,1582288740,1582365720,1582455420,1582549200,1582595220,1582718040,1582800480,1582887480,1582975320,1583056560,1583147820,1583193600,1583324460,1583403060,1583485680,1583581680,1583661900,1583748900,1583839200,1583914440,1583992680,1584096420,1584186780,1584265860,1584360000,1584430620
apparentTemperatureMax,46.37,43.68,53.48,40.08,50.45,50.57,57.32,52.17,56.98,42.33,44.79,63.96,74.34,66.78,67.41,67.65,43.63,42.88,53.43,52.16,69.81,70.84,68.29,46,54.19,47.08,54.55,59.49,56.97,44.99,44.22,55.14,56.85,48.32,64.95,53.85,42.91,50.68,53.87,63.93,53.27,68.8,60.14,51.1,55.46,57.47,62.18,67.22,64.16,71.52,73.97,71.61,75.64,65.53,55.73
apparentTemperatureMaxTime,1579723680,1579809600,1579901760,1579982400,1580068680,1580161380,1580241720,1580327460,1580415120,1580446800,1580594220,1580674320,1580761680,1580847240,1580932860,1580996580,1581051600,1581198660,1581282960,1581393600,1581441000,1581544080,1581590340,1581710580,1581797520,1581891900,1581969540,1582055880,1582091220,1582174800,1582319400,1582402380,1582487160,1582520400,1582660860,1582737060,1582839300,1582919940,1583007060,1583092440,1583208000,1583265900,1583298000,1583384400,1583524920,1583611680,1583697900,1583781840,1583871000,1583952780,1584048120,1584127980,1584216420,1584303180,1584331200
