,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA","Contra Costa County, CA"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534,37.8534
Long,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018,-121.9018
time,1579680000,1579766400,1579852800,1579939200,1580025600,1580112000,1580198400,1580284800,1580371200,1580457600,1580544000,1580630400,1580716800,1580803200,1580889600,1580976000,1581062400,1581148800,1581235200,1581321600,1581408000,1581494400,1581580800,1581667200,1581753600,1581840000,1581926400,1582012800,1582099200,1582185600,1582272000,1582358400,1582444800,1582531200,1582617600,1582704000,1582790400,1582876800,1582963200,1583049600,1583136000,1583222400,1583308800,1583395200,1583481600,1583568000,1583654400,1583737200,1583823600,1583910000,1583996400,1584082800,1584169200,1584255600,1584342000
summary,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Light rain overnight.,Rain in the morning.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Rain in the morning and afternoon.,Overcast throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Rain throughout the day.,Rain throughout the day.,Rain (with a chance of 1–2 in. of snow) in the morning and afternoon.
icon,rain,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,rain,clear-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,wind,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,rain,rain,rain
sunriseTime,1579706400,1579792800,1579879140,1579965480,1580051880,1580138220,1580224560,1580310960,1580397300,1580483640,1580569980,1580656320,1580742660,1580829000,1580915400,1581001740,1581088080,1581174420,1581260760,1581347100,1581433380,1581519720,1581606060,1581692400,1581778740,1581865080,1581951420,1582037700,1582124040,1582210380,1582296720,1582383000,1582469340,1582555680,1582641960,1582728300,1582814640,1582900920,1582987260,1583073540,1583159880,1583246220,1583332500,1583418840,1583505120,1583591460,1583677740,1583764080,1583850360,1583936700,1584022980,1584109320,1584195600,1584281940,1584368220
sunsetTime,1579742400,1579828920,1579915380,1580001840,1580088300,1580174760,1580261220,1580347680,1580434140,1580520660,1580607120,1580693580,1580780040,1580866500,1580952960,1581039420,1581125880,1581212400,1581298860,1581385320,1581471780,1581558240,1581644700,1581731160,1581817620,1581904080,1581990600,1582077060,1582163520,1582249980,1582336440,1582422900,1582509360,1582595820,1582682280,1582768740,1582855200,1582941660,1583028120,1583114580,1583201040,1583287500,1583373960,1583460420,1583546880,1583633340,1583719800,1583806260,1583892720,1583979180,1584065640,1584152100,1584238560,1584324960,1584411420
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
