,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343,36.1343
Long,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822,-86.822
Province/State,"Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN","Davidson County, TN"
apparentTemperatureHigh,43.73,45.23,50.39,35.91,46.98,56.15,45.47,45.93,47.74,48.58,44.69,68.39,70.79,63.3,51.59,40.46,35.86,44.22,63.33,55.85,42.91,54.22,36.6,32.49,52.02,58.25,66.22,57.98,52.03,37,41.71,53.64,56.95,53.3,53.98,36.89,41.49,45.52,48.08,66.63,59.4,63.96,63.7,65.11,44.85,53.05,66.58,64.73,65.39,58.69,72.05,56.8,52.1,43.11,52.6
apparentTemperatureHighTime,1579734420,1579799160,1579888920,1579975260,1580079420,1580159100,1580244360,1580323740,1580421480,1580500320,1580590800,1580677020,1580759460,1580848320,1580942220,1581007740,1581113820,1581191760,1581278820,1581371400,1581444000,1581552360,1581627180,1581718680,1581803880,1581886380,1581975420,1582039980,1582143180,1582203600,1582322400,1582408620,1582487880,1582592280,1582663260,1582725300,1582844100,1582923660,1583015700,1583092620,1583186400,1583271000,1583348640,1583444820,1583528460,1583618520,1583699160,1583791920,1583863020,1583956620,1584053760,1584127800,1584222300,1584302760,1584393540
apparentTemperatureLow,33.57,38.77,30.79,32.64,40.68,28.57,33.3,35.34,41.89,38.59,34.6,52.98,56.81,44.3,32,20.69,28.33,26.99,46.1,34.46,35.15,33.03,12.58,18.27,40.77,39.94,54.7,29.3,33.55,15.96,24.08,29.88,39.69,46.11,36.38,22.69,30.34,25.14,29.46,50.08,56.29,44.9,42.77,38.51,25.95,36.38,51.06,56.79,46.09,52.94,53.44,46.14,35.49,36.56,46.76
apparentTemperatureLowTime,1579755600,1579830600,1579931760,1580022300,1580098200,1580212800,1580288940,1580374560,1580443320,1580561820,1580641140,1580727300,1580811960,1580911200,1580996880,1581081000,1581132900,1581227460,1581332340,1581429600,1581508140,1581602400,1581682980,1581753300,1581840000,1581941340,1582016700,1582110900,1582207200,1582293480,1582374420,1582447980,1582547220,1582632960,1582722300,1582800120,1582887960,1582982880,1583062320,1583146380,1583238960,1583319420,1583406780,1583503200,1583585940,1583664660,1583751780,1583834700,1583920920,1583993220,1584104400,1584162360,1584276420,1584345660,1584450000
apparentTemperatureMax,43.73,45.23,50.39,36.34,46.98,56.15,45.47,45.93,47.74,48.58,48,68.39,70.79,64.81,57.09,45.03,35.86,44.22,63.33,55.85,46.59,54.22,49.49,32.49,52.02,58.25,66.22,57.98,52.03,38.74,41.71,53.64,56.95,54.41,54.72,44.67,41.49,45.52,48.08,66.63,60.72,63.96,63.7,65.11,53.35,53.05,66.58,64.73,65.39,58.69,72.11,67.1,52.1,43.11,52.6
apparentTemperatureMaxTime,1579734420,1579799160,1579888920,1580007780,1580079420,1580159100,1580244360,1580323740,1580421480,1580500320,1580536800,1580677020,1580759460,1580796000,1580882400,1580968800,1581113820,1581191760,1581278820,1581371400,1581400800,1581552360,1581573600,1581718680,1581803880,1581886380,1581975420,1582039980,1582143180,1582180740,1582322400,1582408620,1582487880,1582606800,1582615620,1582696800,1582844100,1582923660,1583015700,1583092620,1583211600,1583271000,1583348640,1583444820,1583474400,1583618520,1583699160,1583791920,1583863020,1583956620,1584061740,1584075600,1584222300,1584302760,1584393540
