,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629,40.9629
Long,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953,-112.0953
Province/State,"Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT","Davis County, UT"
apparentTemperatureHigh,39.44,41.77,36.93,37.92,38.38,39.28,37.9,33.95,36.14,38.42,43.24,44.26,13.38,17.8,19.58,35.45,40.2,40.93,31.72,31.41,31.99,34.43,40,43.66,38.1,37.18,36.26,30.56,27.67,30.26,34.94,38.94,45.86,33,33.03,41.24,45.09,52.09,55.32,32.25,35.74,44.3,53.04,60.13,62.85,60.36,46.88,51.95,52.06,54.95,51.96,43.6,56.4,58.57,56.92
apparentTemperatureHighTime,1579730340,1579820100,1579910040,1579988700,1580075100,1580166780,1580242440,1580343000,1580429280,1580504820,1580594760,1580670960,1580763780,1580860920,1580938020,1581033960,1581118680,1581186480,1581279720,1581358260,1581465240,1581532980,1581635520,1581713340,1581796320,1581896520,1581962640,1582053240,1582150200,1582239300,1582325340,1582411740,1582501680,1582585560,1582682400,1582756200,1582844820,1582934280,1583013480,1583104320,1583196540,1583276280,1583365980,1583452620,1583532000,1583610660,1583708520,1583794020,1583881380,1583963700,1584053160,1584135840,1584230040,1584316800,1584402540
apparentTemperatureLow,32.93,29.59,30.87,27.76,30.6,28.06,28.83,29.01,22.53,26.01,29.8,12.55,6.54,9.4,16.62,31.79,28.66,22.14,20.17,17.14,23.43,25.53,25.04,25.44,32.05,26.74,18.62,15.88,10.17,16.25,24.41,25.31,22.74,19.71,18.54,23.58,25.03,33.13,24.96,23.23,23.84,26.49,32.34,36.96,41.11,38.54,35,33.85,33.3,35.26,27.36,33.66,43.03,39.35,39.38
apparentTemperatureLowTime,1579765200,1579863300,1579964100,1580050380,1580135040,1580205420,1580308680,1580396100,1580482260,1580568240,1580634900,1580742000,1580824980,1580896020,1580961060,1581064560,1581159240,1581259500,1581342780,1581430200,1581481080,1581602400,1581677460,1581772080,1581850620,1581948000,1582034460,1582118820,1582206960,1582292400,1582368180,1582466220,1582552560,1582639140,1582721880,1582811700,1582887120,1582967400,1583074800,1583156340,1583230380,1583318760,1583416140,1583489520,1583575440,1583674860,1583740680,1583847480,1583923920,1584020820,1584103260,1584160800,1584280800,1584366600,1584441960
apparentTemperatureMax,39.44,41.77,36.93,37.92,38.38,39.28,37.9,33.95,36.14,38.42,43.24,44.26,18.1,17.8,19.58,35.45,40.2,40.93,31.72,31.41,31.99,34.43,40,43.66,38.1,37.18,36.26,30.56,27.67,30.26,34.94,38.94,45.86,34.52,33.03,41.24,45.09,52.09,55.32,36.39,35.74,44.3,53.04,60.13,62.85,60.36,51.74,51.95,52.06,54.95,51.96,43.6,56.4,58.57,56.92
apparentTemperatureMaxTime,1579730340,1579820100,1579910040,1579988700,1580075100,1580166780,1580242440,1580343000,1580429280,1580504820,1580594760,1580670960,1580713200,1580860920,1580938020,1581033960,1581118680,1581186480,1581279720,1581358260,1581465240,1581532980,1581635520,1581713340,1581796320,1581896520,1581962640,1582053240,1582150200,1582239300,1582325340,1582411740,1582501680,1582527600,1582682460,1582756200,1582844820,1582934280,1583013480,1583046000,1583196540,1583276280,1583365980,1583452620,1583532000,1583610660,1583650800,1583794020,1583881380,1583963700,1584053160,1584135840,1584230040,1584316800,1584402540
apparentTemperatureMin,32.77,32.93,29.59,30.87,27.76,30.27,28.06,28.83,26.67,22.53,26.01,21.96,10.33,6.54,9.4,18.42,31.79,27.21,22.14,20.17,17.14,24.99,25.53,25.04,25.44,31.21,25.18,18.62,15.88,10.17,16.25,24.41,25.31,22.74,19.71,18.54,23.58,25.03,33.13,24.94,23.23,23.84,26.49,32.34,36.96,41.11,37.76,35,33.85,33.3,35.26,27.36,35.37,42.97,39.35
apparentTemperatureMinTime,1579680420,1579765200,1579863300,1579964100,1580050380,1580188200,1580205420,1580308680,1580450400,1580482260,1580568240,1580709600,1580752980,1580824980,1580896020,1580975160,1581064560,1581228000,1581259500,1581342780,1581430200,1581490800,1581602400,1581677460,1581772080,1581872400,1582002360,1582034460,1582118820,1582206960,1582292400,1582368180,1582466220,1582552560,1582639140,1582721880,1582811700,1582887120,1582967400,1583075340,1583156340,1583230380,1583318760,1583416140,1583489520,1583575440,1583730000,1583740680,1583847480,1583923920,1584020820,1584103260,1584165600,1584281940,1584366600
cloudCover,0.71,0.67,0.65,0.74,0.7,0.47,0.52,0.6,0.8,0.46,0.28,0.73,0.88,0.16,0.83,0.98,0.81,0.26,0.12,0.2,0.04,0.37,0.21,0.14,0.57,0.84,0.26,0.22,0.04,0.01,0.07,0.28,0.15,0.35,0.05,0.15,0,0.11,0.53,0.74,0.18,0.45,0.03,0.04,0.36,0.53,0.45,0.72,0.41,0.17,0.02,0.55,0.43,0.43,0.24
dewPoint,31.86,31.24,30.71,32.29,30.14,29.64,28.34,29.84,28.76,24.31,27.48,26.13,19.25,9.19,15.23,28.86,32.35,28.04,22.47,20.35,17.11,22.72,23.07,22.24,23.53,32.02,21.5,16.78,14.1,8.1,14.53,20.82,21.77,18.67,16.16,14.27,19.8,20.81,23.03,28.11,19.48,23.54,28.94,28.36,25.16,27.81,35.54,31.63,31.91,31.08,27.21,25.44,33.72,30.59,30.55
humidity,0.8,0.75,0.78,0.83,0.78,0.77,0.7,0.81,0.82,0.69,0.68,0.6,0.78,0.6,0.72,0.83,0.74,0.68,0.66,0.68,0.62,0.62,0.61,0.54,0.63,0.81,0.6,0.59,0.56,0.45,0.52,0.57,0.54,0.51,0.54,0.45,0.5,0.45,0.4,0.76,0.58,0.58,0.6,0.49,0.37,0.37,0.69,0.58,0.62,0.56,0.51,0.57,0.54,0.43,0.47
icon,rain,rain,rain,rain,rain,rain,rain,rain,snow,partly-cloudy-day,clear-day,partly-cloudy-day,snow,clear-day,snow,snow,rain,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,clear-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,rain,partly-cloudy-day,clear-day
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.95,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.52,0.55,0.59,0.63,0.67,0.71,0.74,0.77
ozone,332.5,318.4,342.1,334.1,316.4,344,349.2,354.8,343.9,329.2,313.6,324,406.4,406.2,360.5,307.5,317.8,322.5,358.8,359.4,350.6,387.6,363.6,350.6,348.3,334.5,361.7,349.9,357.3,338.7,341.2,332.6,329.1,369.6,364.6,344.1,327.2,317.7,303.1,376.6,348.7,326.2,324.8,322.4,313.1,322.8,346.6,378.1,389.9,367.2,322.8,303.6,314.8,348.5,336.2
precipAccumulation,,,,,,,,,0.64,0.06,,,4.77,0.19,1.05,2.08,,,0.09,0.14,0.17,0.11,0.06,,0.1,,,0.2,0.18,0.25,0.13,0.06,,,0.15,0.07,,,,,0.12,0.04,,,,,,,,,,,,,
precipIntensity,0.0048,0.0018,0.0071,0.0014,0.0081,0.0061,0.0017,0.007,0.0053,0.0006,0.0004,0.0014,0.0193,0.0006,0.0035,0.0174,0.0053,0.001,0.0009,0.0008,0.0009,0.0011,0.0006,0.0007,0.0009,0.0125,0.0015,0.0011,0.0008,0.0011,0.0008,0.0007,0.0006,0.001,0.0008,0.0006,0.0004,0.0001,0.0007,0.0067,0.001,0.0008,0.0005,0.0006,0.0009,0.0008,0.0028,0.0009,0.0008,0.0007,0.0007,0.0008,0.0026,0.0012,0.0006
precipIntensityMax,0.0141,0.0037,0.0348,0.0043,0.062,0.0391,0.0091,0.0371,0.0252,0.0021,0.0017,0.0286,0.0715,0.0022,0.0069,0.038,0.0146,0.0027,0.0025,0.0025,0.0021,0.0023,0.0021,0.0018,0.002,0.0257,0.011,0.0023,0.0021,0.0022,0.002,0.0022,0.0022,0.0023,0.0019,0.0022,0.0022,0.0015,0.0021,0.0194,0.0022,0.002,0.0021,0.0019,0.0021,0.0021,0.0086,0.0022,0.003,0.0026,0.002,0.0021,0.0078,0.0028,0.0019
precipIntensityMaxTime,1579698240,1579782300,1579893960,1579938660,1580101200,1580108400,1580277600,1580296500,1580396040,1580454600,1580577840,1580709600,1580723760,1580824980,1580957280,1581001440,1581062220,1581192000,1581246120,1581331140,1581460560,1581528720,1581638340,1581681240,1581765720,1581883800,1581922800,1582013160,1582167720,1582261080,1582317720,1582401600,1582452840,1582588800,1582617540,1582736340,1582828680,1582909260,1582977600,1583075160,1583189880,1583272860,1583366400,1583413620,1583537100,1583620860,1583663400,1583748180,1583827080,1583967600,1584014460,1584157020,1584197580,1584270060,1584366960
precipProbability,0.47,0.27,0.69,0.36,0.54,0.73,0.25,0.54,0.61,0.24,0.12,0.22,0.56,0.14,0.26,0.87,0.78,0.23,0.16,0.24,0.17,0.14,0.12,0.06,0.13,0.92,0.32,0.17,0.17,0.07,0.05,0.07,0.09,0.19,0.07,0.05,0.04,0.03,0.04,0.53,0.08,0.08,0.03,0.04,0.01,0.06,0.33,0.11,0.12,0.08,0.05,0.07,0.29,0.1,0.05
precipType,rain,rain,rain,rain,rain,rain,rain,rain,snow,snow,rain,rain,snow,snow,snow,snow,rain,rain,snow,snow,snow,snow,snow,rain,snow,rain,rain,snow,snow,snow,snow,snow,rain,rain,snow,snow,rain,rain,rain,rain,snow,snow,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
pressure,1022.4,1026,1021,1023.3,1019.5,1025.2,1023.8,1024.9,1028.2,1032.8,1029.4,1007.2,1013.2,1028.8,1026,1016.3,1017,1014.1,1023.2,1027.2,1027.7,1022.3,1022.3,1017.8,1022.8,1018,1024.4,1029.3,1032.2,1035.6,1028.9,1020.7,1018.8,1028.5,1037,1034.4,1031.8,1026.9,1012,1013.8,1022.3,1022.5,1022.8,1024.5,1017.3,1008,1012.1,1017.4,1023.3,1017.6,1015.6,1007.8,1009.4,1012.6,1013.8
summary,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Possible light rain in the morning and afternoon.,Mostly cloudy throughout the day.,Light rain in the evening and overnight.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Possible light snow (< 1 in.) in the morning.,Possible light snow (< 1 in.) in the morning.,Partly cloudy throughout the day.,Clear throughout the day.,Foggy overnight.,Foggy in the morning.,Clear throughout the day.,Mostly cloudy throughout the day.,Possible light rain (with a chance of 1–2 in. of snow) throughout the day.,Possible drizzle in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Light rain until evening.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Possible light snow (< 1 in.) in the afternoon.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.
sunriseTime,1579704480,1579790880,1579877220,1579963560,1580049960,1580136300,1580222640,1580308980,1580395320,1580481660,1580568000,1580654340,1580740680,1580827020,1580913360,1580999700,1581086040,1581172380,1581258720,1581345060,1581431340,1581517680,1581604020,1581690360,1581776640,1581862980,1581949320,1582035600,1582121940,1582208280,1582294560,1582380900,1582467180,1582553520,1582639800,1582726140,1582812420,1582898760,1582985040,1583071380,1583157660,1583244000,1583330280,1583416560,1583502900,1583589180,1583675520,1583761800,1583848080,1583934420,1584020700,1584106980,1584193320,1584279600,1584365880
sunsetTime,1579739640,1579826100,1579912560,1579999020,1580085540,1580172000,1580258460,1580344920,1580431440,1580517900,1580604360,1580690820,1580777340,1580863800,1580950260,1581036720,1581123240,1581209700,1581296160,1581382620,1581469140,1581555600,1581642060,1581728520,1581815040,1581901500,1581987960,1582074420,1582160880,1582247400,1582333860,1582420320,1582506780,1582593240,1582679760,1582766220,1582852680,1582939140,1583025600,1583112060,1583198520,1583285040,1583371500,1583457960,1583544420,1583630880,1583717340,1583803800,1583890260,1583976720,1584063180,1584149700,1584236160,1584322620,1584409080
temperatureHigh,39.94,43.32,39.56,41.38,41.51,39.84,42.14,37.38,36.57,39.54,45.58,47.44,26.4,26.49,27.26,39.53,43.12,45.34,38.51,34.36,35.44,38.87,42.95,47.05,41.25,41.03,38.53,35.79,34.82,35.65,39.2,42.79,47.32,39.04,37.32,43.67,47.02,52.59,55.82,37.79,39.31,44.8,53.54,60.63,63.35,60.86,48.9,52.45,52.56,55.45,52.46,47.34,56.9,59.07,57.42
temperatureHighTime,1579730340,1579811280,1579910040,1579989300,1580075640,1580159040,1580241900,1580328000,1580428500,1580509440,1580596440,1580671200,1580770680,1580851980,1580938860,1581034020,1581115020,1581186660,1581281940,1581368280,1581464520,1581544320,1581635040,1581712020,1581807300,1581894660,1581976560,1582062780,1582149960,1582239540,1582323600,1582410900,1582501320,1582586040,1582674720,1582759560,1582844520,1582934280,1583013480,1583104140,1583189040,1583276460,1583365980,1583452620,1583532000,1583610660,1583707080,1583794020,1583881380,1583963700,1584053160,1584137040,1584230040,1584316800,1584402540
temperatureLow,35.07,34.35,34.04,32.67,34.32,32.71,32.83,32.13,28.19,30.64,34.73,23.81,15.96,17.32,24.34,37.36,34.95,27.94,25.2,22.84,29.82,30.31,31.11,28.85,34.68,30.7,24.51,22.51,18.98,22.44,28.63,28.97,29.82,24.71,25.11,27.96,30.43,38.89,32.55,27.07,28.89,32.21,36.97,42.31,45.89,40.61,39.31,37.08,37.47,37.82,32.27,40.25,47.67,43.45,42.92
temperatureLowTime,1579764240,1579863180,1579957620,1580050320,1580133720,1580204880,1580306640,1580396220,1580482140,1580567160,1580635020,1580742000,1580825160,1580895720,1580957940,1581049560,1581159120,1581258600,1581342900,1581431940,1581481200,1581602580,1581677400,1581773880,1581850440,1581949260,1582034400,1582123200,1582207020,1582292760,1582382280,1582466100,1582552920,1582638960,1582723320,1582811520,1582887240,1582967940,1583074800,1583156880,1583229060,1583318640,1583416320,1583489220,1583575320,1583676000,1583740800,1583847540,1583924220,1584020940,1584103620,1584156660,1584280800,1584366720,1584442320
