,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185,39.3185
Long,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071,-75.5071
Province/State,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,Delaware
apparentTemperatureHigh,36.32,41.84,51.38,53.82,43.12,40.54,37.28,39.96,39.17,46.98,43.85,39.76,62.1,64.43,38.65,42.5,59.09,37.75,45.35,44.05,51.38,46.19,56.76,29.29,29.2,51.09,52.51,61.9,51.34,38.7,30.32,50.23,55.61,58.67,48.09,50.25,34.49,38.73,26.93,40.8,63.11,60.23,58.96,53.33,40.08,41.36,57.97,70.76,67.41,54.54,53.96,71.65,57,53.61,50.9
apparentTemperatureHighTime,1579722000,1579806900,1579894260,1579974600,1580065140,1580145660,1580235540,1580328180,1580417160,1580496780,1580587080,1580679120,1580758260,1580845620,1580933160,1581012120,1581084720,1581189360,1581276720,1581357900,1581438300,1581532080,1581615660,1581681600,1581790080,1581884280,1581969420,1582055640,1582140000,1582225560,1582317600,1582401600,1582486560,1582570500,1582668480,1582747080,1582833000,1582920780,1583003220,1583098500,1583178420,1583258280,1583352780,1583435040,1583510400,1583612760,1583697480,1583782980,1583871300,1583947320,1584035400,1584128520,1584215340,1584302400,1584379320
apparentTemperatureLow,22.41,25.67,36.83,28.94,27.56,29.01,28.74,19.56,25.39,29.98,28.82,28.31,44.03,35.1,32.55,39.48,24.35,25.27,32.78,43.67,32.56,34.64,28.06,9.83,20.57,31.55,32.2,37.01,25.19,12.75,17.68,26.15,29.85,41.64,42.94,28.71,22.63,21.3,18.66,28.42,40.48,38.47,33.93,31.24,26.66,24.08,36.46,51.34,40.74,38.31,46.46,38.55,38.07,29.84,38.28
apparentTemperatureLowTime,1579774860,1579859700,1579917480,1580036100,1580118840,1580208840,1580294940,1580380620,1580449440,1580559300,1580640780,1580717520,1580782380,1580907600,1580963040,1581043260,1581155340,1581242460,1581299280,1581379200,1581507840,1581558120,1581685200,1581767220,1581823380,1581940320,1582001760,1582117200,1582199220,1582282440,1582358100,1582458000,1582534260,1582630620,1582710420,1582808400,1582882680,1582974960,1583062800,1583123340,1583233080,1583319360,1583406180,1583481540,1583578920,1583661720,1583749680,1583827260,1583924820,1583993100,1584065460,1584181560,1584263400,1584355200,1584417840
apparentTemperatureMax,36.32,41.84,51.38,53.82,43.12,40.54,37.28,39.96,39.17,46.98,43.85,39.76,62.1,64.43,52.17,42.5,59.09,37.75,45.35,45.8,51.38,46.19,56.76,34.81,29.2,51.09,52.51,61.9,51.34,38.7,30.32,50.23,55.61,58.67,48.09,50.25,45.02,38.73,27.47,40.8,63.11,60.23,58.96,53.33,40.08,41.36,57.97,70.76,67.41,59.16,53.96,71.65,57,53.61,50.9
apparentTemperatureMaxTime,1579722000,1579806900,1579894260,1579974600,1580065140,1580145660,1580235540,1580328180,1580417160,1580496780,1580587080,1580679120,1580758260,1580845620,1580878800,1581012120,1581084720,1581189360,1581276720,1581393600,1581438300,1581532080,1581615660,1581659820,1581790080,1581884280,1581969420,1582055640,1582140000,1582225560,1582317600,1582401600,1582486560,1582570500,1582668480,1582747080,1582782960,1582920780,1582952400,1583098500,1583178420,1583258280,1583352780,1583435040,1583510400,1583612760,1583697480,1583782980,1583871300,1583899200,1584035400,1584128520,1584215340,1584302400,1584379320
