,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974,38.8974
Long,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268,-77.0268
Province/State,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia,District of Columbia
apparentTemperatureHigh,40.55,43.05,51.14,50.32,44.24,45.39,41.65,42.82,42.29,46.23,50.74,53.6,66.1,64.73,43.29,45.01,58.71,41.46,46.6,44.75,56.45,49.35,55.36,33.78,29.98,51.66,54.26,58,52.28,40.55,35.39,53.06,57.34,59.41,53.25,52.88,35.69,42.9,31.34,50.28,64.22,62.1,63.79,54.08,51.16,51.89,60.59,74.2,69.99,55.68,62.7,74.16,57.44,50.53,54.02
apparentTemperatureHighTime,1579726980,1579812240,1579899780,1579986000,1580061720,1580148180,1580245200,1580332980,1580411040,1580500800,1580589960,1580679900,1580760420,1580847420,1580904000,1581032220,1581079080,1581191280,1581272160,1581379200,1581453360,1581533520,1581629280,1581681600,1581800580,1581885840,1581972480,1582062720,1582144380,1582224360,1582329600,1582407780,1582488000,1582570440,1582662780,1582737180,1582824300,1582926480,1583020800,1583096340,1583180100,1583270220,1583354940,1583439960,1583525880,1583617080,1583703780,1583784060,1583867940,1583959980,1584039300,1584127620,1584215460,1584306180,1584386100
apparentTemperatureLow,26.55,32.47,43.41,36.25,34,35.16,35.47,26.76,34.15,32.28,33.18,45.07,51.65,40.27,33.49,40.12,29.42,31.55,36.53,44.75,38.32,35.32,30.88,16.12,24.97,37.37,40.38,39.87,31.69,15.8,23.79,29.48,34.83,43.8,50.33,29.68,26.89,24.48,26.01,36,45.4,46.05,40.53,35.74,32.59,34.34,42.82,55.31,45.89,47.63,50.49,44.81,36.56,35.19,41.32
apparentTemperatureLowTime,1579774260,1579860540,1579930740,1580039160,1580124180,1580209020,1580297220,1580388240,1580452260,1580557680,1580636460,1580734320,1580818140,1580907600,1580983980,1581037260,1581148800,1581245820,1581309780,1581379200,1581511200,1581570060,1581685200,1581766980,1581824220,1581941520,1582015740,1582117200,1582196640,1582284300,1582373160,1582458300,1582543080,1582625340,1582709880,1582808400,1582883160,1582974780,1583045640,1583125620,1583236200,1583321340,1583409120,1583496840,1583582040,1583660880,1583748600,1583830860,1583928000,1583996460,1584083940,1584181140,1584255720,1584359280,1584435000
apparentTemperatureMax,40.55,43.05,51.14,50.32,44.24,45.39,41.65,42.82,42.29,46.23,50.74,53.6,66.1,64.73,56.37,45.07,58.71,41.46,46.6,46.89,56.45,49.35,55.36,39.15,29.98,51.66,54.26,58,54.15,40.55,35.41,53.06,57.34,59.41,53.25,52.88,38.17,42.9,31.42,50.28,64.22,62.1,63.79,54.08,51.16,51.89,60.59,74.2,69.99,59.75,62.7,74.16,57.44,50.53,54.02
apparentTemperatureMaxTime,1579726980,1579812240,1579899780,1579986000,1580061720,1580148180,1580245200,1580332980,1580411040,1580500800,1580589960,1580679900,1580760420,1580847420,1580878800,1581047280,1581079080,1581191280,1581272160,1581390420,1581453360,1581533520,1581629280,1581656400,1581800580,1581885840,1581972480,1582062720,1582088400,1582224360,1582329900,1582407780,1582488000,1582570440,1582662780,1582737180,1582779600,1582926480,1583021520,1583096340,1583180100,1583270220,1583354940,1583439960,1583525880,1583617080,1583703780,1583784060,1583867940,1583899200,1584039300,1584127620,1584215460,1584306180,1584386100
apparentTemperatureMin,17.74,26.55,32.47,39.57,36.25,34,35.16,34.47,26.76,34.15,32.28,33.18,45.07,51.23,34.53,33.49,29.74,29.42,31.55,36.56,44.93,36.73,35.32,19.56,16.12,26.22,37.37,40.38,38.12,28.44,15.8,23.79,29.48,34.83,43.8,43.45,26.91,26.89,23.25,26.01,36,45.4,46.05,40.53,35.74,32.59,34.34,42.82,55.31,45.89,47.63,50.49,40.67,36.56,35.19
apparentTemperatureMinTime,1579695060,1579774260,1579860540,1580008080,1580039160,1580124180,1580209020,1580306400,1580388240,1580452260,1580557680,1580636460,1580734320,1580824140,1580950320,1580983980,1581130800,1581148800,1581245820,1581310800,1581480000,1581566400,1581570060,1581739200,1581766980,1581839760,1581941520,1582015740,1582171200,1582257600,1582284300,1582373160,1582458300,1582543080,1582625340,1582772580,1582854660,1582883160,1582988520,1583045640,1583125620,1583236200,1583321340,1583409120,1583496840,1583582040,1583660880,1583748600,1583830860,1583928060,1583996460,1584083940,1584241200,1584255720,1584359280
cloudCover,0.05,0.67,0.78,0.75,0.32,0.44,0.39,0.32,0.38,0.69,0.56,0.34,0.28,0.72,0.97,1,0.62,0.13,0.12,0.85,0.99,0.72,0.92,0.21,0.23,0.53,0.29,0.68,0.62,0.74,0.05,0,0.08,0.53,0.97,0.98,0.24,0.44,0.22,0.03,0.43,0.55,0.2,0.54,0.47,0.22,0.01,0.16,0.63,0.54,0.69,0.79,0.43,0.78,0.4
