,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587,39.2587
Long,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389,-104.9389
Province/State,"Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO","Douglas County, CO"
apparentTemperatureHigh,50.29,38.31,52.58,51.92,53.95,45.27,40.7,37,36.98,50.43,61.91,65.08,19.13,6.95,22.49,34.24,22.26,45.67,19.43,21.93,33.4,21.46,26.18,53.2,39.69,52.21,37.72,24.19,13.45,37.37,52.2,57.18,31.69,29.03,6.41,39.81,43.01,55.13,55.29,50.85,44.07,55.83,60.22,54.51,64.9,65.12,64.35,56.44,60.93,65.92,55.05,35.9,55.61,58.72,63.2
apparentTemperatureHighTime,1579723080,1579809540,1579896000,1579982400,1580068920,1580151540,1580241900,1580324880,1580413200,1580500800,1580587260,1580673540,1580759580,1580868000,1580932860,1581018480,1581115140,1581192060,1581278160,1581358140,1581457920,1581527760,1581623580,1581716880,1581797100,1581882600,1581959100,1582055940,1582138560,1582234980,1582315680,1582401240,1582502040,1582569120,1582682400,1582747440,1582833240,1582919880,1583006880,1583088960,1583179260,1583265240,1583352060,1583438520,1583531340,1583617800,1583697120,1583794020,1583869860,1583956680,1584039300,1584136260,1584215820,1584302340,1584388740
apparentTemperatureLow,21.93,19.31,25.86,21.65,24.54,14.78,18.32,9.46,6.16,21.12,29.43,13.37,-0.49,-12.87,0.72,14.48,11.86,14.12,9.95,-0.9,7.65,0.76,6.78,11.81,16.5,21.9,15.21,5.19,-4.85,8.65,21.99,23.07,15.22,4.18,-6.22,15.41,16.28,21.19,23,16.63,18.79,21.66,21.24,24.15,31,35.4,32.76,28.52,27.93,36.64,23.33,23.17,23.72,27.39,25.3
apparentTemperatureLowTime,1579788900,1579874280,1579962120,1580048520,1580119380,1580220360,1580281800,1580392500,1580471400,1580549220,1580640180,1580725920,1580828400,1580909880,1580983800,1581058980,1581151620,1581260400,1581303660,1581428820,1581508740,1581588660,1581654060,1581772920,1581851760,1581946860,1582006140,1582115880,1582205640,1582279320,1582361940,1582470000,1582543680,1582642800,1582712820,1582797720,1582887480,1582970760,1583059620,1583145840,1583235840,1583318100,1583414100,1583494740,1583578800,1583668320,1583735220,1583838240,1583923980,1584016980,1584104700,1584165660,1584269700,1584359640,1584444000
apparentTemperatureMax,50.29,38.31,52.58,51.92,53.95,45.27,40.7,37,36.98,50.43,61.91,65.08,23.54,7.13,22.49,34.24,22.26,45.67,20.77,21.93,33.4,21.46,26.18,53.2,39.69,52.21,37.72,24.19,13.45,37.37,52.2,57.18,32.29,29.03,12.51,39.81,43.01,55.13,55.29,50.85,44.07,55.83,60.22,54.51,64.9,65.12,64.35,56.44,60.93,65.92,55.05,35.9,55.61,58.72,63.2
apparentTemperatureMaxTime,1579723080,1579809540,1579896000,1579982400,1580068920,1580151540,1580241900,1580324880,1580413200,1580500800,1580587260,1580673540,1580713200,1580868840,1580932860,1581018480,1581115140,1581192060,1581231600,1581358140,1581457920,1581527760,1581623580,1581716880,1581797100,1581882600,1581959100,1582055940,1582138560,1582234980,1582315680,1582401240,1582458360,1582569120,1582620240,1582747440,1582833240,1582919880,1583006880,1583088960,1583179260,1583265240,1583352060,1583438520,1583531340,1583617800,1583697120,1583794020,1583869860,1583956680,1584039300,1584136260,1584215820,1584302340,1584388740
