,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148,41.3148
Long,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951,-96.1951
Province/State,"Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE","Douglas County, NE"
apparentTemperatureHigh,27.79,28.9,20.87,25.08,33.74,26.19,29.34,31.73,26.83,29.78,39.94,52.3,23.86,16.51,31.42,30.51,13.88,27.75,27.26,35.81,34.01,36.78,10.87,18.23,42.7,52.26,45.39,37.85,13.66,24.67,41.84,56.06,60.02,42.81,32.9,32.01,35.41,42.95,62.2,57.59,45.86,57.52,61.09,51.72,55.11,69.07,71.13,29.28,41.58,61.54,55.89,47.63,28.91,30.27,41.31
apparentTemperatureHighTime,1579741200,1579784400,1579895700,1579981980,1580070660,1580130540,1580248500,1580329320,1580411460,1580480580,1580587740,1580673240,1580759280,1580846040,1580932560,1581024960,1581110700,1581192720,1581253200,1581372060,1581452940,1581537420,1581642000,1581710700,1581797580,1581884280,1581963720,1582063320,1582142160,1582235880,1582321320,1582402800,1582487760,1582574400,1582655220,1582761000,1582833240,1582918080,1583013060,1583092920,1583186460,1583272680,1583358960,1583432460,1583531400,1583611260,1583704500,1583755200,1583877600,1583964060,1584034560,1584128640,1584216060,1584302460,1584395880
apparentTemperatureLow,27.61,17.26,13.02,21.32,21.66,17.22,25.08,23.05,24.55,17.05,28.86,19.5,7.38,11.44,8.58,10.1,8.24,23.58,13.08,17.38,19.47,-22.64,-6.91,9.78,25,31.22,14.35,9.09,-3.03,7.45,19.87,30.24,23.73,21.64,9.59,18.58,24.16,20.55,33.52,23.85,25.82,29.03,33.18,20.57,31.67,41.48,27.33,21.74,31.05,53.26,24.45,24.3,23.64,27.07,25.8
apparentTemperatureLowTime,1579788000,1579871280,1579960740,1580047200,1580105760,1580220000,1580295120,1580392800,1580439720,1580565000,1580651220,1580738400,1580824740,1580888880,1580995920,1581084000,1581151800,1581223440,1581336960,1581418980,1581507900,1581595980,1581674820,1581737340,1581838980,1581946740,1582019640,1582120800,1582198020,1582279080,1582369080,1582444680,1582551180,1582629840,1582720620,1582799760,1582888020,1582976220,1583061000,1583146080,1583233020,1583319840,1583413680,1583492640,1583575200,1583664840,1583758800,1583837340,1583923380,1583982540,1584094020,1584190800,1584269820,1584355920,1584439620
apparentTemperatureMax,30.15,33.19,20.87,25.08,33.74,26.19,29.34,31.73,26.83,29.78,39.94,52.3,25.31,16.51,31.42,30.51,25.64,27.75,28.93,35.81,34.01,36.78,11.15,18.23,42.7,52.26,45.39,37.85,18.87,24.67,41.84,56.06,60.02,42.81,32.9,32.01,35.41,42.95,62.2,57.59,45.86,57.52,61.09,51.72,55.11,69.07,71.13,56.98,41.58,61.54,55.89,47.63,30.93,30.27,41.31
apparentTemperatureMaxTime,1579755600,1579760280,1579895700,1579981980,1580070660,1580130540,1580248500,1580329320,1580411460,1580480580,1580587740,1580673240,1580709600,1580846040,1580932560,1581024960,1581055320,1581192720,1581249600,1581372060,1581452940,1581537420,1581642960,1581710700,1581797580,1581884280,1581963720,1582063320,1582092000,1582235880,1582321320,1582402800,1582487760,1582574400,1582655220,1582761000,1582833240,1582918080,1583013060,1583092920,1583186460,1583272680,1583358960,1583432460,1583531400,1583611260,1583704500,1583730000,1583877600,1583964060,1584034560,1584128640,1584162000,1584302460,1584395880
