,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261,43.1261
Long,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492,-123.2492
Province/State,"Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR","Douglas County, OR"
apparentTemperatureHigh,44.5,54.49,50.95,52.93,45.51,43.59,42.74,51.15,55.17,61.23,47.12,35.76,32.41,39.37,39.21,48.43,50.21,33.5,38.78,43.27,47.61,45.96,43.62,41.74,40.62,43.16,40.33,41.18,53.16,55.49,55.47,52.28,39.84,44.36,56.73,53.91,58.42,53.28,38.51,36.59,46.28,54.88,54.94,58.01,45.63,40.21,43.96,50.17,55.22,51.77,53.38,46.02,34.79,40.62,45.03
apparentTemperatureHighTime,1579730400,1579816080,1579904640,1579989180,1580075100,1580155200,1580261640,1580334900,1580421060,1580510220,1580586180,1580687880,1580766720,1580853180,1580939640,1581026160,1581112560,1581185580,1581285660,1581375120,1581458520,1581544860,1581624240,1581725400,1581807120,1581888000,1581979020,1582063500,1582150200,1582236060,1582322520,1582412460,1582481400,1582581600,1582668360,1582754580,1582844400,1582925700,1583006340,1583100060,1583185320,1583273220,1583366160,1583445600,1583530560,1583610000,1583705280,1583794440,1583878140,1583964240,1584053340,1584130440,1584215280,1584301320,1584399780
apparentTemperatureLow,40.96,39.96,41.74,41.75,37.5,36.09,36.63,40.35,42.39,39.67,27.59,27.77,25.18,31.74,37.56,38.67,31.31,29.28,30.88,32.43,33.94,28.92,33.17,32.87,36.37,30.51,26.75,25.24,30.67,30.62,32.65,34.9,30.28,31.34,34.42,34.41,36.91,30.33,24.86,30.41,34.35,37.17,33.44,35.85,32.41,31.72,33.65,31.53,33.7,29,29.86,27.48,29.05,30.47,31.36
apparentTemperatureLowTime,1579793940,1579879680,1579928580,1580053380,1580137740,1580224560,1580289660,1580396580,1580483340,1580567700,1580651820,1580742060,1580827620,1580915400,1580958240,1581087120,1581177600,1581223440,1581346380,1581431940,1581519480,1581602580,1581692640,1581781260,1581836400,1581951360,1582036320,1582122540,1582207200,1582292820,1582381740,1582464480,1582553940,1582640760,1582727040,1582811940,1582899900,1582984920,1583075880,1583159640,1583246160,1583331540,1583416200,1583503200,1583553720,1583675880,1583762280,1583848260,1583936400,1584022080,1584107460,1584194940,1584248580,1584366720,1584446580
apparentTemperatureMax,44.5,54.49,50.95,52.93,45.51,43.59,42.74,51.15,55.17,61.23,47.12,35.76,32.41,39.37,39.52,48.43,50.21,36.02,38.78,43.27,47.61,45.96,43.62,41.74,40.62,43.16,40.33,41.18,53.16,55.49,55.47,52.28,39.84,44.36,56.73,53.91,58.42,53.28,38.51,36.59,46.28,54.88,54.94,58.01,45.63,40.21,43.96,50.17,55.22,51.77,53.38,46.02,34.79,40.62,45.03
apparentTemperatureMaxTime,1579730400,1579816080,1579904640,1579989180,1580075100,1580155200,1580261640,1580334900,1580421060,1580510220,1580586180,1580687880,1580766720,1580853180,1580969820,1581026160,1581112560,1581148800,1581285660,1581375120,1581458520,1581544860,1581624240,1581725400,1581807120,1581888000,1581979020,1582063500,1582150200,1582236060,1582322520,1582412460,1582481400,1582581600,1582668360,1582754580,1582844400,1582925700,1583006340,1583100060,1583185320,1583273220,1583366160,1583445600,1583530560,1583610000,1583705280,1583794440,1583878140,1583964240,1584053340,1584130440,1584215280,1584301320,1584399780
apparentTemperatureMin,34.95,40.96,39.96,41.88,38.41,37.5,35.83,36.63,40.35,42.39,32.99,27.59,27.77,25.18,31.74,38.58,36.64,29.28,29.75,30.88,32.43,33.94,28.92,33.17,32.85,33.29,30.51,26.75,25.24,30.67,30.62,32.65,32.96,30.28,31.34,34.42,34.41,36.01,29.48,24.86,30.41,34.35,37.17,33.44,32.41,32.65,31.72,33.65,31.53,33.7,29,29.86,27.48,30.14,30.47
