,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108,38.9108
Long,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723,-104.4723
Province/State,"El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO","El Paso County, CO"
apparentTemperatureHigh,50.22,35.58,51.05,51.61,50.73,44.46,36.08,33.83,37.75,44.17,63.08,68.34,18.54,2.54,19.81,31.24,23.09,36.99,17.89,20.54,14.87,17.1,20.39,43.16,28.99,45.92,31.63,17.96,15.45,24.29,47.56,53.27,30.15,32.62,5.25,37.87,40.49,55.39,55.58,54.14,44.38,51.66,59.5,45.39,62.32,64.33,64.55,57.77,60.59,64.64,56.69,18.79,34.48,43.41,59.74
apparentTemperatureHighTime,1579723200,1579809720,1579895820,1579981200,1580068620,1580154240,1580251140,1580327760,1580413680,1580500920,1580587500,1580673300,1580758800,1580853180,1580939880,1581017460,1581098640,1581191400,1581278280,1581362040,1581451560,1581532260,1581624120,1581710280,1581796860,1581891960,1581960120,1582055160,1582137480,1582234680,1582313880,1582399980,1582486200,1582562400,1582667640,1582753920,1582833660,1582926540,1583006160,1583092200,1583185920,1583271960,1583358840,1583445180,1583525340,1583611200,1583697360,1583792940,1583870880,1583957100,1584041940,1584104400,1584216120,1584309000,1584388620
apparentTemperatureLow,16.37,16.89,22.7,19.81,22.15,11.86,18.96,11.71,8.94,21.1,32.66,11.07,-4.95,-9.03,2,9.2,6.58,10.3,8.94,4.09,6.47,2.23,2.7,13.73,16.14,21.78,14.03,12.54,1.02,7.36,22.52,23.78,18.96,-1.81,-1.35,15.4,17.05,22.94,26.73,14.23,19.32,20.32,16.65,23.17,30.62,35.03,27.85,29.51,28.35,35.61,17.79,16.16,17.28,27.47,20.57
apparentTemperatureLowTime,1579786380,1579865940,1579946220,1580046420,1580117280,1580219880,1580288700,1580392440,1580465520,1580551080,1580638020,1580736720,1580824080,1580908620,1580983200,1581067740,1581155880,1581256800,1581317280,1581421260,1581478500,1581601860,1581665160,1581772080,1581844740,1581947400,1582014840,1582081140,1582181940,1582275720,1582361580,1582470000,1582541220,1582642800,1582712040,1582790400,1582885200,1582970040,1583056560,1583157960,1583232120,1583316540,1583413800,1583488980,1583574300,1583664660,1583748720,1583837040,1583923680,1584010560,1584108000,1584156000,1584261840,1584351960,1584453120
apparentTemperatureMax,50.22,35.58,51.05,51.61,50.73,44.46,36.08,33.83,37.75,44.17,63.08,68.34,32.89,2.54,19.81,31.24,23.09,36.99,17.89,20.54,14.87,17.1,20.39,43.16,28.99,45.92,31.63,20.54,21.2,24.29,47.56,53.27,31.53,32.62,11.54,37.87,40.49,55.39,55.58,54.14,44.38,51.66,59.5,45.39,62.32,64.33,64.55,57.77,60.59,64.64,56.69,24.99,34.48,43.41,59.74
apparentTemperatureMaxTime,1579723200,1579809720,1579895820,1579981200,1580068620,1580154240,1580251140,1580327760,1580413680,1580500920,1580587500,1580673300,1580713200,1580853180,1580939880,1581017460,1581098640,1581191400,1581278280,1581362040,1581451560,1581532260,1581624120,1581710280,1581796860,1581891960,1581960120,1582027140,1582113420,1582234680,1582313880,1582399980,1582457880,1582562400,1582614000,1582753920,1582833660,1582926540,1583006160,1583092200,1583185920,1583271960,1583358840,1583445180,1583525340,1583611200,1583697360,1583792940,1583870880,1583957100,1584041940,1584079200,1584216120,1584309000,1584388620
apparentTemperatureMin,20.28,16.37,16.89,22.7,19.81,22.15,11.86,18.96,10.78,8.94,21.1,32.66,1.43,-4.95,-9.03,2,9.2,6.58,9.21,7.61,4.09,8.21,2.23,2.7,13.73,16.14,14.14,12.54,1.34,1.02,7.36,22.52,22.44,11.69,-2.12,-1.35,15.4,17.05,22.94,19.45,14.23,19.32,20.32,16.65,23.17,30.62,34.33,27.85,29.51,28.35,27.63,14.28,17.4,17.28,27.47
apparentTemperatureMinTime,1579759200,1579786380,1579865940,1579946220,1580046420,1580117280,1580219880,1580288700,1580447100,1580465520,1580551080,1580638020,1580796000,1580824080,1580908620,1580983200,1581067740,1581155880,1581314400,1581400800,1581421260,1581562320,1581601860,1581665160,1581772080,1581844740,1582005600,1582081140,1582178400,1582182000,1582275720,1582361580,1582520460,1582607100,1582645680,1582712040,1582790400,1582885200,1582970040,1583128800,1583157960,1583232120,1583316540,1583413800,1583488980,1583574300,1583730000,1583748720,1583837040,1583923680,1584075600,1584126780,1584165600,1584261840,1584351960
cloudCover,0.53,0.15,0.17,0.24,0.1,0.52,0.12,0.57,0.24,0.08,0.26,0.02,0.69,0.69,0.22,0.63,0.94,0.15,0.6,0.69,0.48,0.27,0.61,0.17,0.24,0.37,0.59,0.96,0.78,0.31,0.01,0.67,0.59,0.15,0.44,0.04,0.05,0.01,0.61,0.6,0.51,0,0.11,0.06,0.13,0.16,0.29,0.38,0.29,0.13,0.64,0.98,0.68,0.71,0.13
dewPoint,14.35,8.23,9.13,13.33,14.23,19.96,10.31,15.8,10.35,5.35,11.04,-1.56,12.03,-1.18,-5.3,9.88,15.36,15.62,15.49,12.98,8.44,9.29,9.04,13.75,13.67,17.73,18.71,16.51,12.32,6.59,4.68,15,22.17,7.33,5.55,-1.8,11.1,6.02,3.48,18.37,21.64,15.83,10.78,14.85,12.98,14.9,24.03,28.07,19.06,21.15,23.43,22.73,25.38,27.18,24.34
humidity,0.39,0.39,0.36,0.38,0.43,0.55,0.44,0.56,0.49,0.35,0.3,0.13,0.61,0.58,0.46,0.54,0.74,0.6,0.68,0.66,0.64,0.56,0.66,0.5,0.52,0.49,0.61,0.76,0.68,0.61,0.32,0.36,0.59,0.39,0.56,0.36,0.39,0.28,0.22,0.45,0.66,0.43,0.31,0.41,0.32,0.27,0.39,0.59,0.37,0.37,0.41,0.76,0.77,0.75,0.48
icon,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,snow,clear-day,partly-cloudy-day,wind,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,snow,clear-day,snow,partly-cloudy-day,snow,clear-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,snow,snow,snow,snow,clear-day,partly-cloudy-day,rain,clear-day,snow,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,snow,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,clear-day,clear-day,partly-cloudy-day,snow,partly-cloudy-day,partly-cloudy-day,clear-day
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.95,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.52,0.55,0.59,0.63,0.67,0.71,0.74,0.77
ozone,332.9,336.4,333.4,346,320.2,318.6,347.6,355.5,359.6,346.6,329.2,317.7,325.6,382.6,412.1,346.9,335.8,314.4,321.2,331.9,351.7,378,393.7,340.1,345.3,331.4,329.7,337.5,329.6,320.7,290.2,298.2,312.6,359.9,408.5,365.7,351.8,338.3,310.5,330,361.5,339.1,321.1,330.9,308.4,297.7,308.1,339.5,346.5,339.3,336.4,311.5,291.8,311.9,324.7
precipAccumulation,,0.17,0.07,0.06,0.06,0.78,0.13,0.21,0.48,0.1,0.02,,1.38,0.41,0.53,1.44,3.88,0.18,0.33,0.99,0.36,0.56,0.73,0.17,0.16,0.1,0.91,2.43,0.59,0.45,0.1,,,0.14,0.66,0.2,0.05,0.01,,1.44,0.7,0.06,0.05,,,,,,,,,2.83,0.2,0.11,
precipIntensity,0.0005,0.001,0.0007,0.0007,0.0006,0.0064,0.0008,0.0012,0.0022,0.0005,0.0004,0.0004,0.0036,0.0008,0.0012,0.0054,0.0126,0.0011,0.0012,0.003,0.001,0.0016,0.0019,0.0007,0.0008,0.0009,0.0042,0.0074,0.0018,0.0011,0.0011,0.0007,0.003,0.0008,0.0018,0.0007,0.0004,0.0001,0.0007,0.0092,0.0035,0.0008,0.0005,0.0005,0.0009,0.0008,0.0015,0.002,0.0006,0.0006,0.0007,0.0136,0.0018,0.0008,0.0006
precipIntensityMax,0.0015,0.0017,0.0027,0.0019,0.0019,0.0257,0.0039,0.0052,0.0136,0.002,0.0016,0.0021,0.0175,0.0023,0.003,0.0286,0.0363,0.0043,0.0028,0.0154,0.0023,0.0056,0.0086,0.0017,0.002,0.0027,0.019,0.0181,0.0052,0.0024,0.0033,0.0021,0.0098,0.0027,0.0065,0.0027,0.0021,0.0014,0.0021,0.0641,0.0168,0.002,0.0021,0.0019,0.0021,0.002,0.0066,0.0081,0.002,0.002,0.002,0.0556,0.0071,0.0024,0.0019
