,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020
Country/Region,US,US,US,US,US,US,US,US,US,US
Lat,38.0606,38.0606,38.0606,38.0606,38.0606,38.0606,38.0606,38.0606,38.0606,38.0606
Long,-84.4803,-84.4803,-84.4803,-84.4803,-84.4803,-84.4803,-84.4803,-84.4803,-84.4803,-84.4803
Province/State,"Fayette County, KY","Fayette County, KY","Fayette County, KY","Fayette County, KY","Fayette County, KY","Fayette County, KY","Fayette County, KY","Fayette County, KY","Fayette County, KY","Fayette County, KY"
apparentTemperatureHigh,38.67,47.86,44.75,28.95,39.57,41.67,36.74,34.05,44.09,40.78
apparentTemperatureHighTime,1579723560,1579806720,1579896120,1579973160,1580069520,1580154780,1580237220,1580327580,1580414580,1580501160
apparentTemperatureLow,28.08,34.79,26.1,23.88,31.85,26.83,26.76,26.14,30.33,32.51
apparentTemperatureLowTime,1579762560,1579835160,1579952220,1580033340,1580091360,1580184600,1580293800,1580377440,1580444940,1580553720
apparentTemperatureMax,38.67,47.86,44.75,32.92,39.57,41.67,36.74,34.05,44.09,40.78
apparentTemperatureMaxTime,1579723560,1579806720,1579896120,1579928400,1580069520,1580154780,1580237220,1580327580,1580414580,1580501160
apparentTemperatureMin,12.93,28.08,34.08,25.55,23.88,26.84,27.07,26.76,26.14,30.42
apparentTemperatureMinTime,1579698600,1579762560,1579924800,1580011200,1580033340,1580184000,1580187600,1580293800,1580377440,1580446800
cloudCover,0.52,0.91,0.85,0.98,0.67,0.63,0.89,0.88,0.39,0.94
dewPoint,13.18,24.72,40.69,32.03,29.78,33.17,26.84,27.01,27.33,33.03
humidity,0.54,0.58,0.93,0.86,0.77,0.8,0.76,0.75,0.72,0.84
icon,partly-cloudy-day,rain,rain,rain,snow,rain,cloudy,cloudy,partly-cloudy-day,rain
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22
ozone,307.6,311.9,362.5,375.6,357.4,356.2,334.1,346.1,344.1,357.4
precipAccumulation,,,,,0.03,,,,,
precipIntensity,0,0.0056,0.0379,0.0006,0.0003,0.0004,0,0,0,0.0074
precipIntensityMax,0,0.0344,0.1077,0.0081,0.0068,0.0047,0.0001,0.0001,0.0002,0.0499
precipIntensityMaxTime,,1579828980,1579863540,1579935720,1580014860,1580162400,1580266800,1580288400,1580436000,1580487480
precipProbability,0,1,1,0.84,0.73,0.47,0.08,0.14,0.08,1
precipType,,rain,rain,rain,snow,rain,,,,rain
pressure,1029.2,1021.8,1012.4,1016.2,1016.6,1013.7,1018.9,1020.1,1021.8,1020.5
summary,Mostly cloudy throughout the day.,Light rain in the evening and overnight.,Rain throughout the day.,Flurries overnight.,Mostly cloudy throughout the day.,Possible drizzle in the afternoon and evening.,Overcast throughout the day.,Overcast throughout the day.,Clear throughout the day.,Light rain throughout the day.
sunriseTime,1579697460,1579783800,1579870200,1579956540,1580042940,1580129280,1580215620,1580301960,1580388360,1580474700
sunsetTime,1579733400,1579819860,1579906320,1579992840,1580079300,1580165760,1580252220,1580338680,1580425140,1580511600
temperatureHigh,41.39,50.43,48.82,37.45,45.21,46.6,38.01,39,44.59,41.28
temperatureHighTime,1579723680,1579806120,1579896480,1579975740,1580069100,1580154900,1580241660,1580327280,1580414580,1580501160
temperatureLow,31.41,38.85,33.39,30.62,36.05,30.36,30.63,29.33,33.88,35.59
temperatureLowTime,1579759740,1579840980,1579953780,1580033280,1580090760,1580208840,1580292060,1580378640,1580446800,1580554680
temperatureMax,41.39,50.43,48.82,39.22,45.21,46.6,38.01,39,44.59,41.28
temperatureMaxTime,1579723680,1579806120,1579896480,1579928400,1580069100,1580154900,1580241660,1580327280,1580414580,1580501160
temperatureMin,16.07,31.41,38.89,32.82,30.62,31.27,30.36,30.63,29.33,33.88
temperatureMinTime,1579690620,1579759740,1579842000,1580011200,1580033280,1580184000,1580208840,1580292060,1580378640,1580446800
time,1579669200,1579755600,1579842000,1579928400,1580014800,1580101200,1580187600,1580274000,1580360400,1580446800
uvIndex,2,2,2,2,2,2,2,2,3,2
uvIndexTime,1579714800,1579801620,1579887060,1579974840,1580061360,1580147520,1580233560,1580320140,1580406720,1580493300
visibility,10,10,8.945,8.93,10,9.355,10,10,10,9.546
windBearing,139,132,176,239,241,300,319,53,50,60
windGust,13.8,17.98,19.19,22.73,22.38,14.07,8.93,11.91,10.64,9.37
windGustTime,1579705380,1579834740,1579924800,1580011200,1580014800,1580101200,1580187600,1580307360,1580360400,1580446800
windSpeed,3.79,4.54,6.41,10.69,8.16,5.74,2.9,5.33,3.51,3.35
