,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Florida
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663,27.7663
Long,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868,-81.6868
apparentTemperatureLow,45.84,58.99,56.74,39.82,52.21,55.11,44.22,54.84,57.15,60.5,41.22,41.71,44.74,56.1,67.65,59.8,38.85,51.27,54.46,64.32,66.32,67.62,70.53,58.04,60.55,64.17,66.58,70.04,70.11,52.42,37.54,51.19,53.87,58.63,64.24,50.55,35.27,40.92,39.02,47.91,56.49,61.89,67.92,64.29,42.67,43.26,54.03,60.07,58.47,60.54,61.14,60.35,63.33,62.32,63.12
precipIntensity,0.0005,0.0023,0.0073,0.0007,0.0006,0.0009,0.0011,0.002,0.0013,0.0009,0.0192,0.0003,0.0006,0.0005,0.0012,0.0038,0.0621,0.0008,0.0007,0.0006,0.0009,0.0014,0.0009,0.0093,0.0011,0.0104,0.0006,0.001,0.0058,0.005,0.003,0.0007,0.0005,0.0007,0.0008,0.0099,0.0006,0.0001,0.0006,0.0005,0.0011,0.0009,0.0006,0.0014,0.0016,0.0009,0.0006,0.0008,0.0012,0.0013,0.0008,0.0007,0.0007,0.0006,0.0011
temperatureHighTime,1579730040,1579807200,1579893660,1579982160,1580069340,1580154960,1580241600,1580329680,1580420460,1580500080,1580576700,1580673780,1580760600,1580846160,1580932860,1581018120,1581105180,1581192120,1581276480,1581364200,1581449220,1581537240,1581623640,1581710040,1581796200,1581881880,1581969540,1582055280,1582141620,1582228560,1582311240,1582401000,1582485720,1582574100,1582659120,1582747140,1582833420,1582920300,1583006160,1583093220,1583178900,1583265060,1583352180,1583435220,1583524560,1583610660,1583694720,1583781660,1583869980,1583956380,1584042720,1584129180,1584215880,1584302580,1584386520
temperatureMax,57.8,73.5,77.98,72.91,69.99,72.14,71.87,74.75,70.49,76.73,66.99,65.59,73.95,79.87,82.12,85.96,74.71,71.5,77.73,84.13,85.93,87,87.59,79.16,78.82,83.79,82.96,86.42,85.86,85.44,69.72,72.48,76.66,80.18,86.88,83.58,63.97,65.61,68.02,73.67,79.07,85.23,89.2,89.04,77.35,69.58,73.97,76.7,79.47,82.29,84.75,86.2,86.86,86.5,83.78
windSpeed,11.81,7.59,4.63,6.84,4.19,3.33,7.17,4.91,6.18,4.8,7.21,7.53,2.89,4.39,5.74,15.32,10.63,6.48,9.62,8.05,5.15,5.85,8.6,6.79,10.39,6.46,2.52,5.62,3.52,7.5,13.12,11.12,6.72,6.48,9.21,8.01,10.71,6.68,7.73,4.99,7.22,7.76,7.26,11.04,10.24,10.81,10.66,9.73,6.22,3.11,3.1,4.49,5.37,3.62,6.48
apparentTemperatureMin,23.66,45.84,58.99,47.32,39.82,52.21,53.6,44.22,54.84,57.15,54.67,41.22,41.71,44.74,56.1,67.65,47.74,38.85,51.27,54.46,64.32,66.32,67.62,61.03,58.04,60.55,64.17,66.58,70.04,70.11,41.71,37.54,51.19,53.87,58.63,63.22,42.44,35.27,40.92,39.02,47.91,56.49,61.89,67.92,59.34,42.67,43.26,54.03,60.07,58.47,60.54,61.14,60.35,63.33,62.32
icon,partly-cloudy-day,rain,rain,clear-day,clear-day,rain,clear-day,rain,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,rain,partly-cloudy-day,rain,rain,partly-cloudy-day,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day
apparentTemperatureMax,57.3,73,77.48,72.41,69.49,71.64,71.37,74.25,69.99,76.23,67.21,65.09,73.45,79.37,82.68,87.8,75.21,71,77.23,84.23,87.35,89.05,89.32,79.5,78.53,84.59,83.98,87.16,88.98,87.21,70.29,71.98,76.16,79.68,87.29,86.15,63.47,65.11,67.52,73.17,78.57,84.73,89.15,91.6,76.85,69.08,73.47,76.2,78.97,81.79,84.25,85.7,86.36,86,84.6
apparentTemperatureHigh,57.3,73,77.48,72.41,69.49,71.64,71.37,74.25,69.99,76.23,67.21,65.09,73.45,79.37,82.68,87.8,65.55,71,77.23,84.23,87.35,89.05,89.32,79.5,78.53,84.59,83.98,87.16,88.98,87.21,57.63,71.98,76.16,79.68,87.29,86.15,63.47,65.11,67.52,73.17,78.57,84.73,89.15,91.6,76.85,69.08,73.47,76.2,78.97,81.79,84.25,85.7,86.36,86,84.6
temperatureMinTime,1579690980,1579763880,1579863060,1580011200,1580033220,1580110980,1580270400,1580291940,1580388780,1580464740,1580616000,1580641380,1580724540,1580810580,1580889300,1580976300,1581134400,1581156000,1581242340,1581331620,1581415380,1581508020,1581586680,1581739200,1581749400,1581847380,1581929400,1582020000,1582106220,1582192200,1582344000,1582365660,1582452180,1582538640,1582627860,1582776000,1582862400,1582887600,1582961940,1583057220,1583146260,1583230260,1583306580,1583395860,1583553600,1583579160,1583653440,1583747280,1583840340,1583926740,1584009600,1584099240,1584182160,1584268560,1584356400
summary,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Possible drizzle in the evening and overnight.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Heavy rain in the evening and overnight.,Possible light rain in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain in the afternoon.,Partly cloudy throughout the day.,Possible light rain in the evening.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Possible drizzle in the morning.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Light rain starting in the afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.
sunriseTime,1579695540,1579781880,1579868280,1579954680,1580041020,1580127420,1580213820,1580300160,1580386560,1580472900,1580559300,1580645640,1580732040,1580818380,1580904780,1580991120,1581077460,1581163860,1581250200,1581336540,1581422940,1581509280,1581595620,1581681960,1581768360,1581854700,1581941040,1582027380,1582113720,1582200060,1582286460,1582372800,1582459140,1582545480,1582631820,1582718160,1582804500,1582890840,1582977180,1583063520,1583149860,1583236200,1583322540,1583408880,1583495220,1583581560,1583667840,1583754180,1583840520,1583926860,1584013200,1584099540,1584185880,1584272220,1584358560
windBearing,341,39,172,317,3,144,29,71,8,87,275,310,149,183,154,186,279,41,72,109,161,148,202,0,52,109,122,131,71,236,5,19,69,147,198,222,317,312,313,81,145,196,199,210,314,26,58,86,90,88,111,119,88,77,77
uvIndex,4,5,4,6,5,4,5,5,4,4,4,6,6,6,5,6,6,6,6,7,6,5,6,5,5,6,6,6,6,6,5,7,8,7,7,6,8,8,7,7,7,7,8,8,7,8,8,7,7,9,8,9,9,9,8
