,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034,33.8034
Long,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963,-84.3963
Province/State,"Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA","Fulton County, GA"
apparentTemperatureHigh,49.08,47.27,56.26,41.07,50.66,51.54,58.27,52.36,58.24,41.86,47.3,64.96,76.02,67.98,67.92,70.69,38.7,42.79,55.11,51.44,71.32,73.15,65.83,51.66,55.42,47.64,53.44,61.27,52.99,41.52,47.45,56.93,56.51,46.84,66.57,55.39,46.19,51.53,55.23,64.08,54.45,70.67,56.19,51.7,56.94,59.38,62.95,67.52,65.52,71.98,75.15,72,79.34,69.1,56.27
apparentTemperatureHighTime,1579724280,1579812960,1579901820,1579983240,1580066760,1580162400,1580241960,1580327820,1580420880,1580497380,1580597460,1580678460,1580763360,1580853240,1580932920,1580997420,1581120000,1581200160,1581284040,1581379200,1581447780,1581543720,1581595200,1581710820,1581801360,1581897600,1581976440,1582059180,1582148040,1582200240,1582322280,1582406460,1582491300,1582576560,1582662900,1582743180,1582840260,1582920660,1583011500,1583096400,1583193600,1583266140,1583358780,1583416320,1583525820,1583618340,1583701860,1583791080,1583876580,1583952540,1584049200,1584129300,1584218640,1584306360,1584395460
apparentTemperatureLow,35.34,37,35.41,31.42,44.89,38.18,41.78,38.63,39.11,38.3,36.58,43.46,57.01,61.46,61.87,32.7,32.7,33.14,36.98,51.44,51.88,58.64,30.24,29.31,41.34,42.8,50.54,46.9,40.04,30.11,31.2,37.83,45.27,45.2,45.68,28.03,30.56,33.83,35.41,50.12,54.25,54.33,50.94,41.88,30.23,40.06,46.22,56.58,55.45,60.2,64.26,56.67,57.37,53.75,50.6
apparentTemperatureLowTime,1579773720,1579846320,1579950000,1580036460,1580126640,1580215740,1580298120,1580382060,1580475600,1580518080,1580647500,1580732700,1580819940,1580890320,1580961420,1581080400,1581155400,1581238980,1581331380,1581379200,1581500940,1581598800,1581685200,1581768180,1581849540,1581933960,1581994260,1582117200,1582196520,1582286640,1582371600,1582456680,1582549200,1582602780,1582721580,1582808400,1582892700,1582974780,1583062320,1583151780,1583197020,1583325360,1583403540,1583498820,1583585040,1583658180,1583749320,1583841600,1583914080,1584003240,1584100500,1584186420,1584252240,1584360000,1584434940
apparentTemperatureMax,49.08,47.27,56.26,44.1,50.66,51.54,58.27,52.36,58.24,47.33,47.3,64.96,76.02,67.98,67.92,70.69,50.26,42.79,55.11,54.22,71.32,73.15,71.27,51.66,55.42,47.64,53.44,61.27,58.79,47.77,47.45,56.93,56.51,51.16,66.57,55.39,46.19,51.53,55.23,64.08,55,70.67,62.33,52.21,56.94,59.38,62.95,67.52,65.52,71.98,75.15,72,79.34,69.1,58.05
apparentTemperatureMaxTime,1579724280,1579812960,1579901820,1579928400,1580066760,1580162400,1580241960,1580327820,1580420880,1580446800,1580597460,1580678460,1580763360,1580853240,1580932920,1580997420,1581051600,1581200160,1581284040,1581393600,1581447780,1581543720,1581590760,1581710820,1581801360,1581897960,1581976440,1582059180,1582088400,1582174800,1582322280,1582406460,1582491300,1582520400,1582662900,1582743180,1582840260,1582920660,1583011500,1583096400,1583125200,1583266140,1583298000,1583384400,1583525820,1583618340,1583701860,1583791080,1583876580,1583952540,1584049200,1584129300,1584218640,1584306360,1584331200
