,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406,33.0406
Long,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431,-83.6431
Province/State,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia
apparentTemperatureHigh,51.42,53.23,59.8,53.5,57.82,56.42,62.85,55.12,60.55,40.19,51.39,64.82,75.19,71.79,72.59,71.11,41.65,45.72,58.27,66.82,76.85,74.08,70.48,59.64,58.89,46.65,55.54,61.75,61.74,41.61,45.71,57.57,61.63,52.92,69.67,60.29,51.8,57.6,58.9,66.64,63.91,67.6,58.06,52.33,59.71,60.09,63.95,71.79,70.13,73.42,75.45,78.29,81.8,73.91,61.16
apparentTemperatureHighTime,1579724220,1579809420,1579899120,1579982220,1580068920,1580152560,1580241660,1580327640,1580414400,1580511180,1580588280,1580673900,1580760840,1580846040,1580932200,1581001620,1581109440,1581190740,1581279120,1581364620,1581451920,1581541140,1581597720,1581712320,1581797280,1581895020,1581970500,1582056300,1582142340,1582200000,1582315500,1582401600,1582484760,1582581240,1582661340,1582743960,1582834620,1582920360,1583006700,1583092320,1583169180,1583263320,1583362320,1583421060,1583523660,1583611320,1583697360,1583783400,1583868840,1583957340,1584043860,1584129240,1584213840,1584302340,1584388500
apparentTemperatureLow,31.88,42.79,32.39,30.74,44.15,33.5,36.78,33.63,37.56,36.68,32.96,37.27,47.96,59.96,63.96,35.59,30.7,31.1,35.77,58.41,54.71,66.25,35.32,28.19,37.8,44.07,52.62,59,40.88,32.69,27.37,30.99,45.91,50.17,48.32,28.43,26.35,31.36,30.91,41.21,55.78,55.33,50.21,41.59,28.35,33.78,39.73,54.59,51.06,57.68,59.88,57.29,55.22,53.83,53.39
apparentTemperatureLowTime,1579776660,1579852740,1579950300,1580039820,1580124720,1580208720,1580284320,1580385180,1580475600,1580535420,1580638020,1580724240,1580814840,1580894520,1580948460,1581080400,1581156120,1581250320,1581332040,1581384600,1581508500,1581570000,1581677880,1581760920,1581836160,1581919260,1581996600,1582117200,1582203600,1582281540,1582371000,1582452480,1582542720,1582592820,1582715220,1582800960,1582889820,1582974480,1583056860,1583146800,1583195760,1583318580,1583413200,1583495460,1583578740,1583661840,1583748480,1583838000,1583920920,1584006180,1584096840,1584185280,1584266580,1584360000,1584438780
apparentTemperatureMax,51.42,53.23,59.8,53.5,57.82,56.42,62.85,55.12,60.55,41.96,51.39,64.82,75.19,71.79,72.59,71.11,56.94,45.72,58.27,66.82,76.85,74.08,70.48,59.64,58.89,46.65,55.54,62.28,61.74,50.16,45.71,57.57,61.63,52.92,69.67,60.29,51.8,57.6,58.9,66.64,63.91,67.6,60.06,54.2,59.71,60.09,63.95,71.79,70.13,73.42,75.45,78.29,81.8,73.91,62.68
apparentTemperatureMaxTime,1579724220,1579809420,1579899120,1579982220,1580068920,1580152560,1580241660,1580327640,1580414400,1580446800,1580588280,1580673900,1580760840,1580846040,1580932200,1581001620,1581051600,1581190740,1581279120,1581364620,1581451920,1581541140,1581597720,1581712320,1581797280,1581895020,1581970500,1582077720,1582142340,1582174800,1582315500,1582401600,1582484760,1582581240,1582661340,1582743960,1582834620,1582920360,1583006700,1583092320,1583169180,1583263320,1583298000,1583384400,1583523660,1583611320,1583697360,1583783400,1583868840,1583957340,1584043860,1584129240,1584213840,1584302340,1584331200
