,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088,43.9088
Long,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001,-71.82600000000001
Province/State,"Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH","Grafton County, NH"
apparentTemperatureHigh,27.78,36.19,33.25,25.23,29.11,27.47,19.29,13.6,29.1,32.68,32.09,24.61,28.88,35.89,20.32,22.6,24.89,1.53,19.43,29.41,31.12,27.07,32.9,-7.12,13.27,26.75,15.2,18.7,15.54,4.87,16.12,26.91,38.62,44.32,42.31,37.56,25.59,13.7,14.1,10.21,31.05,45.63,25.26,31.31,28.79,20.6,37.68,56.51,47.53,29.57,30.91,35.19,31.39,22.35,25.96
apparentTemperatureHighTime,1579725420,1579805340,1579885320,1579996800,1580040000,1580143740,1580229360,1580317020,1580413620,1580500620,1580577000,1580684940,1580756460,1580846400,1580947200,1581033600,1581090420,1581188520,1581276420,1581363480,1581452100,1581534420,1581622260,1581706920,1581795960,1581879840,1581958140,1582070400,1582113600,1582226040,1582314540,1582398360,1582483800,1582570860,1582650660,1582732980,1582804800,1582916760,1582977600,1583092560,1583186040,1583259000,1583337780,1583435700,1583513700,1583608860,1583695740,1583782560,1583865180,1583954100,1584043260,1584129600,1584212820,1584297540,1584387540
apparentTemperatureLow,7.51,18.63,21.78,25.23,22.68,17.71,6.94,0.46,13.03,24.46,17.19,16.23,22.97,15.51,13.93,21.84,-3.59,-4.22,12.7,20.18,12.77,21.21,-13.97,-15.07,5.25,12.96,4.28,15.04,-6.02,-12.28,2.9,15.23,21.43,30.1,30.06,24.73,3.73,8.37,-2.2,9.75,27.48,23.14,18.52,19.87,6.28,13.2,29.84,34.47,18.15,22.93,24.84,18.73,12.13,8.02,14.78
apparentTemperatureLowTime,1579779060,1579867980,1579952880,1579996800,1580093760,1580213100,1580300220,1580384880,1580471880,1580555640,1580644140,1580721420,1580787720,1580904540,1580987160,1581040140,1581160200,1581212280,1581299940,1581426000,1581508260,1581563100,1581685200,1581759960,1581823680,1581940560,1582023180,1582117200,1582198380,1582285560,1582366080,1582444020,1582544520,1582628820,1582678980,1582808400,1582887540,1582952100,1583060520,1583145720,1583197620,1583323680,1583407800,1583494260,1583582760,1583661480,1583752320,1583840640,1583928000,1584014400,1584093960,1584186180,1584273600,1584330840,1584425340
apparentTemperatureMax,27.78,36.19,33.25,28.94,33.26,27.47,20.91,13.6,29.1,32.68,32.09,24.61,28.88,35.89,21.58,23.33,24.89,2.29,19.43,29.41,31.12,27.07,32.9,7.84,13.27,26.75,17.41,23.68,24.08,4.87,16.12,26.91,38.62,44.32,42.31,37.56,27.96,13.7,14.1,15.15,31.05,45.63,35.99,31.31,28.79,20.6,37.68,56.51,47.53,34.87,30.91,35.19,31.39,22.35,25.96
apparentTemperatureMaxTime,1579725420,1579805340,1579885320,1580011200,1580030820,1580143740,1580191200,1580317020,1580413620,1580500620,1580577000,1580684940,1580756460,1580846400,1580878800,1581045960,1581090420,1581217980,1581276420,1581363480,1581452100,1581534420,1581622260,1581656400,1581795960,1581879840,1581915600,1582084800,1582088400,1582226040,1582314540,1582398360,1582483800,1582570860,1582650660,1582732980,1582779600,1582916760,1582977600,1583111880,1583186040,1583259000,1583298000,1583435700,1583513700,1583608860,1583695740,1583782560,1583865180,1583899200,1584043260,1584129600,1584212820,1584297540,1584387540
