,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443,13.4443
Long,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937,144.7937
time,1579615200,1579701600,1579788000,1579874400,1579960800,1580047200,1580133600,1580220000,1580306400,1580392800,1580479200,1580565600,1580652000,1580738400,1580824800,1580911200,1580997600,1581084000,1581170400,1581256800,1581343200,1581429600,1581516000,1581602400,1581688800,1581775200,1581861600,1581948000,1582034400,1582120800,1582207200,1582293600,1582380000,1582466400,1582552800,1582639200,1582725600,1582812000,1582898400,1582984800,1583071200,1583157600,1583244000,1583330400,1583416800,1583503200,1583589600,1583676000,1583762400,1583848800,1583935200,1584021600,1584108000,1584194400,1584280800
summary,Light rain in the morning and overnight.,Possible drizzle in the morning and overnight.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Light rain and humid throughout the day.,Possible light rain in the morning and overnight.,Light rain in the morning.,Possible light rain in the morning and overnight.,Light rain in the morning and overnight.,Rain and humid throughout the day.,Rain and humid throughout the day.,Rain and humid throughout the day.,Light rain and humid throughout the day.,Light rain in the morning.,Humid and overcast throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Possible drizzle in the morning.,Partly cloudy throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.,Possible drizzle in the morning.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Possible drizzle in the morning.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible drizzle overnight.,Possible light rain in the morning.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Light rain until evening.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and overcast throughout the day.,Light rain in the morning.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Possible drizzle overnight.
icon,rain,rain,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,clear-day,rain,clear-day,rain,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,rain,rain,partly-cloudy-day,partly-cloudy-day,rain
sunriseTime,1579639740,1579726140,1579812540,1579898940,1579985340,1580071740,1580158140,1580244540,1580330940,1580417340,1580503740,1580590140,1580676540,1580762940,1580849280,1580935680,1581022080,1581108480,1581194820,1581281220,1581367620,1581453960,1581540360,1581626760,1581713100,1581799500,1581885900,1581972240,1582058640,1582144980,1582231380,1582317720,1582404120,1582490520,1582576860,1582663200,1582749600,1582835940,1582922340,1583008680,1583095080,1583181420,1583267820,1583354160,1583440500,1583526900,1583613240,1583699580,1583785980,1583872320,1583958720,1584045060,1584131400,1584217800,1584304140
sunsetTime,1579681020,1579767480,1579853880,1579940340,1580026740,1580113200,1580199600,1580286060,1580372460,1580458920,1580545320,1580631720,1580718180,1580804580,1580891040,1580977440,1581063900,1581150300,1581236700,1581323160,1581409560,1581495960,1581582420,1581668820,1581755220,1581841680,1581928080,1582014480,1582100880,1582187340,1582273740,1582360140,1582446540,1582533000,1582619400,1582705800,1582792200,1582878660,1582965060,1583051460,1583137860,1583224260,1583310660,1583397060,1583483520,1583569920,1583656320,1583742720,1583829120,1583915520,1584001920,1584088320,1584174720,1584261180,1584347580
moonPhase,0.92,0.95,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.39,0.43,0.47,0.51,0.54,0.58,0.62,0.66,0.7,0.73,0.77,0.8,0.84,0.87,0.9,0.93,0.96,0.99,0.02,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.34,0.37,0.41,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75
