,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943,21.0943
Long,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983,-157.4983
time,1579687200,1579773600,1579860000,1579946400,1580032800,1580119200,1580205600,1580292000,1580378400,1580464800,1580551200,1580637600,1580724000,1580810400,1580896800,1580983200,1581069600,1581156000,1581242400,1581328800,1581415200,1581501600,1581588000,1581674400,1581760800,1581847200,1581933600,1582020000,1582106400,1582192800,1582279200,1582365600,1582452000,1582538400,1582624800,1582711200,1582797600,1582884000,1582970400,1583056800,1583143200,1583229600,1583316000,1583402400,1583488800,1583575200,1583661600,1583748000,1583834400,1583920800,1584007200,1584093600,1584180000,1584266400,1584352800
summary,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Light rain overnight.,Light rain until evening.,Clear throughout the day.,Partly cloudy throughout the day.,Possible light rain overnight.,Light rain until evening.,Possible light rain in the morning.,Clear throughout the day.,Humid throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy in the evening and overnight.,Windy throughout the day.,Windy in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy overnight.,Windy overnight.,Windy throughout the day.,Windy throughout the day.,Windy until evening.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Possible drizzle in the evening.,Windy starting in the afternoon.,Windy and mostly cloudy throughout the day.,Windy in the morning.,Partly cloudy throughout the day.,Clear throughout the day.,Possible drizzle overnight.,Possible light rain throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Possible light rain starting in the afternoon.,Possible light rain until evening.
icon,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,wind,wind,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,wind,rain,rain,rain,clear-day,clear-day,rain,rain,wind,partly-cloudy-day,clear-day,clear-day,rain,rain,rain,rain,rain,rain
sunriseTime,1579713060,1579799400,1579885800,1579972200,1580058600,1580145000,1580231340,1580317740,1580404140,1580490540,1580576880,1580663280,1580749680,1580836020,1580922420,1581008760,1581095160,1581181500,1581267900,1581354240,1581440640,1581526980,1581613380,1581699720,1581786120,1581872460,1581958800,1582045200,1582131540,1582217880,1582304280,1582390620,1582476960,1582563360,1582649700,1582736040,1582822380,1582908780,1582995120,1583081460,1583167800,1583254140,1583340540,1583426880,1583513220,1583599560,1583685900,1583772240,1583858580,1583944980,1584031320,1584117660,1584204000,1584290340,1584376680
sunsetTime,1579752900,1579839360,1579925760,1580012220,1580098680,1580185080,1580271540,1580357940,1580444400,1580530860,1580617260,1580703720,1580790180,1580876580,1580963040,1581049440,1581135900,1581222360,1581308760,1581395220,1581481620,1581568080,1581654480,1581740940,1581827340,1581913800,1582000200,1582086660,1582173060,1582259520,1582345920,1582432380,1582518780,1582605240,1582691640,1582778040,1582864500,1582950900,1583037360,1583123760,1583210160,1583296620,1583383020,1583469480,1583555880,1583642280,1583728740,1583815140,1583901540,1583988000,1584074400,1584160800,1584247260,1584333660,1584420060
moonPhase,0.95,0.98,0.01,0.04,0.07,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.54,0.58,0.61,0.65,0.69,0.73,0.76,0.8,0.83,0.86,0.89,0.93,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.64,0.68,0.71,0.75,0.78
precipIntensity,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0004,0.0002,0.0009,0.0027,0.0021,0.0003,0.0002,0.0019,0.0242,0.0012,0.0017,0.0012,0.0131,0.0086,0.004,0.0008,0.0002,0.0004,0.0002,0.0002,0.0002,0.0012,0.0003,0.0002,0.0003,0.0003,0.0008,0.0009,0.0002,0.0003,0.0006,0.0052,0.0031,0.0044,0.0007,0.0006,0.0023,0.0013,0.0005,0.0003,0.001,0.0003,0.002,0.0129,0.0048,0.0012,0.011,0.0145
precipIntensityMax,0.0003,0.0004,0.0002,0.0003,0.0004,0.0003,0.0006,0.0013,0.0004,0.0037,0.0115,0.0085,0.0029,0.0006,0.013,0.0649,0.0032,0.006,0.016,0.0292,0.0262,0.0128,0.0042,0.0018,0.0026,0.0015,0.0014,0.0015,0.0041,0.0029,0.0005,0.0009,0.0013,0.0101,0.0094,0.0009,0.0007,0.0023,0.0396,0.0103,0.0154,0.0063,0.003,0.0115,0.0052,0.0026,0.001,0.0027,0.0034,0.0125,0.0397,0.0302,0.0073,0.0433,0.0284
precipIntensityMaxTime,1579753380,1579781280,1579942800,1579986000,1580093880,1580121600,1580246520,1580320920,1580417640,1580533020,1580606520,1580653860,1580727420,1580871780,1580979600,1581028440,1581141000,1581163860,1581325140,1581389520,1581434520,1581548100,1581591540,1581677820,1581778740,1581930000,1581933600,1582102800,1582189200,1582192800,1582300920,1582405200,1582501140,1582621200,1582624800,1582794000,1582797600,1582934220,1583017080,1583056800,1583203380,1583237460,1583374860,1583464320,1583549880,1583602980,1583732820,1583775900,1583917200,1584003540,1584069180,1584093600,1584262800,1584316980,1584414060
precipProbability,0.04,0.08,0.08,0.09,0.12,0.08,0.08,0.1,0.1,0.26,0.35,0.31,0.15,0.14,0.41,0.99,0.41,0.35,0.35,0.91,0.72,0.52,0.3,0.21,0.13,0.08,0.14,0.1,0.2,0.16,0.09,0.11,0.16,0.19,0.19,0.11,0.15,0.16,0.41,0.5,0.55,0.16,0.21,0.43,0.34,0.21,0.12,0.19,0.11,0.36,0.86,0.61,0.28,0.73,0.84
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
temperatureHigh,76.89,77.09,77.37,78.29,78.97,78.81,77.72,78.19,78.34,78.24,77.59,78.41,79,78.05,77.97,73.49,72.67,73.16,75.14,72.04,74.65,77.43,80.78,79.36,78.72,77.87,77.3,77.91,77.81,76.79,77.95,77.66,76.95,77.58,78.44,77.4,76.06,75.68,76.27,76.29,76.96,78.08,77.99,77.63,77.08,76.5,75.51,75.3,76.75,76.41,76.4,77.08,77.18,77.82,78.18
temperatureHighTime,1579741020,1579821960,1579908180,1580000220,1580086620,1580172900,1580256420,1580344380,1580429040,1580515800,1580595060,1580691180,1580777640,1580860920,1580947320,1581033000,1581119700,1581207960,1581295080,1581375540,1581463380,1581555540,1581642240,1581724740,1581814080,1581897120,1581981120,1582070280,1582156860,1582236900,1582330800,1582417620,1582496400,1582587120,1582675560,1582761240,1582841460,1582936980,1583020800,1583107320,1583191980,1583281080,1583367300,1583453040,1583532960,1583628780,1583706360,1583792040,1583886300,1583965680,1584056040,1584144000,1584232800,1584319740,1584405240
temperatureLow,71.33,72.56,71.5,73.1,72.23,72.68,73.18,73.23,72.88,73.29,71.69,72.81,72.66,72.41,69.15,69.37,67.74,69.25,66.72,69.67,69.96,72.84,73.74,72.06,72.22,72.08,71.97,71.78,71.39,71.5,71.5,71.92,71.47,71.93,71.72,71.18,70.89,70.5,70.5,70.42,71.13,72.35,71.95,71.17,70.72,70.2,69.73,70.34,71.24,70.76,69.59,70.59,71.51,73.03,72.99
temperatureLowTime,1579779000,1579865700,1579950240,1580052060,1580123100,1580209440,1580316120,1580396940,1580484720,1580555040,1580641620,1580727660,1580825940,1580903640,1580997660,1581093660,1581174480,1581262680,1581351540,1581433980,1581517020,1581593100,1581678000,1581775860,1581851100,1581948060,1582024800,1582110180,1582211520,1582283100,1582369680,1582472160,1582556580,1582648140,1582734480,1582821660,1582908240,1582994160,1583071200,1583161140,1583236440,1583326260,1583412900,1583494740,1583599740,1583679360,1583773020,1583841060,1583932440,1584024240,1584097740,1584190320,1584270720,1584356100,1584421200
apparentTemperatureHigh,76.9,77.15,77.64,78.9,79.51,79.06,78.14,78.59,78.85,78.61,78.16,78.66,79.32,78.37,78.46,74,72.33,72.99,74.85,72.02,75.05,77.63,84.61,81.63,78.97,78.24,77.69,78.2,78.29,77.04,78.25,77.9,77.45,77.97,78.82,77.76,76.24,75.7,76.48,76.76,77.55,78.76,78.59,78.24,77.74,76.49,75.63,75.62,76.83,76.89,76.88,77.64,77.81,78.6,78.98
apparentTemperatureHighTime,1579740900,1579826340,1579907940,1580000280,1580086620,1580172900,1580257320,1580343960,1580429040,1580515020,1580595120,1580691060,1580777520,1580860980,1580947440,1581031920,1581118920,1581207300,1581294540,1581375600,1581463620,1581555360,1581642300,1581724800,1581813720,1581896880,1581980700,1582069980,1582156500,1582237380,1582330320,1582417260,1582496400,1582586760,1582675380,1582761000,1582841400,1582936680,1583020680,1583106960,1583191740,1583279400,1583366340,1583452980,1583532900,1583628660,1583706300,1583792040,1583885460,1583965500,1584055560,1584143880,1584232080,1584320100,1584395220
apparentTemperatureLow,72.29,73.74,73.06,74.68,73.72,73.88,74.64,74.59,74.44,74.72,73.05,74.3,73.92,73.74,70.59,70.08,68.72,70.23,67.67,70.99,71.08,74.37,75.7,73.65,73.5,73.42,73.1,73.26,72.55,72.65,72.74,73.26,72.64,73.35,73.14,72.42,71.85,71.64,71.72,71.76,72.5,73.8,73.28,72.48,72.12,71.21,70.92,71.46,72.4,72.04,71.07,72.04,73.14,74.7,74.6
apparentTemperatureLowTime,1579780500,1579867500,1579952400,1580051820,1580123220,1580209980,1580316060,1580396280,1580484480,1580556480,1580641800,1580727960,1580824320,1580903760,1580997660,1581093660,1581174420,1581265860,1581356280,1581433800,1581517200,1581594240,1581678540,1581775620,1581851220,1581947760,1582026780,1582110420,1582211580,1582283100,1582369740,1582471620,1582556220,1582628520,1582734540,1582821900,1582908300,1582991160,1583069280,1583160600,1583236620,1583324760,1583413020,1583494980,1583599680,1583679360,1583751540,1583841540,1583932020,1584023880,1584098040,1584190080,1584270540,1584358020,1584421200
dewPoint,64.46,64.8,67.3,69.36,69.28,67.01,67.68,68.29,68.47,68.56,67.91,67.65,68.17,67.48,68.41,66.81,61.82,63.3,62.97,63.19,66.32,66.52,71.65,70.31,68.1,67.37,67.12,67.39,69.04,66.09,66.6,66.69,67.56,67.61,68.46,67.26,65.19,64.27,65.95,67.05,67.84,69.2,69.4,68.84,68.11,65.88,64.69,65.86,65.37,67.07,67.49,68.62,69.3,70.63,70.61
humidity,0.71,0.72,0.78,0.83,0.81,0.76,0.78,0.79,0.79,0.8,0.79,0.79,0.78,0.77,0.81,0.86,0.74,0.78,0.74,0.8,0.82,0.78,0.85,0.82,0.8,0.79,0.79,0.79,0.84,0.77,0.77,0.77,0.8,0.8,0.82,0.79,0.76,0.75,0.79,0.81,0.82,0.83,0.83,0.83,0.82,0.78,0.77,0.81,0.76,0.8,0.83,0.85,0.86,0.87,0.86
pressure,1018.4,1017.6,1018.7,1019.3,1019.9,1020.3,1019.7,1018.2,1017.9,1017.6,1017.6,1016.8,1016.6,1016.8,1014.8,1012.3,1010.7,1011.3,1012.4,1007.9,1008.5,1010.8,1014.1,1015.6,1016.6,1017,1017,1018.7,1020.1,1021.5,1020.4,1019.5,1019.8,1021,1020.8,1020.7,1020.2,1019.8,1020.8,1020.2,1018.5,1017.6,1016.9,1017.1,1020.1,1022.7,1020.3,1017.7,1017.2,1016.1,1014.5,1015.1,1017.2,1016.7,1015.6
windSpeed,4.09,4.84,8.8,13.45,11.52,9.52,6.52,6.58,8.79,10.21,15.09,15.01,11.64,5.57,6.36,15.88,16.4,16.31,15.92,21.96,18.1,8.94,10.78,14.45,15.85,22.73,22.39,24.73,27.06,26.07,19.49,9.67,7.97,11.9,20.56,24,23.74,25.49,26.68,26.19,16.71,8.8,6.22,10.63,25.1,26.73,24.35,17.46,9.06,6.57,4.89,8.01,13.8,9.2,13.33
windGust,8.12,9.28,16.18,16.63,15.53,15.55,11.27,13.76,14.7,18.39,22.87,18.81,19.22,8.18,11.86,27.21,25.73,20.49,31.68,30.41,26.65,14.35,18.61,25.69,24.72,29.36,27.98,34.07,36.66,37.05,29.63,19.68,15.1,22.88,28.47,29.74,29.66,31.55,36.63,37.46,29.77,14.24,10.12,27.8,37.32,36.33,30.58,22.91,18.99,12.27,10.68,16.47,19.27,17.43,27.11
windGustTime,1579717140,1579813800,1579939800,1580019300,1580102280,1580122080,1580288400,1580295120,1580446860,1580547600,1580612100,1580705100,1580747760,1580835120,1580949540,1581050700,1581069600,1581223200,1581316380,1581353400,1581417540,1581584400,1581670800,1581699000,1581843600,1581871440,1582010040,1582102800,1582174440,1582196160,1582303560,1582366740,1582525980,1582621200,1582707600,1582794000,1582797600,1582951080,1583037960,1583124480,1583145120,1583254320,1583394600,1583485200,1583571060,1583575200,1583685720,1583748000,1583834400,1583972460,1584080220,1584162480,1584247680,1584266400,1584414240
windBearing,93,173,28,64,70,94,39,239,36,72,63,71,95,129,181,12,344,343,312,317,1,81,85,82,81,68,66,62,66,70,75,88,320,39,64,61,57,59,61,65,71,67,3,62,66,66,58,61,70,301,158,19,36,70,144
cloudCover,0.04,0.05,0.13,0.03,0,0.02,0.29,0.31,0.56,0.67,0.31,0.08,0.02,0.01,0.21,0.9,0.28,0.34,0.2,0.51,0.24,0.08,0.03,0.08,0.17,0.07,0.05,0.08,0.36,0.17,0.15,0,0.08,0.02,0.06,0.07,0.15,0.09,0.09,0.18,0.15,0,0.27,0.05,0.07,0.68,0.38,0.29,0.05,0.16,0.81,0.71,0.42,0.69,0.92
