,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065,39.8065
Long,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401,-86.5401
Province/State,"Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN","Hendricks County, IN"
apparentTemperatureHigh,27.37,40.92,36.8,24.16,30.14,26.49,33.14,30.39,36.62,36.98,32.04,60.8,60.48,52.78,28.5,22.31,26.28,26.9,28.56,33.02,33.22,31.43,24.67,16.62,31.7,41.07,42.24,35.84,32.33,19.99,28.81,41.79,53.2,36.69,31.73,24.46,24.91,20.69,27.97,56.21,50.85,52.98,52.39,56.68,28.67,45.22,62.75,63.25,52.35,46.76,59.58,44.47,33.45,39.79,44.55
apparentTemperatureHighTime,1579723500,1579808940,1579890360,1579956660,1580069340,1580154600,1580234520,1580327760,1580414520,1580500860,1580586540,1580674320,1580761380,1580817600,1580930220,1581018240,1581105780,1581191040,1581292800,1581364080,1581450540,1581533880,1581595260,1581710880,1581797580,1581882900,1581966360,1582027200,1582143060,1582224300,1582315560,1582401300,1582487580,1582563900,1582635240,1582718400,1582841100,1582918860,1583014080,1583092440,1583177700,1583260320,1583350800,1583438040,1583524140,1583611680,1583697840,1583779440,1583838000,1583956740,1584039900,1584129720,1584190260,1584302160,1584384180
apparentTemperatureLow,24.46,28.38,23.64,20.25,21.03,24.19,25.83,25.43,26.74,29.74,24.51,32.17,46.53,21.47,17.22,13.69,21.66,16.24,26.92,23.3,23.93,23.87,-10.4,-0.57,27.28,21,33.49,15.59,12.01,7.89,11.51,23.76,30.98,30.73,23.21,10.23,12.08,5.08,16.32,40.26,35.24,28.63,25.7,19.25,18.9,24.36,42.11,44.23,35.29,39.55,28,32.94,24.28,30.59,30.54
apparentTemperatureLowTime,1579752180,1579837920,1579950600,1580013960,1580122920,1580187360,1580295180,1580377140,1580444220,1580556240,1580630580,1580730780,1580821200,1580894220,1580982420,1581069960,1581136920,1581243000,1581339600,1581412800,1581509280,1581589740,1581677940,1581747660,1581850560,1581926160,1582030800,1582109820,1582196340,1582282380,1582368900,1582444800,1582530420,1582628820,1582722000,1582796580,1582890300,1582973940,1583049060,1583144280,1583240400,1583309340,1583403540,1583496840,1583573880,1583661600,1583750580,1583841600,1583905020,1584014400,1584100800,1584184560,1584258120,1584348780,1584441180
apparentTemperatureMax,27.37,40.92,36.8,28.45,30.14,26.49,33.14,30.39,36.62,36.98,33.38,60.8,60.48,56.8,28.5,22.31,26.28,26.9,33.93,36.78,33.22,31.43,25.78,16.62,31.7,41.07,42.24,41.78,32.33,20.85,28.81,41.79,53.2,36.69,34.86,28.41,24.91,20.69,27.97,56.21,51.4,52.98,52.39,56.68,31.34,45.22,62.75,63.25,55.49,46.76,59.58,53.71,34.29,39.79,44.55
apparentTemperatureMaxTime,1579723500,1579808940,1579890360,1579928400,1580069340,1580154600,1580234520,1580327760,1580414520,1580500860,1580551080,1580674320,1580761380,1580796180,1580930220,1581018240,1581105780,1581191040,1581307200,1581314520,1581450540,1581533880,1581583860,1581710880,1581797580,1581882900,1581966360,1582016160,1582143060,1582174800,1582315560,1582401300,1582487580,1582563900,1582610040,1582693200,1582841100,1582918860,1583014080,1583092440,1583128260,1583260320,1583350800,1583438040,1583470800,1583611680,1583697840,1583779440,1583827500,1583956740,1584039900,1584072000,1584158400,1584302160,1584384180
