,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL","Hillsborough, FL"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904,27.9904
Long,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018,-82.3018
time,1579669200,1579755600,1579842000,1579928400,1580014800,1580101200,1580187600,1580274000,1580360400,1580446800,1580533200,1580619600,1580706000,1580792400,1580878800,1580965200,1581051600,1581138000,1581224400,1581310800,1581397200,1581483600,1581570000,1581656400,1581742800,1581829200,1581915600,1582002000,1582088400,1582174800,1582261200,1582347600,1582434000,1582520400,1582606800,1582693200,1582779600,1582866000,1582952400,1583038800,1583125200,1583211600,1583298000,1583384400,1583470800,1583557200,1583643600,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Light rain in the morning.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Heavy rain overnight.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain in the morning.,Humid and partly cloudy throughout the day.,Possible drizzle in the morning.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain overnight.,Light rain in the morning.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Possible light rain in the evening and overnight.,Light rain and humid throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.
icon,clear-day,partly-cloudy-day,rain,clear-day,clear-day,rain,clear-day,rain,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,clear-day,clear-day,clear-day,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day
sunriseTime,1579695720,1579782060,1579868460,1579954860,1580041200,1580127600,1580214000,1580300340,1580386740,1580473080,1580559480,1580645820,1580732220,1580818560,1580904900,1580991300,1581077640,1581164040,1581250380,1581336720,1581423060,1581509460,1581595800,1581682140,1581768480,1581854880,1581941220,1582027560,1582113900,1582200240,1582286580,1582372920,1582459260,1582545600,1582631940,1582718280,1582804680,1582891020,1582977300,1583063640,1583149980,1583236320,1583322660,1583409000,1583495340,1583581680,1583668020,1583754360,1583840700,1583927040,1584013380,1584099660,1584186000,1584272340,1584358680
sunsetTime,1579734120,1579820580,1579907040,1579993500,1580079900,1580166360,1580252820,1580339280,1580425740,1580512200,1580598600,1580685060,1580771520,1580857980,1580944440,1581030840,1581117300,1581203760,1581290220,1581376620,1581463080,1581549540,1581636000,1581722400,1581808860,1581895320,1581981780,1582068180,1582154640,1582241100,1582327500,1582413960,1582500420,1582586820,1582673280,1582759740,1582846140,1582932600,1583019060,1583105460,1583191920,1583278320,1583364780,1583451240,1583537640,1583624100,1583710500,1583796960,1583883360,1583969820,1584056280,1584142680,1584229140,1584315540,1584402000
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
