,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA","Humboldt County, CA"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745,40.745
Long,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695,-123.8695
time,1579680000,1579766400,1579852800,1579939200,1580025600,1580112000,1580198400,1580284800,1580371200,1580457600,1580544000,1580630400,1580716800,1580803200,1580889600,1580976000,1581062400,1581148800,1581235200,1581321600,1581408000,1581494400,1581580800,1581667200,1581753600,1581840000,1581926400,1582012800,1582099200,1582185600,1582272000,1582358400,1582444800,1582531200,1582617600,1582704000,1582790400,1582876800,1582963200,1583049600,1583136000,1583222400,1583308800,1583395200,1583481600,1583568000,1583654400,1583737200,1583823600,1583910000,1583996400,1584082800,1584169200,1584255600,1584342000
summary,Possible drizzle in the morning.,Rain starting in the afternoon.,"Rain until morning, starting again in the evening.",Rain throughout the day.,"Light rain until morning, starting again in the evening.",Light rain in the morning and overnight.,Light rain in the morning and afternoon.,Possible light rain in the evening and overnight.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain in the evening and overnight.,Possible light rain until evening.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Light rain in the morning and afternoon.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Possible drizzle in the afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Light rain in the evening and overnight.,Light rain in the morning.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Rain in the evening and overnight.,Rain throughout the day.,Possible light rain in the morning and afternoon.,Light rain starting in the afternoon.
icon,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,rain,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,clear-day,clear-day,clear-day,rain,rain,rain,rain
sunriseTime,1579707300,1579793640,1579880040,1579966380,1580052720,1580139060,1580225400,1580311800,1580398140,1580484480,1580570820,1580657160,1580743500,1580829840,1580916180,1581002520,1581088860,1581175200,1581261480,1581347820,1581434160,1581520500,1581606840,1581693120,1581779460,1581865800,1581952080,1582038420,1582124760,1582211040,1582297380,1582383660,1582470000,1582556340,1582642620,1582728960,1582815240,1582901580,1582987860,1583074200,1583160480,1583246760,1583333100,1583419380,1583505720,1583592000,1583678280,1583764620,1583850900,1583937240,1584023520,1584109800,1584196140,1584282420,1584368700
sunsetTime,1579742460,1579828980,1579915440,1580001900,1580088360,1580174820,1580261340,1580347800,1580434260,1580520720,1580607240,1580693700,1580780160,1580866620,1580953140,1581039600,1581126060,1581212520,1581299040,1581385500,1581471960,1581558420,1581644940,1581731400,1581817860,1581904320,1581990780,1582077300,1582163760,1582250220,1582336680,1582423140,1582509660,1582596120,1582682580,1582769040,1582855500,1582941960,1583028480,1583114940,1583201400,1583287860,1583374320,1583460780,1583547240,1583633700,1583720160,1583806620,1583893140,1583979600,1584066060,1584152520,1584238980,1584325440,1584411900
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
