,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405,44.2405
Long,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788,-114.4788
Province/State,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,Idaho
apparentTemperatureHigh,25.85,38.76,36.18,36.37,35.41,29.14,32.47,34.24,34.05,37.51,44.39,31.12,15.64,17.77,25.26,32.7,35.35,25.29,29.47,29.98,32.22,36.82,35.66,25.08,30.63,28.02,25.41,21.71,26.56,29.31,32.22,37.41,35.83,22.84,30.57,38.37,44.36,44.14,29.8,27.98,34.34,44.85,36.24,51.71,54.08,41.09,35.83,35.67,41.29,42.69,39.8,39.53,39.55,42.72,44.58
apparentTemperatureHighTime,1579737660,1579810140,1579899780,1579989240,1580069100,1580148240,1580253780,1580331420,1580421840,1580508480,1580595300,1580662740,1580764320,1580856840,1580940540,1581018780,1581105480,1581203040,1581285300,1581367680,1581458520,1581544680,1581632100,1581710760,1581803100,1581868740,1581984000,1582063260,1582150200,1582235580,1582320060,1582411920,1582497840,1582591320,1582664760,1582757880,1582842540,1582926840,1583002800,1583094840,1583186400,1583272620,1583351820,1583452440,1583532660,1583611020,1583705340,1583783700,1583880720,1583957160,1584052920,1584129960,1584230340,1584309060,1584396360
apparentTemperatureLow,16.83,19.63,6.71,13.64,15.86,11.34,18.48,9.75,5.35,11,27.18,3.99,-10.21,2.82,15.33,27.69,21.08,1.94,12.59,5.31,10.01,8.29,11.35,9.21,20.64,5.39,-2.81,-5.14,-4.04,-2,1.18,5.13,12.86,1.98,6.22,10.53,12.26,18.87,18.42,1.31,26.25,17.35,16.96,20.15,22.93,18.97,24.98,22.52,15.28,21.87,11.65,20.61,25.46,23.7,22.48
apparentTemperatureLowTime,1579750560,1579842120,1579964100,1580022840,1580122800,1580195880,1580310000,1580396220,1580459760,1580569140,1580653140,1580735460,1580810460,1580890080,1581000600,1581081300,1581174000,1581260340,1581337920,1581418860,1581503280,1581604380,1581662520,1581745380,1581834060,1581945240,1582036380,1582123380,1582209120,1582282860,1582372080,1582457640,1582541640,1582627860,1582707060,1582801440,1582887660,1582988340,1583074260,1583148960,1583236440,1583327280,1583406060,1583501760,1583589060,1583672100,1583745840,1583848800,1583929380,1584014520,1584106140,1584172320,1584269400,1584359640,1584453480
apparentTemperatureMax,25.85,38.76,36.18,36.37,35.41,29.14,32.47,34.24,34.05,37.51,44.39,37.44,15.64,17.77,26.65,32.7,35.35,31.85,29.47,29.98,32.22,36.82,35.66,25.08,30.63,28.02,25.41,21.71,26.56,29.31,32.22,37.41,35.83,22.84,30.57,38.37,44.36,44.14,29.8,27.98,34.34,44.85,36.24,51.71,54.08,41.09,35.83,35.67,41.29,42.69,39.8,39.53,39.55,42.72,44.58
apparentTemperatureMaxTime,1579737660,1579810140,1579899780,1579989240,1580069100,1580148240,1580253780,1580331420,1580421840,1580508480,1580595300,1580644680,1580764320,1580856840,1580968800,1581018780,1581105480,1581156300,1581285300,1581367680,1581458520,1581544680,1581632100,1581710760,1581803100,1581868740,1581984000,1582063260,1582150200,1582235580,1582320060,1582411920,1582497840,1582591320,1582664760,1582757880,1582842540,1582926840,1583002800,1583094840,1583186400,1583272620,1583351820,1583452440,1583532660,1583611020,1583705340,1583783700,1583880720,1583957160,1584052920,1584129960,1584230340,1584309060,1584396360
apparentTemperatureMin,9.21,16,21.16,6.71,13.64,14.61,11.34,18.47,9.75,5.35,11,10.94,-1.75,-10.21,2.82,15.33,27.69,13.19,1.94,10.19,5.31,10.01,8.29,9.21,9.93,11.15,2.16,-2.81,-5.14,-4.04,-2,1.18,5.13,9.69,1.98,6.22,10.53,12.26,18.87,12.98,1.31,24.31,17.35,16.96,20.15,22.93,18.97,24.38,22.23,15.28,21.82,11.65,20.61,25.46,23.7
apparentTemperatureMinTime,1579701960,1579795200,1579932000,1579964100,1580022840,1580184180,1580195880,1580310240,1580396220,1580459760,1580569140,1580706120,1580792640,1580810460,1580890080,1581000600,1581081300,1581223080,1581260340,1581400800,1581418860,1581503280,1581604380,1581745380,1581761220,1581919200,1582005420,1582036380,1582123380,1582209120,1582282860,1582372080,1582457640,1582610400,1582627860,1582707060,1582801440,1582887660,1582988340,1583128800,1583148960,1583301600,1583327280,1583406060,1583501760,1583589060,1583672100,1583816400,1583851200,1583929380,1584023580,1584106140,1584172320,1584269400,1584359640
cloudCover,0.47,0.63,0.75,0.61,0.78,0.54,0.8,0.54,0.48,0.63,0.13,0.87,0.43,0.3,0.77,0.78,0.77,0.56,0.45,0.36,0.3,0.33,0.12,0.45,0.58,0.64,0.46,0.19,0.06,0.08,0.17,0.09,0.3,0.52,0.15,0.26,0.07,0.25,0.43,0.53,0.37,0.39,0.2,0.24,0.26,0.71,0.55,0.63,0.42,0.31,0.19,0.26,0.45,0.66,0.35
dewPoint,11.49,20.57,20.91,17.34,20.82,16.46,18.75,18,14.06,17.44,13.74,17.94,-3,-6.82,13.24,24.47,27.22,16.9,8.12,8.78,5.81,11.82,6.18,10.81,12,18.11,6.3,-3.27,-5.39,-5.66,-0.13,7.7,12.47,7.76,2.73,11.07,10.97,14.4,14.09,9.46,9.35,21.4,16.92,16.37,21.31,25.44,19.99,20.18,16.73,17.57,9.57,9.48,20.04,24.8,22.3
humidity,0.59,0.71,0.75,0.71,0.78,0.65,0.74,0.68,0.66,0.69,0.52,0.6,0.44,0.55,0.68,0.72,0.66,0.58,0.59,0.57,0.57,0.55,0.56,0.51,0.56,0.67,0.6,0.57,0.54,0.49,0.49,0.57,0.6,0.49,0.54,0.54,0.53,0.58,0.53,0.55,0.53,0.52,0.53,0.55,0.55,0.68,0.62,0.63,0.57,0.55,0.4,0.5,0.55,0.66,0.64
icon,partly-cloudy-day,snow,snow,snow,snow,rain,snow,snow,snow,snow,clear-day,snow,partly-cloudy-day,clear-day,snow,rain,rain,rain,partly-cloudy-day,snow,clear-day,partly-cloudy-day,clear-day,snow,snow,snow,snow,clear-day,clear-day,clear-day,clear-day,clear-day,snow,snow,clear-day,clear-day,clear-day,clear-day,snow,snow,partly-cloudy-day,rain,clear-day,clear-day,clear-day,rain,rain,snow,snow,clear-day,clear-day,clear-day,snow,rain,snow
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.95,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.52,0.55,0.59,0.63,0.67,0.71,0.74,0.77
ozone,351.1,336.7,353.8,342.8,322.7,352.8,361.3,342.5,336.9,321.1,311.7,359.6,406.2,395.4,328,316.1,328.7,365.7,356.9,348,361.2,389.3,355.6,374.7,358.8,360.8,384.3,368.8,365.2,380.6,377.5,336,355.7,379.5,352.6,346.6,330.1,306.8,335.3,394.1,342.5,333.6,348.1,353.9,335.1,342.6,369.7,397.6,365.6,330.1,326.8,354.8,349.7,363.6,346.9
precipAccumulation,0.06,0.12,0.33,0.12,0.77,,0.8,0.18,0.22,0.11,0.04,1.21,0.43,0.16,0.86,,,,0.13,0.21,0.15,0.11,0.09,0.3,0.13,1.02,0.49,0.23,0.2,0.26,0.15,0.11,0.8,0.14,0.16,0.07,0.05,0.01,0.08,0.18,0.13,,0.05,0.06,,,,0.17,0.29,0.06,,0.07,0.11,,0.04
precipIntensity,0.0003,0.0006,0.0017,0.0005,0.008,0.0009,0.0052,0.0009,0.0012,0.0005,0.0002,0.0073,0.0011,0.0002,0.0026,0.0053,0.0095,0.0038,0.0004,0.0009,0.0005,0.0005,0.0002,0.0013,0.0005,0.0067,0.0015,0.0004,0.0004,0.0005,0.0004,0.0003,0.0061,0.0005,0.0004,0.0003,0.0002,0.0001,0.0013,0.0006,0.0004,0.0005,0.0003,0.0002,0.0004,0.0053,0.0014,0.0012,0.0013,0.0003,0.0003,0.0003,0.0012,0.0042,0.0003
