,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495,40.3495
Long,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861,-88.9861
Province/State,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
apparentTemperatureHigh,25.85,26.02,30.64,22.72,28.66,25.21,27.72,29.74,34.17,34.19,28.33,57.01,60.42,26.37,23.42,21.66,27.4,23.6,31.79,28.15,30.82,29.39,10.3,5.3,25.74,38.19,31.15,28.26,27.25,14.96,27.54,41.77,55.09,38.2,27.05,20.61,29.08,23.82,31.28,55.53,46.11,53.23,51.48,56.21,38.36,52.88,65.08,57.42,42.47,47.37,54.67,44.55,29.89,38.11,37.46
apparentTemperatureHighTime,1579722960,1579823580,1579891320,1580000400,1580068620,1580173200,1580234940,1580321880,1580422140,1580500980,1580562000,1580674200,1580760240,1580821200,1580921820,1581019200,1581102960,1581188580,1581296400,1581364680,1581451020,1581541560,1581598800,1581710400,1581810480,1581883260,1581987600,1582056060,1582143000,1582232940,1582315500,1582401600,1582488480,1582573260,1582659780,1582747260,1582839120,1582919100,1583007540,1583093100,1583179260,1583265300,1583352960,1583437860,1583530260,1583611740,1583697780,1583776920,1583881740,1583964060,1584051780,1584130680,1584215040,1584302340,1584388320
apparentTemperatureLow,19.68,25.5,20.59,18.38,18.66,22.27,23.93,25.62,26.36,27.18,24.97,27.01,25.82,20.06,15.38,11.06,19.61,12.96,17.3,24.52,19.61,7.4,-16.74,-7.75,16.06,20.91,21.55,9.74,2.42,5.18,12.04,21.68,32.01,25.25,16,10.71,12.77,7.13,21.35,27.44,26.81,29.19,24.71,18.24,18.57,26.13,42.14,28.85,31.4,32.93,24.31,27.2,21.13,26.38,29.93
apparentTemperatureLowTime,1579765740,1579835040,1579960800,1580045760,1580112420,1580209680,1580306400,1580355540,1580479200,1580565600,1580619420,1580724060,1580810520,1580900460,1580953920,1581069300,1581168060,1581234180,1581343020,1581429000,1581508500,1581602400,1581677940,1581735720,1581843420,1581910080,1582034400,1582109940,1582206720,1582279440,1582368720,1582451640,1582537920,1582639200,1582725600,1582801800,1582886640,1582973580,1583032860,1583156520,1583239680,1583308740,1583402400,1583492220,1583581980,1583663760,1583750700,1583845200,1583919000,1583997060,1584097320,1584190800,1584270240,1584338880,1584442440
apparentTemperatureMax,25.85,26.41,30.64,24.93,28.66,25.21,27.72,29.74,34.17,34.19,29.27,57.01,60.42,34.49,23.42,21.66,27.4,25.88,31.97,30.08,30.82,29.39,27.2,5.3,25.74,38.19,33.72,33.92,27.25,14.96,27.54,41.77,55.09,38.2,29.26,22.24,29.08,23.82,31.28,55.53,50.37,53.23,51.48,56.21,38.36,52.88,65.08,57.42,53.22,47.37,54.67,44.55,37.43,38.11,37.46
apparentTemperatureMaxTime,1579722960,1579842000,1579891320,1579932000,1580068620,1580173260,1580234940,1580321880,1580422140,1580500980,1580537880,1580674200,1580760240,1580796000,1580921820,1581019200,1581102960,1581147360,1581298500,1581396120,1581451020,1581541560,1581573600,1581710400,1581810480,1581883260,1582002000,1582005600,1582143000,1582232940,1582315500,1582401600,1582488480,1582573260,1582611420,1582699620,1582839120,1582919100,1583007540,1583093100,1583128800,1583265300,1583352960,1583437860,1583530260,1583611740,1583697780,1583776920,1583816400,1583964060,1584051780,1584130680,1584162000,1584302340,1584388320
apparentTemperatureMin,11.5,19.68,25.34,20.35,18.38,18.66,22.27,23.8,27.17,26.36,24.97,25.35,27.01,20.7,15.28,14.76,11.06,15.96,12.96,17.3,24.52,19.61,-10.61,-16.74,-5.14,16.06,22.38,18.14,9.74,2.42,5.18,12.04,21.68,28.81,22.05,15.58,10.71,12.77,7.13,22.52,27.44,26.81,29.19,24.71,18.24,18.57,26.13,42.14,28.84,31.4,32.93,24.31,22.57,21.13,26.38
apparentTemperatureMinTime,1579688700,1579765740,1579928400,1579964220,1580045760,1580112420,1580209680,1580308260,1580446800,1580479200,1580619420,1580623200,1580724060,1580878800,1580947680,1581051600,1581069300,1581224400,1581234180,1581343020,1581429000,1581508500,1581656400,1581677940,1581746400,1581843420,1581919200,1582088400,1582109940,1582206720,1582279440,1582368720,1582451640,1582606200,1582693200,1582728780,1582801800,1582886640,1582973580,1583042400,1583156520,1583239680,1583308740,1583402400,1583492220,1583581980,1583663760,1583750700,1583845500,1583919000,1583997060,1584097320,1584244800,1584270240,1584338880
cloudCover,0.83,1,0.99,1,0.62,0.95,0.99,0.97,0.85,0.8,0.89,0.09,0.73,0.87,0.76,0.85,0.39,0.85,0.79,0.94,0.46,0.95,0.85,0.04,0.57,0.35,0.86,0.65,0.2,0.18,0,0.03,0.09,0.98,1,0.85,0.3,0.51,0.01,0.42,0.54,0.12,0.18,0.23,0.36,0,0.21,0.88,0.98,0.89,0.78,0.12,0.95,0.43,0.92
dewPoint,21.34,29.98,32.5,29.22,26.75,26.03,25.73,25.93,27.19,30.09,31.25,36.61,39.08,29.04,23.15,23.21,20.84,25.52,29,26.65,26.01,27.98,14.82,-2.12,19.67,24.37,32.42,28.52,18.08,7.93,11.69,22.34,32.64,36.67,32.51,25.05,21,20,17.04,37.52,35.26,29.7,28.01,28.37,23.01,25.81,28.26,44.55,37.69,37.14,43.68,27.35,30.67,29.88,33.63
