,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494,39.8494
Long,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583,-86.2583
Province/State,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana
apparentTemperatureHigh,27.94,41.47,39.54,26.5,33.62,27.38,33.86,30.9,36.16,38.64,34.98,61.83,62.39,55.01,28.14,23.9,27.01,28.01,28.46,32.37,32.91,32.54,25.77,17.42,34.75,42.58,42.34,38.6,32.9,22,29.19,42.99,53.57,38.33,33.17,25.67,26.81,22.41,31.45,56.94,51.6,54.2,53.02,57.73,28.37,45.57,63.8,62.27,52.83,47.57,59.22,45.51,35.25,40.15,45.33
apparentTemperatureHighTime,1579724280,1579809000,1579888920,1579953600,1580083200,1580169600,1580237040,1580327880,1580414160,1580501760,1580586240,1580675400,1580767140,1580817600,1580929800,1581018420,1581120000,1581182100,1581292800,1581363960,1581450660,1581534300,1581595380,1581711600,1581801420,1581885180,1581966060,1582027200,1582143840,1582225380,1582318440,1582401660,1582488120,1582566000,1582649400,1582718400,1582844100,1582919880,1583020800,1583094000,1583177520,1583264760,1583351160,1583438460,1583524500,1583613120,1583698260,1583774460,1583838000,1583963940,1584041100,1584129900,1584193080,1584302280,1584387180
apparentTemperatureLow,26.09,30.11,26.28,23.52,22.78,26.19,27.93,27.47,29.57,31.4,26.14,34.03,51.95,23.64,19.95,16.01,23.97,19.04,28.46,25.44,27.43,25.04,-7.89,1.79,31.04,23.97,35.69,18.53,13.91,9.09,15.34,24.69,33.19,32.14,25.51,12.13,12.85,8.09,19.77,42.24,37.4,29.68,26.94,21.97,20.26,26.29,45.75,50.89,36.19,42.28,29.18,34.39,26.17,31.53,31.49
apparentTemperatureLowTime,1579772400,1579841520,1579957200,1580021880,1580126400,1580198040,1580296860,1580376660,1580443260,1580559780,1580632020,1580732100,1580821200,1580900460,1580980080,1581069720,1581155760,1581245580,1581292800,1581412020,1581508080,1581589020,1581675180,1581745620,1581850560,1581934560,1582030800,1582110120,1582196520,1582282800,1582372560,1582450500,1582530480,1582635600,1582722000,1582787820,1582890120,1582974180,1583048700,1583145360,1583240400,1583310360,1583406360,1583499600,1583571180,1583659800,1583751480,1583841600,1583906400,1584006900,1584100800,1584185640,1584258960,1584351780,1584440580
apparentTemperatureMax,27.94,41.47,39.54,31.57,33.64,29.95,33.86,32.35,36.16,38.64,34.98,61.83,62.39,58.7,28.14,23.9,29.31,29.12,34.71,38.67,32.91,32.54,27.05,17.42,34.75,42.58,42.75,43.75,32.9,23.51,29.19,42.99,53.57,38.33,36.56,29.66,26.81,22.56,31.47,56.94,52.63,54.2,53.02,57.73,34.55,45.57,63.8,62.27,55.66,47.57,59.22,55.04,37.24,40.15,45.33
apparentTemperatureMaxTime,1579724280,1579809000,1579888920,1579928400,1580083560,1580104740,1580237040,1580349480,1580414160,1580501760,1580586240,1580675400,1580767140,1580793120,1580929800,1581018420,1581123420,1581141540,1581307200,1581314820,1581450660,1581534300,1581582120,1581711600,1581801420,1581885180,1581998400,1582016760,1582143840,1582174800,1582318440,1582401660,1582488120,1582566000,1582609740,1582695540,1582844100,1582866000,1583020980,1583094000,1583127420,1583264760,1583351160,1583438460,1583470800,1583613120,1583698260,1583774460,1583830200,1583963940,1584041100,1584072000,1584165240,1584302280,1584387180
