,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115,42.0115
Long,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105,-93.2105
Province/State,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa
apparentTemperatureHigh,21.61,27.91,21.42,20.58,23.23,24.55,17.33,25.19,20.15,29.52,28.94,38.56,23.92,13.77,19.29,28.51,22.46,14.64,30.44,23.43,21.19,27.33,-15.34,-0.46,29.38,29.88,34.49,20.42,6.7,13.16,28.8,37.61,46.35,31.44,26.14,21.01,23.49,23.43,40.63,56.46,36.16,51.5,53.53,37.07,46.58,63.82,68.45,42.8,43.93,54.42,59.38,42.46,26.57,34.83,39.57
apparentTemperatureHighTime,1579723200,1579801860,1579895460,1579989660,1580086800,1580154840,1580241240,1580327100,1580414580,1580518800,1580587140,1580672820,1580756700,1580846040,1580932620,1581021900,1581102480,1581192720,1581270780,1581372180,1581454800,1581535380,1581624480,1581717420,1581796620,1581883320,1581981540,1582054920,1582141680,1582244520,1582322220,1582402140,1582487640,1582573740,1582655580,1582765200,1582833600,1582919280,1583012880,1583092080,1583186280,1583266440,1583358720,1583427600,1583528160,1583611380,1583704380,1583755200,1583876820,1583963340,1584035700,1584130620,1584215880,1584302460,1584388740
apparentTemperatureLow,21.41,19.57,14.99,8.76,20.46,7.48,11.05,13.4,18.36,22.28,26.36,17.2,5.2,5.5,10.77,12.21,-5.95,7.87,2.22,11.06,12.12,-35.11,-21.52,-5.16,15.33,21.12,8.89,-0.37,-15.09,-2.01,15.43,22.29,17.7,19.27,10.83,16.39,19.35,9.32,27.66,20.74,24.38,23.83,31.95,18.34,21.67,34.83,39.91,18.28,32.38,36.79,21.23,20.36,16.04,25.93,23.13
apparentTemperatureLowTime,1579741200,1579866660,1579950000,1580021700,1580133600,1580220000,1580296140,1580392800,1580457660,1580565600,1580605200,1580738220,1580824560,1580893320,1580991060,1581068940,1581163860,1581212880,1581328200,1581415320,1581507360,1581601320,1581687420,1581731040,1581860880,1581930060,1582023480,1582109280,1582206000,1582261260,1582369020,1582455120,1582541220,1582629180,1582725600,1582812000,1582851840,1582974960,1583059380,1583145600,1583214000,1583320320,1583405940,1583492580,1583575200,1583664960,1583758800,1583837820,1583924520,1583989140,1584100260,1584190800,1584269700,1584331200,1584445680
apparentTemperatureMax,22.03,27.91,22.54,20.58,23.24,26.4,18.46,25.19,20.15,32.41,28.94,38.56,24.09,14.17,19.29,28.51,22.46,14.64,30.44,23.43,21.19,27.33,-15.02,-0.46,29.38,29.88,34.49,20.42,6.7,13.16,28.8,37.61,46.35,31.44,26.14,27.08,25.89,23.49,40.63,56.46,36.16,51.5,53.53,37.07,46.58,63.82,68.45,56.53,43.93,54.42,59.38,42.46,32.05,34.83,39.57
apparentTemperatureMaxTime,1579755600,1579801860,1579845600,1579989660,1580087160,1580108400,1580268240,1580327100,1580414580,1580522880,1580587140,1580672820,1580709600,1580796000,1580932620,1581021900,1581102480,1581192720,1581270780,1581372180,1581454800,1581535380,1581656400,1581717420,1581796620,1581883320,1581981540,1582054920,1582141680,1582244520,1582322220,1582402140,1582487640,1582573740,1582655580,1582773960,1582794780,1582890960,1583012880,1583092080,1583186280,1583266440,1583358720,1583427600,1583528160,1583611380,1583704380,1583730000,1583876820,1583963340,1584035700,1584130620,1584162000,1584302460,1584388740
