,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345,42.3345
Long,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647,-122.7647
Province/State,"Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR ","Jackson County, OR "
apparentTemperatureHigh,46.04,52.65,51.57,53.64,47.73,45.6,44.19,50,53.23,59.33,52.32,32.44,31.62,35.26,41.96,48.68,52.04,33.88,43.24,51.99,52.89,54.17,52.1,45.07,46.54,43.93,44.25,50.75,55.91,57.86,57.98,57.99,53.89,51.3,59,58.14,65.15,61.48,40.58,40.75,50.92,58.42,60.16,63.62,52.87,41.09,42.49,51.7,59.28,58.97,59.31,54.93,40.27,40.95,51.2
apparentTemperatureHighTime,1579729560,1579815780,1579905240,1579992360,1580075460,1580159520,1580248080,1580335080,1580421360,1580509800,1580593740,1580680680,1580770320,1580853960,1580935140,1581026340,1581114960,1581192060,1581285720,1581375300,1581458460,1581544920,1581630480,1581717360,1581807480,1581893700,1581980100,1582063500,1582149900,1582236060,1582322640,1582412220,1582493880,1582582080,1582668840,1582754940,1582844460,1582927080,1583012940,1583100060,1583192400,1583273280,1583359740,1583445840,1583531160,1583618040,1583705940,1583794140,1583878200,1583964240,1584053760,1584137100,1584222420,1584308340,1584397320
apparentTemperatureLow,35.84,37.46,40.06,42.67,36.72,37.02,32.97,38.09,40.04,39.24,25.99,26.19,23.75,33.14,37.9,32.9,29.39,27.78,24.57,27.54,26.54,26.9,32.41,31.82,36.39,29.81,24.29,25.63,32.11,28.85,30.49,35.06,29.49,27.56,31.5,30.14,34.66,30.93,25.95,29.57,29.87,31.41,34.02,37.9,31.71,32.78,32.87,29.15,34.11,34.25,30.04,30.3,25.67,26.25,33.23
apparentTemperatureLowTime,1579794900,1579879380,1579964460,1580054400,1580114520,1580224200,1580293500,1580397240,1580482860,1580567100,1580656620,1580742120,1580828640,1580882880,1581001260,1581086940,1581177600,1581260040,1581345720,1581432480,1581519360,1581603480,1581692340,1581768540,1581868200,1581951900,1582037220,1582123620,1582208940,1582294860,1582383180,1582454820,1582555980,1582641480,1582728120,1582813800,1582900500,1582980780,1583060400,1583159940,1583246700,1583333040,1583418660,1583505180,1583589120,1583675460,1583764200,1583848020,1583938380,1584023820,1584111180,1584190140,1584278400,1584348360,1584452940
apparentTemperatureMax,46.04,52.65,51.57,53.64,47.73,45.6,44.19,50,53.23,59.33,52.32,33.06,31.62,35.26,41.96,48.68,52.04,36.25,43.24,51.99,52.89,54.17,52.1,45.07,46.54,43.93,44.25,50.75,55.91,57.86,57.98,57.99,53.89,51.3,59,58.14,65.15,61.48,40.58,40.75,50.92,58.42,60.16,63.62,52.87,41.09,42.49,51.7,59.28,58.97,59.31,54.93,40.27,40.95,51.2
apparentTemperatureMaxTime,1579729560,1579815780,1579905240,1579992360,1580075460,1580159520,1580248080,1580335080,1580421360,1580509800,1580593740,1580630400,1580770320,1580853960,1580935140,1581026340,1581114960,1581148800,1581285720,1581375300,1581458460,1581544920,1581630480,1581717360,1581807480,1581893700,1581980100,1582063500,1582149900,1582236060,1582322640,1582412220,1582493880,1582582080,1582668840,1582754940,1582844460,1582927080,1583012940,1583100060,1583192400,1583273280,1583359740,1583445840,1583531160,1583618040,1583705940,1583794140,1583878200,1583964240,1584053760,1584137100,1584222420,1584308340,1584397320
