,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA","Jefferson County, WA"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425,47.7425
Long,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304,-123.304
time,1579680000,1579766400,1579852800,1579939200,1580025600,1580112000,1580198400,1580284800,1580371200,1580457600,1580544000,1580630400,1580716800,1580803200,1580889600,1580976000,1581062400,1581148800,1581235200,1581321600,1581408000,1581494400,1581580800,1581667200,1581753600,1581840000,1581926400,1582012800,1582099200,1582185600,1582272000,1582358400,1582444800,1582531200,1582617600,1582704000,1582790400,1582876800,1582963200,1583049600,1583136000,1583222400,1583308800,1583395200,1583481600,1583568000,1583654400,1583737200,1583823600,1583910000,1583996400,1584082800,1584169200,1584255600,1584342000
summary,Heavy snow (10–15 in.) throughout the day.,Heavy snow (12–18 in.) throughout the day.,Snow (6–9 in.) throughout the day.,"Heavy snow (5–8 in.) until afternoon, starting again overnight.",Heavy snow (8–12 in.) throughout the day.,Heavy snow (10–15 in.) starting in the afternoon.,Snow (3–6 in.) in the morning and afternoon.,Heavy snow (7–11 in.) in the morning and afternoon.,Heavy snow (4–8 in.) starting in the afternoon.,Heavy snow (14–22 in.) and dangerously windy throughout the day.,Heavy snow (4–7 in.) in the morning and afternoon.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Snow (6–9 in.) starting in the afternoon.,Light snow (2–5 in.) throughout the day.,Snow (8–12 in.) throughout the day.,Heavy snow (10–15 in.) throughout the day.,Possible light snow (1–2 in.) in the morning and afternoon.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Foggy in the afternoon and evening.,Possible light snow (2–5 in.) in the afternoon.,Mostly cloudy throughout the day.,Snow (2–5 in.) in the morning and afternoon.,Snow (2–5 in.) in the afternoon.,Possible light snow (1–4 in.) in the afternoon.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Possible light snow (2–4 in.) in the afternoon.,Heavy snow (13–20 in.) until evening.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Snow (7–11 in.) in the afternoon and evening.,Snow (2–4 in.) in the afternoon.,Foggy in the afternoon and evening.,Snow (2–4 in.) until evening.,Snow (1–3 in.) in the afternoon and evening.,Mostly cloudy throughout the day.,Snow (6–9 in.) in the afternoon and evening.,Possible light snow (2–4 in.) in the afternoon.,Snow (2–5 in.) in the afternoon.,Snow (2–5 in.) in the afternoon and evening.,Clear throughout the day.,Possible light snow (1–3 in.) overnight.,Mostly cloudy throughout the day.,Foggy overnight.,Foggy in the morning and afternoon.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.
icon,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,clear-day,partly-cloudy-day,snow,snow,snow,snow,snow,snow,snow,snow,clear-day,clear-day,partly-cloudy-day,snow,snow,snow,snow,snow,partly-cloudy-day,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,partly-cloudy-day,snow,snow,partly-cloudy-day,snow,snow,clear-day,clear-day
sunriseTime,1579708380,1579794720,1579881060,1579967400,1580053740,1580140080,1580226360,1580312700,1580399040,1580485380,1580571720,1580658000,1580744340,1580830680,1580916960,1581003300,1581089580,1581175920,1581262200,1581348540,1581434820,1581521160,1581607440,1581693720,1581780060,1581866340,1581952620,1582038960,1582125240,1582211520,1582297800,1582384140,1582470420,1582556700,1582642980,1582729260,1582815540,1582901820,1582988160,1583074440,1583160720,1583247000,1583333280,1583419560,1583505840,1583592120,1583678400,1583764680,1583850960,1583937240,1584023520,1584109800,1584196080,1584282360,1584368640
sunsetTime,1579741140,1579827600,1579914120,1580000640,1580087100,1580173620,1580260080,1580346600,1580433060,1580519580,1580606040,1580692560,1580779080,1580865540,1580952060,1581038520,1581125040,1581211560,1581298020,1581384540,1581471000,1581557520,1581644040,1581730500,1581817020,1581903480,1581990000,1582076520,1582162980,1582249500,1582335960,1582422480,1582508940,1582595460,1582681920,1582768440,1582854900,1582941420,1583027880,1583114400,1583200920,1583287380,1583373900,1583460360,1583546820,1583633340,1583719800,1583806320,1583892780,1583979300,1584065760,1584152280,1584238740,1584325260,1584411720
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
