,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699,41.6699
Long,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984,-91.5984
Province/State,"Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA","Johnson County, IA"
apparentTemperatureHigh,25.29,33.13,29.66,26.23,23.31,29.15,23.54,25.92,28.55,31.48,32.69,51.07,37.68,23.51,21.95,33.72,30.2,21.49,34.04,32.16,27.97,32.52,-12.34,1.36,32.36,38.93,35.5,24.55,19.55,16.02,33.9,52.95,56.17,38.08,32.13,23.55,28.95,25.07,40.93,60.85,34.19,50.59,50.91,42.33,47.04,60.5,71.08,49.87,50.43,48.87,62.11,44.13,30.18,32.77,42.01
apparentTemperatureHighTime,1579716120,1579802520,1579894620,1579988880,1580076000,1580130000,1580234460,1580327340,1580426160,1580508480,1580587560,1580676180,1580764200,1580856720,1580941980,1581022860,1581117360,1581206880,1581281700,1581375840,1581466200,1581548460,1581617220,1581717660,1581807060,1581879840,1581973200,1582054560,1582128180,1582246800,1582323600,1582407540,1582492380,1582574580,1582657260,1582747320,1582815540,1582894800,1583012220,1583096340,1583197200,1583272980,1583360520,1583431080,1583535360,1583617740,1583704800,1583789940,1583877360,1583966220,1584046200,1584136980,1584190560,1584309360,1584392520
apparentTemperatureLow,21.8,25.93,22.14,16.28,21.04,12.66,14.7,19.89,23.68,27.59,30.38,23.86,19.22,12.87,13.7,19.15,6.67,15.9,13.21,17.15,18.86,-18.53,-16.97,-3.62,21.81,26.36,12.28,4.29,-7.4,4.44,19.98,28.3,25.74,24.37,19.34,18.94,19.65,12.99,28.54,24.85,26.48,28.77,32.83,20.6,21.45,39.09,44.84,26.44,34.84,33.98,22.9,28.76,23.47,29.65,27.21
apparentTemperatureLowTime,1579744560,1579852140,1579960800,1580033040,1580089620,1580216580,1580260080,1580364000,1580478180,1580558580,1580612160,1580731080,1580821980,1580907600,1580983080,1581076800,1581166380,1581220980,1581325260,1581415560,1581511620,1581594900,1581648300,1581734340,1581858600,1581912240,1582030440,1582106580,1582204020,1582283520,1582375320,1582462860,1582538400,1582634760,1582725600,1582791300,1582864080,1582953720,1583042400,1583143800,1583224980,1583325960,1583388240,1583499480,1583581200,1583670120,1583758800,1583845200,1583910360,1584001440,1584100800,1584185340,1584266100,1584324000,1584447060
apparentTemperatureMax,25.29,33.13,29.66,26.23,29.12,29.74,23.54,25.92,28.55,33.49,33.95,51.07,37.68,28.45,21.95,33.72,30.2,22.94,34.04,32.16,27.97,32.52,8.96,1.36,32.36,38.93,35.5,24.55,19.55,16.26,33.9,52.95,56.17,38.08,32.13,25.64,28.95,25.46,40.93,60.85,34.22,50.59,50.91,42.33,47.04,60.5,71.08,58.31,50.43,48.87,62.11,44.13,37.87,32.77,42.01
apparentTemperatureMaxTime,1579716120,1579802520,1579894620,1579988880,1580100300,1580121120,1580234460,1580327340,1580426160,1580526780,1580539320,1580676180,1580764200,1580796000,1580941980,1581022860,1581117360,1581141600,1581281700,1581375840,1581466200,1581548460,1581573600,1581717660,1581807060,1581879840,1581973200,1582054560,1582128180,1582247640,1582323600,1582407540,1582492380,1582574580,1582657260,1582696800,1582815540,1582893360,1583012220,1583096340,1583197500,1583272980,1583360520,1583431080,1583535360,1583617740,1583704800,1583737320,1583877360,1583966220,1584046200,1584136980,1584162000,1584309360,1584392520
apparentTemperatureMin,13.97,23.89,25.93,19.51,16.28,19.01,12.66,17.3,19.89,23.68,27.59,28.83,23.86,19.03,12.87,13.7,19.15,6.67,13.4,13.21,17.15,11.71,-18.53,-14.54,1.7,21.81,27.11,12.28,1.92,-7.4,4.44,19.98,28.3,25.74,24.37,19.23,18.94,13.13,13.73,28.54,24.85,26.48,28.77,24.9,20.6,21.45,39.09,29.35,26.34,34.84,33.93,22.9,25.39,23.47,29.75
apparentTemperatureMinTime,1579672800,1579760940,1579852140,1579964160,1580033040,1580180040,1580216580,1580315400,1580364000,1580478180,1580558580,1580706000,1580731080,1580871780,1580907600,1580983080,1581076800,1581166380,1581306600,1581325260,1581415560,1581570000,1581594900,1581663060,1581746400,1581858600,1581919260,1582030440,1582174800,1582204020,1582283520,1582375320,1582462860,1582538400,1582634760,1582726260,1582791300,1582952400,1582956000,1583042400,1583143800,1583224980,1583325960,1583463660,1583499480,1583581200,1583670120,1583812800,1583847000,1583910360,1584072000,1584100800,1584197940,1584266100,1584337320
