,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454,38.8454
Long,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521,-94.8521
Province/State,"Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS","Johnson County, KS"
apparentTemperatureHigh,25.76,33.07,23.48,32.55,37.13,32.6,25.3,28.34,33.66,37.02,53.04,66,62.6,23.62,18.96,35.36,30.22,37.02,52.39,41.45,41.62,33.43,1.93,15.92,38.62,51.46,59.03,38.29,38.44,23.55,35.06,53.23,60.67,36.5,37.04,30.02,45.1,54.5,62.55,63.72,54.63,60.57,59.12,59.05,55.73,66.37,68.14,58.46,46.5,66.21,65.42,41.43,31.7,33.49,44.79
apparentTemperatureHighTime,1579735140,1579807020,1579908900,1579981440,1580079660,1580147880,1580241120,1580334840,1580421120,1580515140,1580593200,1580680020,1580753340,1580821200,1580946900,1581030000,1581109140,1581192780,1581277440,1581364980,1581461400,1581530520,1581631200,1581724800,1581810360,1581889140,1581972900,1582063020,1582142580,1582230720,1582319520,1582403040,1582487760,1582549200,1582667100,1582751160,1582834680,1582926600,1583012760,1583100300,1583186400,1583272260,1583352600,1583438100,1583532120,1583611680,1583697780,1583783340,1583878140,1583963280,1584043800,1584129660,1584208920,1584316800,1584392100
apparentTemperatureLow,25.39,21.58,20.72,25.71,22.32,23.16,21.02,23.84,23.19,23.01,31.45,43.12,22.2,18.34,13.88,17.64,14.04,28.05,16.21,24.74,26.74,-14.37,-6.89,14.7,20.4,35.65,19.56,20.75,7.9,7.35,20.66,35.38,34.8,27.27,17.88,17.05,20.86,24.37,50.74,25.75,29.91,37.65,32.79,23.82,29.97,41.01,40.84,27.75,37.92,51.2,31.63,28.18,26.66,31.74,35.4
apparentTemperatureLowTime,1579744500,1579864080,1579959300,1580044140,1580132640,1580220000,1580291520,1580392800,1580467860,1580555220,1580648340,1580717160,1580824800,1580911200,1580979180,1581072360,1581160860,1581214800,1581332160,1581418860,1581493800,1581598440,1581684060,1581728880,1581854220,1581925860,1582033320,1582116960,1582204380,1582287840,1582371900,1582455600,1582552800,1582638000,1582718880,1582794000,1582886940,1582974780,1583067180,1583153940,1583221920,1583326380,1583400480,1583492760,1583577180,1583665260,1583745900,1583830980,1583930940,1583997180,1584095460,1584183480,1584273540,1584363600,1584435840
apparentTemperatureMax,26.49,33.07,23.91,32.55,37.13,32.6,29.32,30.17,33.66,37.02,53.04,66,62.6,28.46,20.66,35.36,30.22,37.02,52.39,41.45,41.62,33.43,6.95,15.92,38.62,51.46,59.03,38.29,38.44,23.55,35.06,53.23,60.67,42.9,37.04,30.56,45.1,54.5,62.55,63.72,54.63,60.57,59.12,59.05,55.73,66.37,68.14,58.46,46.5,66.21,65.42,41.43,36.4,34.43,44.79
apparentTemperatureMaxTime,1579755600,1579807020,1579845600,1579981440,1580079660,1580147880,1580191200,1580354040,1580421120,1580515140,1580593200,1580680020,1580753340,1580796000,1580900100,1581030000,1581109140,1581192780,1581277440,1581364980,1581461400,1581530520,1581653940,1581724800,1581810360,1581889140,1581972900,1582063020,1582142580,1582230720,1582319520,1582403040,1582487760,1582524000,1582667100,1582769220,1582834680,1582926600,1583012760,1583100300,1583186400,1583272260,1583352600,1583438100,1583532120,1583611680,1583697780,1583783340,1583878140,1583963280,1584043800,1584129660,1584162000,1584324000,1584392100
