,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672,34.3672
Long,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883,-80.5883
Province/State,"Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC","Kershaw County, SC"
apparentTemperatureHigh,50.55,51.9,64.71,53.16,56.37,58.91,57.01,55.29,56.4,35.41,46.1,64.21,74.77,71.57,71.37,73.4,51.04,45.99,55.9,66.82,75.64,73.87,74.2,58.13,52.11,50.98,62.72,58.98,59.01,42.45,38.06,54.9,62.45,50.95,65.52,66.43,52.51,56.48,53.96,60.68,69.48,66.8,59.24,51.16,58.8,56.62,63.9,71.22,71.14,76.19,78.71,78.42,72.34,65.27,58.38
apparentTemperatureHighTime,1579723140,1579810380,1579891140,1579981920,1580069220,1580154060,1580242140,1580327520,1580414280,1580515200,1580587500,1580673420,1580760360,1580845860,1580932620,1581009000,1581076800,1581184200,1581278580,1581365580,1581452220,1581535920,1581607680,1581710460,1581797220,1581872340,1581970380,1582053060,1582113600,1582200000,1582315200,1582401840,1582487640,1582570740,1582658220,1582741500,1582836240,1582919580,1583006820,1583093340,1583176740,1583265180,1583340120,1583409600,1583514480,1583611500,1583697360,1583783880,1583870520,1583955180,1584042960,1584127860,1584212340,1584293940,1584395700
apparentTemperatureLow,25.45,37.5,39.25,34.29,40.81,33.41,31.06,35.7,31.6,34.62,32.31,40.26,52.25,57.49,62.48,42.87,31.07,34.78,34.45,60.57,57.3,64.29,41.35,26.11,36.64,43.41,50.34,56.89,40.76,25.82,25.27,30.48,47.2,44.99,54.59,31.89,29.58,30.15,28.43,36.69,56.04,55.45,50.36,38.76,29.68,30.02,36.54,53.62,52.67,52.82,63.51,58.17,55.67,44.72,50.58
apparentTemperatureLowTime,1579766220,1579841700,1579953660,1580039940,1580119380,1580208660,1580295360,1580382900,1580464800,1580532900,1580642580,1580730660,1580814060,1580900580,1580980200,1581080400,1581162720,1581243300,1581331920,1581383040,1581511440,1581563880,1581678600,1581764220,1581825120,1581940320,1582023180,1582117200,1582203600,1582283340,1582365480,1582452300,1582540080,1582594380,1582715640,1582801380,1582887960,1582973820,1583063340,1583146980,1583205180,1583326260,1583413200,1583489400,1583575380,1583662380,1583748420,1583833920,1583927340,1584013860,1584093900,1584183780,1584258600,1584356280,1584442860
apparentTemperatureMax,50.55,51.9,64.71,53.16,56.37,58.91,57.01,55.29,56.4,36.66,46.1,64.21,74.77,71.57,71.37,73.4,62.48,45.99,55.9,66.82,75.64,73.87,74.2,58.13,52.11,50.98,62.72,59.2,59.87,44.46,38.06,54.9,62.45,50.95,65.52,66.43,52.51,56.48,53.96,60.68,69.48,66.8,62.91,52.13,58.8,56.62,63.9,71.22,71.14,76.19,78.71,78.42,72.34,65.27,58.38
apparentTemperatureMaxTime,1579723140,1579810380,1579891140,1579981920,1580069220,1580154060,1580242140,1580327520,1580414280,1580446800,1580587500,1580673420,1580760360,1580845860,1580932620,1581009000,1581057300,1581184200,1581278580,1581365580,1581452220,1581535920,1581607680,1581710460,1581797220,1581872340,1581970380,1582084800,1582098360,1582178760,1582315200,1582401840,1582487640,1582570740,1582658220,1582741500,1582836240,1582919580,1583006820,1583093340,1583176740,1583265180,1583301360,1583384400,1583514480,1583611500,1583697360,1583783880,1583870520,1583955180,1584042960,1584127860,1584212340,1584293940,1584395700
