,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175,47.175
Long,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319,-120.9319
Province/State,"Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA","Kittitas County, WA"
apparentTemperatureHigh,36.98,40.17,45.16,42.87,41.05,44.05,39.5,35.65,37.77,46.02,38.62,36.38,32.87,28.45,36.89,36.11,42.09,36.93,35.14,48.2,33.59,45.51,37.23,33.89,39.24,33.17,34.99,37.71,34.58,39.97,49.18,39.57,32.67,31.13,44.35,43.06,56.56,58.26,37.44,38.43,39.15,51.81,45.66,54.46,45.93,42.29,43.77,51.07,44.2,37.97,43.41,31.5,23.36,33.15,53.25
apparentTemperatureHighTime,1579722360,1579820220,1579896660,1579993620,1580082960,1580157900,1580248920,1580339220,1580415300,1580513820,1580569200,1580679960,1580762580,1580864460,1580940240,1581040920,1581116520,1581198780,1581285180,1581372420,1581458160,1581551100,1581624180,1581710340,1581796680,1581885660,1581977280,1582063320,1582149000,1582245960,1582322460,1582415760,1582494840,1582580400,1582669740,1582747560,1582842540,1582927200,1583005680,1583093220,1583185740,1583275140,1583368200,1583446620,1583529720,1583615400,1583703780,1583792400,1583879100,1583963400,1584053040,1584136080,1584222900,1584310260,1584395880
apparentTemperatureLow,28.83,32.3,27.53,28.35,26.9,25.89,27,17.75,27.97,36.99,15.95,15.14,11.7,27.22,32.83,32.32,28.15,16.94,20.72,23.17,23.05,22.13,25.85,26.78,23.46,20.29,11.97,12.64,12.33,19.65,21.66,27.06,18.95,18.22,28.36,26.01,27.19,27.09,17.05,22.47,32.08,27.61,24.5,28.9,29.79,20.58,17.43,23.32,30.98,22.72,26.89,12.56,5.14,17.13,25.47
apparentTemperatureLowTime,1579771440,1579881060,1579965180,1580035920,1580138040,1580184060,1580309760,1580382060,1580440440,1580543340,1580655780,1580720520,1580820840,1580871900,1581004800,1581085260,1581154080,1581263160,1581343560,1581409980,1581519420,1581609300,1581660240,1581754020,1581858420,1581951060,1582037280,1582120620,1582208160,1582296480,1582378260,1582467540,1582553940,1582625340,1582708020,1582811280,1582900020,1582981260,1583074260,1583139420,1583247000,1583333040,1583413380,1583505180,1583594400,1583679300,1583764860,1583832060,1583935680,1584023700,1584076020,1584194340,1584270300,1584351420,1584450000
apparentTemperatureMax,36.98,40.17,45.16,42.87,41.05,44.05,39.5,35.65,37.77,46.02,43.06,36.38,32.87,28.45,36.89,36.11,42.09,36.93,35.14,48.2,33.59,45.51,37.23,33.89,39.24,33.17,34.99,37.71,34.58,39.97,49.18,39.57,32.67,31.13,44.35,43.06,56.56,58.26,37.44,38.43,39.15,51.81,45.66,54.46,45.93,42.29,43.77,51.07,44.2,37.97,43.41,31.97,23.36,33.15,53.25
apparentTemperatureMaxTime,1579722360,1579820220,1579896660,1579993620,1580082960,1580157900,1580248920,1580339220,1580415300,1580513820,1580554620,1580679960,1580762580,1580864460,1580940240,1581040920,1581116520,1581198780,1581285180,1581372420,1581458160,1581551100,1581624180,1581710340,1581796680,1581885660,1581977280,1582063320,1582149000,1582245960,1582322460,1582415760,1582494840,1582580400,1582669740,1582747560,1582842540,1582927200,1583005680,1583093220,1583185740,1583275140,1583368200,1583446620,1583529720,1583615400,1583703780,1583792400,1583879100,1583963400,1584053040,1584104100,1584222900,1584310260,1584395880
