,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020
Country/Region,US,US,US,US,US,US,US,US,US,US
Lat,42.6953,42.6953,42.6953,42.6953,42.6953,42.6953,42.6953,42.6953,42.6953,42.6953
Long,-121.6142,-121.6142,-121.6142,-121.6142,-121.6142,-121.6142,-121.6142,-121.6142,-121.6142,-121.6142
Province/State,"Klamath County, OR","Klamath County, OR","Klamath County, OR","Klamath County, OR","Klamath County, OR","Klamath County, OR","Klamath County, OR","Klamath County, OR","Klamath County, OR","Klamath County, OR"
apparentTemperatureHigh,32.6,39.39,38.08,37.7,34.29,33.89,30.48,38.41,41.46,51.51
apparentTemperatureHighTime,1579730400,1579815900,1579905960,1579982760,1580067720,1580155380,1580247960,1580334060,1580421540,1580509860
apparentTemperatureLow,24.91,28.76,25.54,30.21,23.21,25.62,22.43,28.83,25.56,23.95
apparentTemperatureLowTime,1579794240,1579880940,1579930140,1580053860,1580108220,1580227200,1580310720,1580354340,1580483400,1580565780
apparentTemperatureMax,32.6,39.39,38.08,37.7,34.29,33.89,30.48,38.41,41.46,51.51
apparentTemperatureMaxTime,1579730400,1579815900,1579905960,1579982760,1580067720,1580155380,1580247960,1580334060,1580421540,1580509860
apparentTemperatureMin,19.25,24.91,25.54,26.63,23.21,23.47,25.6,22.43,28.22,25.56
apparentTemperatureMinTime,1579705080,1579794240,1579930140,1579939200,1580108220,1580112000,1580227740,1580310720,1580454000,1580483400
cloudCover,0.82,0.79,0.66,0.84,0.6,0.78,0.74,0.8,0.56,0.53
dewPoint,26.38,30.82,30.42,33.97,31.12,30.08,29.93,24.99,29.86,29.86
humidity,0.81,0.83,0.81,0.89,0.84,0.85,0.84,0.75,0.81,0.74
icon,snow,rain,rain,rain,rain,snow,snow,rain,rain,partly-cloudy-day
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22
ozone,316.2,324.3,342.9,315.9,329.7,339.2,358.7,327.7,320.9,317.4
precipAccumulation,0.3,,,,,0.49,1.07,,,
precipIntensity,0.0035,0.0066,0.0077,0.0179,0.0076,0.0043,0.0103,0.0028,0.0009,0.0005
precipIntensityMax,0.0066,0.0278,0.0459,0.0756,0.0308,0.0101,0.0489,0.0137,0.0028,0.0017
precipIntensityMaxTime,1579730940,1579849200,1579867020,1580014500,1580025600,1580115660,1580223720,1580362200,1580407200,1580457600
precipProbability,0.43,0.58,0.73,0.78,0.88,0.61,0.75,0.51,0.25,0.1
precipType,snow,rain,rain,rain,rain,snow,snow,rain,rain,rain
pressure,1022.3,1021.5,1019,1017.6,1019.2,1023.7,1022,1026,1026.3,1027
summary,Overcast throughout the day.,Possible light rain in the evening and overnight.,Possible light rain in the morning.,Light rain throughout the day.,Possible light rain in the morning.,Possible drizzle in the afternoon.,Possible light snow (1–2 in.) in the morning and afternoon.,Possible drizzle in the evening.,Partly cloudy throughout the day.,Partly cloudy throughout the day.
sunriseTime,1579707060,1579793400,1579879800,1579966140,1580052480,1580138820,1580225160,1580311500,1580397840,1580484180
sunsetTime,1579741620,1579828140,1579914600,1580001060,1580087520,1580174040,1580260500,1580346960,1580433480,1580519940
temperatureHigh,38.26,43.58,42.52,41.43,40.36,39.72,38.68,42.52,44.43,51.72
temperatureHighTime,1579730400,1579816020,1579905600,1579989420,1580068320,1580155440,1580247960,1580334180,1580421420,1580509980
temperatureLow,29.18,32.42,31.04,33.73,29.08,33.03,25.28,29.61,29.27,29.31
temperatureLowTime,1579793640,1579880160,1579929480,1580053140,1580105880,1580227200,1580289720,1580396580,1580483160,1580565840
temperatureMax,38.26,43.58,42.52,41.43,40.36,39.72,38.68,42.52,44.43,51.72
temperatureMaxTime,1579730400,1579816020,1579905600,1579989420,1580068320,1580155440,1580247960,1580334180,1580421420,1580509980
temperatureMin,25.36,29.18,31.04,31.97,29.08,29.21,28.53,25.28,29.61,29.27
temperatureMinTime,1579684260,1579793640,1579929480,1579939200,1580105880,1580137320,1580281200,1580289720,1580396580,1580483160
time,1579680000,1579766400,1579852800,1579939200,1580025600,1580112000,1580198400,1580284800,1580371200,1580457600
uvIndex,2,2,2,2,2,2,2,2,2,2
uvIndexTime,1579724220,1579810380,1579897140,1579983900,1580069820,1580156220,1580242320,1580329260,1580415660,1580502480
visibility,7.491,6.729,8.209,6.959,8.69,7.909,8.056,9.709,9.797,9.982
windBearing,171,162,191,163,226,193,228,166,173,171
windGust,15.51,15.03,18.61,18.03,22.12,23.83,30.7,13.09,11.3,12.27
windGustTime,1579723620,1579849200,1579856880,1580014020,1580079000,1580194800,1580223660,1580339280,1580415840,1580504640
windSpeed,5.82,5.48,5.6,5.73,6.6,7.14,9.15,4.26,3.21,4.7
