,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL","Lee County, FL"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663,26.663
Long,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535,-81.9535
time,1579669200,1579755600,1579842000,1579928400,1580014800,1580101200,1580187600,1580274000,1580360400,1580446800,1580533200,1580619600,1580706000,1580792400,1580878800,1580965200,1581051600,1581138000,1581224400,1581310800,1581397200,1581483600,1581570000,1581656400,1581742800,1581829200,1581915600,1582002000,1582088400,1582174800,1582261200,1582347600,1582434000,1582520400,1582606800,1582693200,1582779600,1582866000,1582952400,1583038800,1583125200,1583211600,1583298000,1583384400,1583470800,1583557200,1583643600,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Light rain in the evening and overnight.,Clear throughout the day.,Rain in the evening and overnight.,Light rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Rain and windy overnight.,Rain in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.,"Possible light rain until morning, starting again in the evening.",Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Humid throughout the day.,Clear throughout the day.
icon,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,rain,partly-cloudy-day,rain,rain,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,rain,clear-day,rain,rain,rain,partly-cloudy-day,clear-day,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day
sunriseTime,1579695480,1579781880,1579868220,1579954620,1580041020,1580127360,1580213760,1580300160,1580386500,1580472900,1580559240,1580645640,1580731980,1580818380,1580904720,1580991120,1581077460,1581163800,1581250200,1581336540,1581422880,1581509280,1581595620,1581681960,1581768300,1581854700,1581941040,1582027380,1582113720,1582200060,1582286460,1582372800,1582459140,1582545480,1582631820,1582718160,1582804500,1582890840,1582977180,1583063520,1583149860,1583236200,1583322540,1583408880,1583495220,1583581560,1583667900,1583754240,1583840580,1583926920,1584013260,1584099600,1584185940,1584272280,1584358620
sunsetTime,1579734180,1579820640,1579907100,1579993500,1580079960,1580166420,1580252880,1580339340,1580425740,1580512200,1580598660,1580685120,1580771580,1580857980,1580944440,1581030900,1581117360,1581203760,1581290220,1581376680,1581463080,1581549540,1581636000,1581722460,1581808860,1581895320,1581981780,1582068180,1582154640,1582241100,1582327500,1582413960,1582500360,1582586820,1582673280,1582759680,1582846140,1582932540,1583019000,1583105460,1583191860,1583278320,1583364720,1583451180,1583537580,1583624040,1583710440,1583796900,1583883300,1583969760,1584056160,1584142620,1584229020,1584315480,1584401880
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
precipIntensity,0.0004,0.001,0.0007,0.001,0.0006,0.0013,0.0015,0.0127,0.0013,0.0101,0.0316,0.0006,0.0006,0.0005,0.0011,0.0021,0.0342,0.0008,0.0007,0.0009,0.0009,0.0022,0.0008,0.0026,0.0017,0.0041,0.0007,0.0012,0.0037,0.0016,0.0022,0.0008,0.0004,0.0007,0.0008,0.0159,0.001,0.0002,0.0006,0.0005,0.0012,0.001,0.0007,0.001,0.0017,0.0009,0.0007,0.0008,0.0018,0.0015,0.0006,0.0007,0.001,0.0008,0.0006
precipIntensityMax,0.0014,0.0016,0.0024,0.0026,0.0022,0.0033,0.0097,0.0936,0.0091,0.0728,0.1454,0.0034,0.0022,0.002,0.0032,0.0087,0.3235,0.0024,0.0022,0.0038,0.0021,0.0131,0.0022,0.0143,0.0041,0.0193,0.0018,0.0032,0.013,0.0057,0.0077,0.0022,0.002,0.002,0.0018,0.0796,0.0055,0.0015,0.0023,0.0023,0.0025,0.0024,0.0025,0.0023,0.0054,0.0025,0.0022,0.0022,0.0069,0.0056,0.0019,0.0016,0.0031,0.0035,0.0017
precipIntensityMaxTime,1579682760,1579820460,1579924680,1579939500,1580088060,1580148120,1580198280,1580345940,1580360400,1580522100,1580540040,1580626920,1580755920,1580824980,1580937960,1581036120,1581059580,1581178440,1581270720,1581368220,1581460800,1581508680,1581638160,1581728700,1581756900,1581886740,1581983940,1582081380,1582167900,1582174800,1582283220,1582401660,1582453140,1582588800,1582617540,1582764900,1582794000,1582909260,1582977600,1583082000,1583137560,1583272860,1583366400,1583413560,1583488440,1583620320,1583722020,1583748240,1583873580,1583978040,1584014460,1584143580,1584231840,1584244800,1584366840
precipProbability,0.1,0.21,0.24,0.22,0.09,0.27,0.18,0.74,0.44,0.74,0.99,0.16,0.09,0.09,0.2,0.42,0.76,0.1,0.11,0.12,0.17,0.26,0.2,0.44,0.29,0.46,0.21,0.17,0.26,0.28,0.38,0.17,0.14,0.12,0.13,0.77,0.29,0.04,0.09,0.08,0.11,0.09,0.09,0.12,0.16,0.05,0.09,0.14,0.22,0.16,0.16,0.12,0.13,0.12,0.1
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
temperatureHigh,61.37,76.86,77.25,75.21,71.88,73.27,75.37,73.44,69.71,76.77,68.79,64.92,73.83,78.66,81.12,82,67.61,74.69,80.62,84.34,84.05,84.32,82.79,82.74,82.2,81.93,82.46,85.82,83,83.09,71.25,75.19,78.49,79.43,82.3,82.75,67.35,67.1,70.09,75.43,78.97,81.42,84.32,83.96,76.97,72.83,75.27,78.6,81.01,80.4,81.73,83.56,86.18,83.68,86.37
