,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695,31.1695
Long,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678,-91.8678
apparentTemperatureLow,40.62,37.14,32.69,44.8,47.76,37.54,51.24,44.11,43.82,39.14,32.92,50.14,63.98,68.6,40.18,27.18,41.77,47.04,62.39,58.61,45.64,39.48,28.39,27.91,52.41,53.92,62.77,43.4,40.6,24.03,25.79,37.57,54.91,49.71,50.37,28.62,26.57,32.88,44.14,60.42,67.21,66.05,52.38,41.02,34.21,38.71,55.85,63.79,62.58,63.25,65.82,66.3,65.23,54.02,62.35
precipIntensity,0.0064,0.0253,0.0007,0.0008,0.0394,0.0008,0.0018,0.0132,0.0013,0.0011,0.0005,0.0004,0.0007,0.0035,0.032,0.0083,0.0006,0.0012,0.0012,0.0254,0.0064,0.0588,0.0016,0.0007,0.001,0.0188,0.0043,0.0054,0.0196,0.0291,0.0009,0.0007,0.0005,0.0168,0.0009,0.0027,0.0005,0.0001,0.0007,0.0005,0.0092,0.0108,0.0657,0.0059,0.0011,0.0009,0.0007,0.0047,0.0106,0.001,0.0009,0.0016,0.001,0.0017,0.0009
temperatureHighTime,1579722480,1579809780,1579896240,1579983120,1580076180,1580155260,1580248260,1580327880,1580414460,1580500980,1580592600,1580674860,1580759940,1580843280,1580932500,1581018900,1581109140,1581192480,1581278520,1581362940,1581426000,1581535980,1581623520,1581710940,1581796980,1581884520,1581969240,1582055880,1582130340,1582203600,1582315440,1582402440,1582485360,1582573920,1582667520,1582746420,1582839960,1582920420,1583006400,1583090640,1583179920,1583269920,1583326800,1583445240,1583524620,1583610900,1583698380,1583782680,1583871780,1583956920,1584043380,1584136320,1584215580,1584302100,1584389100
temperatureMax,50.03,59.63,60.7,64.35,53.95,57.98,59.36,55.56,54.45,54.7,60.6,74.78,72.91,72.11,74.76,50.56,62.54,67.41,74.34,75.56,69.96,74.76,54.67,54.59,66.99,62.6,66.39,77.37,55.57,50.12,50.11,58.65,66.66,64.75,68.57,55.95,54.21,66.9,73.17,73.46,75.6,76.39,69.33,68.89,68.24,66.62,72.94,74.29,77.4,79.46,80.58,82.34,82.74,79.19,78.75
windSpeed,5.98,8.98,6.43,2.57,5.87,3.38,4.6,6.94,5.38,5.45,5.71,6.49,10.82,10.25,9.97,9.81,5.9,4.96,11.02,11.47,9.49,8.79,11.43,8.65,5.69,3.84,6.89,7.33,9.34,14.15,10.38,2.7,5.23,8.75,3.51,11.82,4.56,7.11,6.02,11.65,10.32,5.88,11.8,9.93,9.5,4.69,6.72,11.08,5.87,8.28,10.46,5.63,6,6.3,4.95
apparentTemperatureMin,26.63,41.18,37.14,32.69,44.68,45.12,37.54,50.07,44.11,43.82,39.14,32.92,50.14,64.47,51.98,31.01,27.18,41.77,47.04,63.71,45.64,46.84,36.01,28.39,27.91,52.41,53.92,57.23,43.4,33.26,24.03,25.79,37.57,54.91,49.71,35.65,28.62,26.57,32.88,44.14,60.42,67.21,53.47,50.57,41.02,34.21,38.71,55.85,63.79,62.58,63.25,65.82,66.3,59.4,54.02
