,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA","Madera County, CA"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519,37.2519
Long,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963,-119.6963
time,1579680000,1579766400,1579852800,1579939200,1580025600,1580112000,1580198400,1580284800,1580371200,1580457600,1580544000,1580630400,1580716800,1580803200,1580889600,1580976000,1581062400,1581148800,1581235200,1581321600,1581408000,1581494400,1581580800,1581667200,1581753600,1581840000,1581926400,1582012800,1582099200,1582185600,1582272000,1582358400,1582444800,1582531200,1582617600,1582704000,1582790400,1582876800,1582963200,1583049600,1583136000,1583222400,1583308800,1583395200,1583481600,1583568000,1583654400,1583737200,1583823600,1583910000,1583996400,1584082800,1584169200,1584255600,1584342000
summary,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Possible light rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Possible drizzle in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Possible light rain in the afternoon.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain in the morning.,Clear throughout the day.,Possible drizzle overnight.,Light rain throughout the day.,Rain throughout the day.,Rain throughout the day.
icon,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,clear-day,clear-day,clear-day,clear-day,clear-day,rain,rain,partly-cloudy-day,rain,rain,clear-day,rain,rain,rain,rain
sunriseTime,1579705800,1579792140,1579878540,1579964880,1580051280,1580137620,1580223960,1580310300,1580396700,1580483040,1580569380,1580655720,1580742060,1580828460,1580914800,1581001140,1581087480,1581173820,1581260160,1581346500,1581432840,1581519180,1581605520,1581691800,1581778140,1581864480,1581950820,1582037160,1582123500,1582209780,1582296120,1582382460,1582468800,1582555080,1582641420,1582727760,1582814040,1582900380,1582986720,1583073000,1583159340,1583245620,1583331960,1583418240,1583504580,1583590920,1583677200,1583763540,1583849820,1583936160,1584022440,1584108780,1584195060,1584281400,1584367680
sunsetTime,1579741980,1579828440,1579914900,1580001360,1580087820,1580174280,1580260800,1580347260,1580433720,1580520180,1580606640,1580693100,1580779560,1580866020,1580952480,1581039000,1581125460,1581211920,1581298380,1581384840,1581471300,1581557760,1581644220,1581730680,1581817140,1581903600,1581990060,1582076580,1582163040,1582249500,1582335960,1582422420,1582508880,1582595340,1582681800,1582768260,1582854720,1582941180,1583027640,1583114100,1583200560,1583287020,1583373480,1583459880,1583546340,1583632800,1583719260,1583805720,1583892180,1583978640,1584065100,1584151560,1584238020,1584324480,1584410940
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
