,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939,44.6939
Long,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819,-69.3819
Province/State,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine,Maine
apparentTemperatureHigh,27.06,35.36,33.52,31.8,36.62,38.39,25.65,19.96,28.23,37.52,37.5,31.87,35.25,36.36,20.96,19.63,17.89,10.08,15.76,30.69,34.2,30.27,34.55,-1.8,11.9,31.08,25.62,20.58,28.2,9.48,16.52,33.39,41.72,46.79,48.22,41.35,30.9,23.55,24.78,20.87,29.63,53.41,36.26,37.55,32.9,27.6,41.96,56.93,51.21,37.31,43.23,39.41,37.69,29.26,36.64
apparentTemperatureHighTime,1579721580,1579806540,1579893360,1579976160,1580063760,1580143200,1580230620,1580323320,1580417880,1580498280,1580585220,1580672760,1580758140,1580834700,1580929200,1581019500,1581089100,1581185580,1581277980,1581371040,1581449760,1581526980,1581617580,1581705480,1581796260,1581883020,1581953700,1582066860,1582124760,1582228500,1582313220,1582401540,1582486200,1582572420,1582659720,1582744740,1582838100,1582923000,1582995300,1583090520,1583193600,1583265060,1583331120,1583436300,1583518680,1583611860,1583697540,1583783700,1583870160,1583956020,1584040440,1584130200,1584212580,1584299460,1584387840
apparentTemperatureLow,10.12,16.1,20.61,25.74,25.86,21.22,12.08,2.74,13.8,19.64,20.32,16.67,25.15,17.09,11.69,16.05,2.87,-4.78,10.06,13.52,14.35,22.7,-4.49,-14.2,3.64,12.49,-1.69,19.48,-5.24,-7.02,3.39,12.88,18.95,29.49,27.81,24.7,11.84,11.89,3.45,8.81,29.63,32.63,20.87,25.34,4.93,17.13,25.86,24.61,25.73,19.1,27.77,28.3,14.55,6.87,18.98
apparentTemperatureLowTime,1579768860,1579866600,1579929480,1580008380,1580105520,1580209380,1580302080,1580379780,1580471760,1580558580,1580640480,1580724360,1580816760,1580907600,1580991720,1581078000,1581159600,1581223140,1581302760,1581420240,1581507960,1581564900,1581685200,1581741840,1581815460,1581939660,1582020720,1582112220,1582196220,1582263780,1582366140,1582452780,1582538400,1582630320,1582714980,1582808400,1582887840,1582973820,1583057640,1583128260,1583193600,1583321640,1583405940,1583499540,1583578380,1583650860,1583747160,1583821800,1583926680,1584007920,1584100800,1584182400,1584270360,1584355800,1584418080
apparentTemperatureMax,27.06,35.36,33.52,31.8,36.62,38.39,26.25,19.96,28.23,37.52,37.5,31.87,35.25,36.36,25.91,20.16,18.8,10.08,17.98,30.69,34.2,30.27,34.55,12.62,11.9,31.08,25.62,23.25,28.2,9.48,16.52,33.39,41.72,46.79,48.22,41.35,31.8,23.55,24.78,20.87,32.64,53.41,39.37,37.55,32.9,27.6,41.96,56.93,51.21,38.4,43.23,39.41,37.69,29.26,36.64
apparentTemperatureMaxTime,1579721580,1579806540,1579893360,1579976160,1580063760,1580143200,1580187600,1580323320,1580417880,1580498280,1580585220,1580672760,1580758140,1580834700,1580889120,1580981700,1581051600,1581185580,1581307200,1581371040,1581449760,1581526980,1581617580,1581656400,1581796260,1581883020,1581953700,1582084800,1582124760,1582228500,1582313220,1582401540,1582486200,1582572420,1582659720,1582744740,1582783980,1582923000,1582995300,1583090520,1583208000,1583265060,1583309400,1583436300,1583518680,1583611860,1583697540,1583783700,1583870160,1583899200,1584040440,1584130200,1584212580,1584299460,1584387840
