,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362,39.8362
Long,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752,-86.1752
Province/State,"Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN","Marion County, IN"
apparentTemperatureHigh,32.81,44.42,41.52,32.88,33.18,32.05,32.34,32.58,35.82,38.73,41.62,61.78,60.86,55.03,33.16,31.31,32.77,32.53,32.94,33.01,33.43,32.89,32.88,17.91,41.02,45.09,47.59,44.11,33.17,31.94,32.72,48.37,53.75,40.88,40.43,32.13,32.47,31.76,32.86,56.39,51.73,54.55,53.53,57.7,29.94,48.63,63.99,62.4,53.86,50.23,60.22,50.36,40.36,44.79,48.69
apparentTemperatureHighTime,1579720980,1579808340,1579885740,1579969200,1580074500,1580155260,1580241540,1580327640,1580407200,1580506080,1580587200,1580674620,1580766600,1580817600,1580923260,1581017640,1581103140,1581193080,1581279660,1581362700,1581452520,1581537360,1581611880,1581711240,1581798000,1581882840,1581966180,1582027200,1582144260,1582224060,1582320600,1582401600,1582488060,1582559520,1582647720,1582718400,1582843860,1582903260,1583014620,1583093340,1583177760,1583264880,1583350140,1583438640,1583533500,1583617500,1583697900,1583775780,1583838000,1583963640,1584041340,1584129900,1584193200,1584302340,1584386880
apparentTemperatureLow,31.87,32.77,32.32,23.25,31.32,31.69,31.86,31.75,32.1,32.54,25.96,32.87,52.49,31.97,30.94,24.84,31.2,24.11,32.72,31.94,29.13,25.8,3.54,9.52,32.32,31.25,41.99,30.62,23.02,15.07,22.79,31.63,36.26,32.69,31.98,20.61,19.45,17.11,30.78,46.4,41.77,32.68,28.55,21.27,23.7,32.11,48.78,51.87,33.08,42.32,32.26,32.73,32.15,32.51,33.01
apparentTemperatureLowTime,1579772940,1579832640,1579953780,1580037720,1580127420,1580205120,1580291820,1580382120,1580466300,1580554980,1580641140,1580733480,1580821200,1580907360,1580983320,1581067500,1581142020,1581217200,1581339600,1581417180,1581512400,1581591600,1581642060,1581741960,1581858000,1581926220,1582030800,1582110420,1582196280,1582282680,1582365900,1582449960,1582531200,1582635600,1582722000,1582779600,1582890480,1582941780,1583043300,1583146320,1583240400,1583321880,1583413080,1583499600,1583582100,1583668440,1583750880,1583841600,1583908800,1584006780,1584098280,1584167340,1584268020,1584355200,1584440520
apparentTemperatureMax,32.81,44.42,41.52,32.88,33.18,32.05,32.34,32.58,35.82,38.73,41.62,61.78,60.86,58.23,33.16,31.53,32.77,32.53,33.31,41.23,33.43,32.89,32.88,17.91,41.02,45.09,47.59,47.52,33.17,31.94,32.72,48.37,53.75,41.88,40.43,32.78,32.47,31.85,32.86,56.39,52.11,54.55,53.53,57.7,40.78,48.63,63.99,62.4,55.97,50.23,60.22,56.02,40.36,44.79,48.69
apparentTemperatureMaxTime,1579720980,1579808340,1579885740,1579969200,1580074500,1580155260,1580241540,1580327640,1580407200,1580506080,1580587200,1580674620,1580766600,1580796300,1580923260,1580965200,1581103140,1581193080,1581307200,1581315720,1581452520,1581537360,1581611880,1581711240,1581798000,1581882840,1581966180,1582017420,1582144260,1582224060,1582320600,1582401600,1582488060,1582595940,1582647720,1582693200,1582843860,1582936740,1583014620,1583093340,1583127840,1583264880,1583350140,1583438640,1583470800,1583617500,1583697900,1583775780,1583827740,1583963640,1584041340,1584072000,1584193200,1584302340,1584386880
apparentTemperatureMin,13.07,29.54,32.86,23.75,23.25,31.32,31.69,31.86,31.75,32.1,32.54,25.96,32.87,32.31,25.61,30.71,23.78,24.11,22.07,30.67,27.72,27.23,3.54,4.05,9.55,31.77,31.25,30.97,30.62,21.51,15.07,22.79,31.63,36.21,31.48,19.96,19.92,15.75,17.25,30.78,45.83,39.94,32.68,28.55,20.06,23.7,32.11,48.78,33.12,33.08,42.32,23.94,32.31,32.15,32.51
apparentTemperatureMinTime,1579694340,1579794720,1579911660,1579989600,1580037720,1580132340,1580205120,1580291820,1580382120,1580466300,1580554980,1580641140,1580733480,1580875200,1580918400,1581048000,1581098400,1581217200,1581274800,1581357540,1581429600,1581515580,1581642060,1581680400,1581742800,1581912000,1581926220,1582038600,1582110420,1582228800,1582282680,1582365900,1582449960,1582601040,1582641000,1582756500,1582820400,1582898100,1582974660,1583043300,1583208000,1583294400,1583321880,1583413080,1583519340,1583582100,1583668440,1583750880,1583893260,1583908800,1584006780,1584107760,1584208920,1584268020,1584355200
cloudCover,0.71,0.87,0.98,1,0.82,0.87,0.94,0.98,0.87,0.96,0.98,0.13,0.61,0.98,0.88,0.97,0.67,0.86,0.76,0.98,0.69,0.91,0.96,0.07,0.43,0.41,0.63,0.87,0.17,0.48,0.02,0.02,0.2,0.91,0.98,0.96,0.47,0.49,0.02,0.42,0.94,0.48,0.16,0.21,0.77,0.04,0.12,0.78,0.97,0.89,0.89,0.42,0.84,0.69,0.89
dewPoint,15.34,24.01,36.24,30.4,27.91,25.12,27.32,27.39,26.14,29.47,31.46,34.22,38.75,40.22,25.74,23.16,23.31,27.66,25.7,30.66,26.37,26.16,22.04,-1.04,13.59,28.26,29.9,34.43,20.67,13.05,6.1,14.27,26.55,36.67,35.63,28.43,21.05,19.73,13.09,29.51,45.71,38.47,31.12,28.41,27.7,21.98,24.53,39.59,44.36,37.54,46.48,33.64,29.75,30.87,33.01
humidity,0.62,0.62,0.95,0.93,0.84,0.76,0.83,0.83,0.78,0.87,0.93,0.68,0.71,0.86,0.77,0.72,0.76,0.85,0.8,0.88,0.77,0.79,0.81,0.59,0.6,0.72,0.72,0.87,0.63,0.53,0.46,0.45,0.57,0.87,0.94,0.87,0.69,0.71,0.58,0.59,0.9,0.74,0.66,0.59,0.81,0.6,0.46,0.55,0.87,0.83,0.86,0.67,0.83,0.8,0.74
icon,partly-cloudy-day,rain,rain,snow,partly-cloudy-day,partly-cloudy-day,cloudy,cloudy,partly-cloudy-day,,snow,clear-day,partly-cloudy-day,rain,rain,cloudy,snow,snow,rain,rain,partly-cloudy-day,rain,snow,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,rain,rain,rain,snow,snow,clear-day,partly-cloudy-day,rain,rain,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,rain,rain,cloudy,rain,rain,rain,partly-cloudy-day,cloudy
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
ozone,308.2,327,376.8,399.1,364.5,362.5,334.8,352.5,361.2,364.1,373.8,343.7,311,304.6,351.2,359.9,388.4,377,327.3,326.5,315.5,304,335.9,390.1,327.9,353.7,338,327.7,331,364.8,399.1,373.3,329.1,314.2,330.4,404.7,406.5,446.9,394.8,330.5,380.6,374.1,344.7,345.2,397.4,343.9,336.9,318.7,356.2,372.7,354.3,328.8,302.7,311.6,321.1
precipAccumulation,0.06,,,0.16,0.04,,,,,,0,,,,,,0.29,0.11,,,,,0.28,0.35,0.2,,,,,0.09,0.09,0.06,,,,,0.08,0.02,0.11,,,,,,,0.04,,,,,,,,0.01,
precipIntensity,0.0002,0.0015,0.0058,0.0011,0.0002,0,0,0,0,0,0.0001,0.0002,0.0003,0.0148,0.001,0,0.0015,0.0007,0.0144,0.0104,0.0003,0.0034,0.0015,0.0007,0.0022,0.0003,0.0023,0.0029,0,0.0003,0.0002,0.0004,0.0002,0.0167,0.0125,0.0006,0.0003,0.0001,0.0004,0.0003,0.0167,0.0156,0.0002,0.0004,0.0001,0.0005,0.0003,0.0023,0.0181,0.0005,0.0083,0.0008,0.0043,0.0002,0.0009
precipIntensityMax,0.0012,0.0123,0.0185,0.0095,0.0023,0,0,0.0006,0.001,0.0007,0.0008,0.0016,0.0018,0.0828,0.0096,0.0002,0.0123,0.0035,0.0655,0.075,0.0017,0.0282,0.0107,0.0022,0.0107,0.0014,0.0114,0.0136,0,0.0014,0.0017,0.0016,0.0012,0.0718,0.0529,0.0035,0.0014,0.001,0.0016,0.0016,0.078,0.1363,0.0016,0.0014,0.0009,0.0015,0.0017,0.0226,0.0984,0.0018,0.0435,0.0092,0.0212,0.0013,0.0039
precipIntensityMaxTime,1579682820,1579830960,1579867980,1579964460,1580058000,,,1580317200,1580407200,1580504460,1580587680,1580680800,1580755920,1580842140,1580947020,1581019620,1581102780,1581189840,1581277560,1581314880,1581460200,1581557040,1581591660,1581712980,1581803340,1581876000,1581991620,1582006080,,1582200300,1582261200,1582401600,1582506000,1582556820,1582651980,1582751100,1582829880,1582916580,1582977600,1583082000,1583143920,1583218800,1583366400,1583413620,1583506980,1583620380,1583722020,1583809200,1583830920,1583914080,1584064020,1584072000,1584216240,1584287880,1584399300
