,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446,44.8446
Long,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927,-122.5927
Province/State,"Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR","Marion County, OR"
apparentTemperatureHigh,40.09,52.63,42.44,53.13,39.63,38.54,37.82,41.56,51.58,55.75,40.61,33.21,32.2,34.46,39.37,42.03,39.72,33.37,39.18,42.37,42.3,42.71,37.44,36.9,33.79,38,38.43,43.17,53.14,52.82,52.47,48.58,34.18,39.8,51.35,47.42,56,50.5,34.26,37.38,40.09,50.24,48.42,53.53,39.25,34.43,39.73,44.9,52.48,43.34,45.82,36.46,37.33,39.68,53.68
apparentTemperatureHighTime,1579748400,1579815900,1579896000,1579991400,1580069460,1580162160,1580248380,1580326800,1580420700,1580507820,1580569200,1580691240,1580778240,1580852940,1580953920,1581034260,1581106560,1581217200,1581285240,1581375120,1581458040,1581544500,1581621480,1581717360,1581822000,1581889740,1581979740,1582063200,1582149060,1582235520,1582321800,1582410360,1582471740,1582592220,1582668240,1582753980,1582843020,1582919940,1583013060,1583099940,1583186580,1583272740,1583359680,1583444820,1583523600,1583617380,1583707860,1583794260,1583877660,1583964060,1584052320,1584118500,1584223080,1584309300,1584394920
apparentTemperatureLow,40.09,38.51,38.72,37.25,33.28,33.79,36.11,35.22,43.52,39.92,29.16,22.78,22.21,27.7,38.58,37.09,28.21,29.77,27.94,30.27,34.16,30.37,29.12,30.62,32.76,29.42,23.49,27.12,30.57,31.22,30.38,33.98,27.78,28.29,38.51,30.02,34.91,26.8,28.99,30.12,37.36,36.69,34.63,35.09,28.93,27.67,27.21,29,34.09,27.04,31.5,26.43,20.74,27.74,30.28
apparentTemperatureLowTime,1579748400,1579881600,1579932480,1580051340,1580137440,1580227200,1580288700,1580396400,1580439600,1580572800,1580655960,1580725560,1580825100,1580882820,1580958120,1581091200,1581177600,1581260640,1581342540,1581429000,1581520260,1581602700,1581672120,1581782400,1581861300,1581921540,1582036560,1582123140,1582209660,1582296300,1582380300,1582473600,1582519500,1582641180,1582707000,1582814820,1582900800,1582988580,1583074560,1583161080,1583205180,1583329980,1583416740,1583502540,1583596320,1583663280,1583764980,1583848680,1583938560,1584023040,1584088620,1584191340,1584283440,1584346260,1584454260
apparentTemperatureMax,41.92,52.63,42.44,53.13,43.96,39.82,39.69,41.78,51.58,55.75,45.84,33.21,32.2,34.46,39.92,42.03,39.72,33.5,39.18,42.37,42.3,42.71,37.44,36.9,36.86,38.76,38.43,43.17,53.14,52.82,52.47,48.58,35.81,39.8,51.35,47.42,56,50.5,34.26,37.38,40.09,50.24,48.42,53.53,39.25,34.43,39.73,44.9,52.48,43.34,45.82,36.46,37.33,39.68,53.68
apparentTemperatureMaxTime,1579762800,1579815900,1579896000,1579991400,1580025600,1580194800,1580198400,1580362740,1580420700,1580507820,1580544000,1580691240,1580778240,1580852940,1580972400,1581034260,1581106560,1581218100,1581285240,1581375120,1581458040,1581544500,1581621480,1581717360,1581829080,1581840060,1581979740,1582063200,1582149060,1582235520,1582321800,1582410360,1582444800,1582592220,1582668240,1582753980,1582843020,1582919940,1583013060,1583099940,1583186580,1583272740,1583359680,1583444820,1583523600,1583617380,1583707860,1583794260,1583877660,1583964060,1584052320,1584118500,1584223080,1584309300,1584394920
