,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302,42.2302
Long,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301,-71.5301
Province/State,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
apparentTemperatureHigh,32.85,42.69,42.1,36.2,39.89,36.56,33.56,34.26,35.73,39.4,39,36.03,40.12,45.37,36.45,31.68,33.63,23.86,29.7,38.18,37.63,38.96,36.99,19.9,22.71,39.74,39.32,35.08,32.59,24.99,31.62,39.78,53.67,61.4,56.12,46.16,43.04,28.31,26.46,25.28,54.96,61.51,44.06,51.35,43.18,37.02,54.31,71.37,66.25,55.85,51.16,60.52,52.53,45.46,36.82
apparentTemperatureHighTime,1579722300,1579807680,1579892580,1579996800,1580063460,1580144580,1580228880,1580324280,1580413980,1580497620,1580584440,1580672580,1580760000,1580846820,1580935680,1581019260,1581105420,1581189180,1581278340,1581364200,1581456000,1581535560,1581630240,1581681600,1581796680,1581883200,1581967200,1582066920,1582129740,1582227000,1582314240,1582400580,1582486620,1582572660,1582658700,1582740180,1582814820,1582917720,1582995300,1583107200,1583178900,1583260740,1583351220,1583436420,1583511300,1583608740,1583697600,1583782440,1583860800,1583952180,1584043080,1584131580,1584214680,1584300360,1584384600
apparentTemperatureLow,12.33,22.7,27.62,31.8,28.99,27.29,20.6,12.19,16.74,29.83,30.57,22.59,29.6,34.08,23.6,24.99,10.67,16.44,28.64,33.23,24.7,29.07,17.74,1.64,11.89,23.44,20.82,29.65,14.82,5.48,15.9,20.91,24.63,37.18,36.75,33.82,15.83,16.25,8.6,19.7,40.43,35.18,27.71,28.44,17.74,22.29,35.44,47.46,39.57,28.35,34.44,30.58,30.87,16.69,24.77
apparentTemperatureLowTime,1579778220,1579866480,1579947480,1580043180,1580115900,1580205600,1580295240,1580383620,1580464200,1580551260,1580648400,1580723100,1580799600,1580894520,1580983980,1581057420,1581158880,1581247020,1581303840,1581426000,1581508440,1581574980,1581685200,1581756300,1581820560,1581937200,1582020000,1582074300,1582191300,1582285140,1582365660,1582452720,1582538040,1582613760,1582721400,1582793820,1582889760,1582973280,1583058840,1583148060,1583207280,1583319000,1583403180,1583488860,1583578800,1583654520,1583726880,1583839080,1583925180,1584008100,1584084540,1584183300,1584269520,1584355680,1584420720
apparentTemperatureMax,32.85,42.69,42.1,41.29,40.69,36.56,33.56,34.26,35.73,39.4,39,36.03,40.12,45.37,38.23,31.68,33.63,23.86,29.7,39.21,37.63,38.96,36.99,28.91,22.71,39.74,39.32,35.08,33.12,24.99,31.62,39.78,53.67,61.4,56.12,46.16,43.04,28.31,26.46,27.37,54.96,61.51,45.31,51.35,43.18,37.02,54.31,71.37,66.25,57.44,51.16,60.52,52.53,45.46,36.82
apparentTemperatureMaxTime,1579722300,1579807680,1579892580,1580010480,1580014800,1580144580,1580228880,1580324280,1580413980,1580497620,1580584440,1580672580,1580760000,1580846820,1580881980,1581019260,1581105420,1581189180,1581278340,1581389880,1581456000,1581535560,1581630240,1581659400,1581796680,1581883200,1581967200,1582066920,1582092960,1582227000,1582314240,1582400580,1582486620,1582572660,1582658700,1582740180,1582814820,1582917720,1582995300,1583110920,1583178900,1583260740,1583298000,1583436420,1583511300,1583608740,1583697600,1583782440,1583860800,1583899200,1584043080,1584131580,1584214680,1584300360,1584384600
