,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672,42.4672
Long,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874,-71.2874
Province/State,"Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA","Middlesex County, MA"
apparentTemperatureHigh,32,44.29,42.85,36.54,43.08,38.09,32.72,32.65,35.1,40.45,38.97,38.57,39.98,46.45,37.58,32.53,31.87,21.2,30.39,41.53,37.47,37.25,35.75,18.08,22.32,38.41,39.27,34.13,35.64,25.48,28.22,40.35,53.76,62.62,55.08,51.01,50.59,29.95,28.79,28.33,56.43,64.78,43.83,52.87,46.22,36.84,55.33,73.46,70.57,54.3,42.47,61.94,53.71,44.26,31.22
apparentTemperatureHighTime,1579726140,1579812360,1579889940,1579993560,1580058600,1580146380,1580227980,1580324280,1580415180,1580497080,1580587680,1580680680,1580746080,1580848920,1580939160,1581023100,1581098340,1581190860,1581274500,1581371820,1581431580,1581537300,1581633120,1581681600,1581797280,1581886800,1581967500,1582067460,1582126740,1582225680,1582308000,1582399680,1582489560,1582576200,1582660620,1582743480,1582815780,1582916520,1582999140,1583107200,1583182740,1583260860,1583355900,1583434920,1583508960,1583608200,1583700660,1583786400,1583863500,1583949900,1584044220,1584129780,1584214560,1584299220,1584385020
apparentTemperatureLow,11.91,23.97,29.57,33.61,29.68,29.99,21.36,11.37,18.68,27.32,31.84,23.47,26.79,35.31,21.7,25.79,10.83,11.84,26.37,31.66,26.04,28.08,14.97,-4.3,10.32,21.86,24.41,30.47,14.04,2.92,16.13,23.06,25.44,36.11,40.44,34.75,16.59,12.14,8.63,18.85,42.38,37,30.18,24.83,18.38,21.24,35.83,44.73,39.4,28.55,33.48,31.33,29.42,15.45,22.17
apparentTemperatureLowTime,1579777680,1579867200,1579944840,1580043540,1580108280,1580205480,1580291280,1580380440,1580471700,1580547900,1580643180,1580720340,1580798340,1580907600,1580983500,1581059640,1581162600,1581248280,1581292800,1581397440,1581501480,1581576300,1581685200,1581739020,1581822180,1581936720,1582008180,1582084920,1582192320,1582280580,1582349700,1582454340,1582535100,1582610340,1582711080,1582796880,1582884000,1582967160,1583060760,1583127000,1583204460,1583312820,1583399400,1583491020,1583581680,1583662680,1583724540,1583841600,1583924340,1584000240,1584089880,1584183480,1584269280,1584355800,1584407040
apparentTemperatureMax,32,44.29,42.85,44.59,44,38.09,32.72,32.65,35.1,40.45,38.97,38.57,39.98,46.45,39.16,32.53,31.87,21.2,32.08,41.53,37.47,37.25,35.75,32.1,22.32,38.41,39.27,34.13,35.64,25.48,28.22,40.35,53.76,62.62,55.08,51.01,50.59,29.95,28.79,28.45,56.43,64.78,47.03,52.87,46.22,36.84,55.33,73.46,70.57,59.68,42.47,61.94,53.71,44.26,31.22
apparentTemperatureMaxTime,1579726140,1579812360,1579889940,1580011200,1580014800,1580146380,1580227980,1580324280,1580415180,1580497080,1580587680,1580680680,1580746080,1580848920,1580881140,1581023100,1581098340,1581190860,1581297600,1581371820,1581431580,1581537300,1581633120,1581662940,1581797280,1581886800,1581967500,1582067460,1582126740,1582225680,1582308000,1582399680,1582489560,1582576200,1582660620,1582743480,1582815780,1582916520,1582999140,1583107680,1583182740,1583260860,1583303760,1583434920,1583508960,1583608200,1583700660,1583786400,1583863500,1583899200,1584044220,1584129780,1584214560,1584299220,1584385020
apparentTemperatureMin,4.85,11.91,23.97,29.57,31.05,29.68,25.85,19.53,11.37,18.68,27.32,27.55,23.47,26.79,25.18,21.7,17.02,10.83,11.84,29.96,31.66,26.04,28.08,-4.3,-3.58,13.82,21.86,24.41,20.7,12.15,2.92,16.13,23.06,25.44,36.11,36.87,18.42,16.59,11.28,8.63,18.85,43.12,33.86,30.18,24.83,18.38,21.24,36.07,44.39,36.65,28.55,33.48,31.33,25.54,15.45
apparentTemperatureMinTime,1579690800,1579777680,1579867200,1579944840,1580087160,1580108280,1580263200,1580356800,1580380440,1580471700,1580547900,1580702400,1580720340,1580798340,1580943960,1580983500,1581134400,1581162600,1581248280,1581314580,1581397440,1581501480,1581576300,1581739020,1581746280,1581835500,1581936720,1582008180,1582171200,1582257600,1582280580,1582349700,1582454340,1582535100,1582610340,1582776000,1582862400,1582884000,1583035200,1583060760,1583127000,1583235900,1583377920,1583399400,1583491020,1583581680,1583662680,1583726400,1583843580,1583982000,1584000240,1584089880,1584183480,1584327600,1584355800
cloudCover,0.07,0.14,0.36,0.99,0.67,0.74,0.97,0.37,0,0.4,0.94,0.9,0.48,0.72,0.63,0.96,0.97,0.4,0.57,0.95,0.99,0.3,1,0.42,0.02,0.7,0.09,0.72,0.48,0.23,0,0,0,0,0.87,1,0.85,0.53,0.33,0.14,0.48,0.44,0.52,0.12,0.4,0.16,0.07,0.01,0.42,0.22,0.7,0.8,0.04,0.01,0
dewPoint,8.82,13.89,24.37,35.76,31.66,26.51,21.99,10.4,4.15,17.03,30.01,24.61,24.6,28.66,23.4,28.43,28.66,9.47,13.85,35.34,33.82,21.04,31.68,7.47,-0.59,18.5,17.67,25.34,18.02,4.57,-3.18,8.99,18,20.54,35.79,37.51,28.97,5.67,7.78,6.15,23.92,39.91,26.76,20.22,24.23,3.78,10.52,19.98,35.35,30.98,27.06,39.76,21.57,8.6,9.81
humidity,0.62,0.6,0.69,0.87,0.7,0.6,0.55,0.41,0.42,0.58,0.86,0.67,0.67,0.75,0.63,0.85,0.83,0.49,0.66,0.83,0.91,0.52,0.89,0.52,0.47,0.56,0.54,0.75,0.5,0.4,0.35,0.36,0.5,0.45,0.67,0.79,0.65,0.33,0.45,0.46,0.55,0.62,0.49,0.44,0.62,0.26,0.31,0.26,0.42,0.52,0.62,0.75,0.4,0.27,0.43
icon,,clear-day,partly-cloudy-day,rain,,partly-cloudy-day,cloudy,partly-cloudy-day,clear-day,partly-cloudy-day,,cloudy,partly-cloudy-day,partly-cloudy-day,rain,snow,rain,,partly-cloudy-day,rain,rain,clear-day,rain,partly-cloudy-day,snow,partly-cloudy-day,clear-day,rain,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,rain,rain,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,rain,clear-day,clear-day,clear-day
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
ozone,341.8,327,337.9,357.5,401.2,379.1,377.8,357.4,357.4,369.8,364.5,408.8,370.8,308.8,341.5,328.9,331.8,382.1,350.9,356.7,321.5,332,305.2,372.3,334.8,333.5,360.7,345.3,349.5,394.4,397.8,365.2,343.8,335.2,315.6,305.1,352.3,410.1,455.7,407.5,360.3,389.8,405.7,366.2,370.7,413.1,367.1,348,348.3,384.5,379.6,343.2,317.8,336.3,369
precipAccumulation,,0,,,,,,,,,,,,,,1.32,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
precipIntensity,0,0.0001,0,0.0133,0,0,0,0,0,0,0,0,0,0,0.001,0.0096,0.0097,0,0,0.0045,0.002,0,0.0123,0,0.0001,0,0,0.0091,0,0,0,0,0,0,0.0018,0.0006,0.0188,0,0,0,0,0.0013,0.0008,0,0,0,0,0,0,0,0,0.0093,0,0.0002,0.0003
precipIntensityMax,0.0005,0.0013,0,0.1124,0.0003,0,0,0,0,0,0.0005,0,0,0.0007,0.0083,0.0424,0.0522,0.0008,0.0001,0.0344,0.0265,0,0.0636,0,0.0015,0.0002,0,0.0552,0.0001,0.0002,0,0,0,0,0.0294,0.0105,0.1044,0,0,0,0,0.0234,0.0097,0,0.0002,0,0,0,0.0001,0,0,0.0664,0,0.0019,0.0018
precipIntensityMaxTime,1579714020,1579795200,,1580004480,1580014800,,,,,,1580533260,,,1580853600,1580889840,1580980080,1581094560,1581138000,1581276900,1581353100,1581454620,,1581587820,,1581793200,1581874020,,1582073700,1582088400,1582239600,,,,,1582686420,1582693200,1582797600,,,,,1583283540,1583307420,,1583535180,,,,1583892600,,,1584086700,,1584291660,1584366960
precipProbability,0.93,0.07,0,1,0.26,0,0,0,0,0,0.96,0,0,0.16,1,1,1,0.94,0.14,1,0.99,0,1,0,0.93,0.08,0,1,0.19,0.14,0,0,0,0,0.99,0.99,1,0,0,0,0,0.98,0.98,0,0.22,0,0,0,0.15,0,0,1,0,0.02,0.03
precipType,,snow,,rain,,,,,,,,,,,rain,snow,rain,,,rain,rain,,rain,,snow,,,rain,,,,,,,rain,rain,rain,,,,,rain,rain,,,,,,,,,rain,,rain,snow
pressure,1031.1,1028.8,1030.4,1021.5,1006,1003.5,1008.1,1017.2,1027.5,1026.9,1014.3,1000.8,1008.3,1010.9,1016.4,1008.2,988.8,1018.7,1034.8,1021.7,1014.8,1018.6,1007.5,1023.9,1035.1,1021.6,1024.5,1026.8,1020.1,1030.1,1031.1,1022.1,1020.6,1016.9,1013.6,1015.5,998.2,1007.8,1010.4,1018.7,1016.6,1004.7,1002.1,1016.8,1016.3,1019.9,1027.1,1023.6,1016.2,1018.2,1023.8,1014,1021.8,1030.8,1037.6
