,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945,45.6945
Long,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002,-93.9002
Province/State,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota
apparentTemperatureHigh,28.58,25.57,21.79,22.17,26.98,18.18,20.48,21.08,13.75,24.33,26.28,29.82,17.41,8.99,16.54,21.75,9.41,5.18,13.47,15.95,14.92,19.99,-15.7,-3.55,21.69,11.83,29.91,0.18,-4.62,0.33,25.87,29.86,30.08,31.77,27.04,15.73,11.1,14.31,28.34,32.55,22.34,27.79,29.39,26.2,26.72,38.7,50.21,25.96,30.83,30.8,31.87,20.02,25.03,30.35,29.93
apparentTemperatureHighTime,1579722480,1579784400,1579896180,1579981800,1580068440,1580153820,1580241240,1580327880,1580429160,1580499840,1580587260,1580648400,1580734800,1580850900,1580935860,1581037200,1581105720,1581198720,1581277800,1581372120,1581452280,1581512520,1581628440,1581717600,1581795720,1581883200,1581962880,1582048860,1582144980,1582233060,1582315200,1582402800,1582482600,1582573560,1582660200,1582749960,1582841220,1582919880,1583013360,1583089800,1583179740,1583264400,1583358480,1583413200,1583524800,1583611080,1583697480,1583784060,1583877480,1583964000,1584036480,1584129360,1584222540,1584309360,1584387540
apparentTemperatureLow,24.5,14.43,13.98,14.15,11.98,1.1,10.99,5.11,13.61,9.19,21.11,16.19,-11.88,-9.98,-3.88,5.53,-19.52,-1.24,-4.57,5.16,6.44,-38.36,-31.26,-5.8,-5.83,2.62,-6.08,-21.38,-26.18,-8.26,0.83,9.33,9.01,8.06,-2.53,-0.81,-1.86,-3.22,17.27,12.71,17.22,7.48,24.12,9.69,15.79,26.17,16.14,10.37,20.34,28.73,10,6.37,7,22.55,12.36
apparentTemperatureLowTime,1579788000,1579874100,1579960800,1580025960,1580133120,1580218980,1580305800,1580392620,1580432400,1580565120,1580608380,1580738400,1580824140,1580890500,1580996100,1581072900,1581166800,1581224040,1581310620,1581429600,1581481800,1581601140,1581675780,1581739980,1581858960,1581903720,1582034160,1582117320,1582196520,1582257480,1582375680,1582452000,1582541700,1582628280,1582722720,1582801320,1582888800,1582963140,1583070180,1583157300,1583210640,1583320200,1583378640,1583493240,1583555700,1583672400,1583757960,1583837100,1583931600,1584007260,1584103860,1584181980,1584270240,1584350220,1584443040
apparentTemperatureMax,28.58,28.05,21.79,22.17,26.98,18.18,20.48,21.08,14.83,24.33,26.28,30.87,19.59,8.99,16.54,21.89,19.04,5.18,13.47,15.95,14.92,19.99,-15.7,-3.55,21.69,11.83,29.91,5.68,-4.62,0.33,25.87,29.86,30.08,31.77,27.04,15.73,12.55,14.31,28.34,32.55,22.34,27.79,29.39,28.4,26.72,38.7,50.21,28.87,30.83,30.8,31.87,20.02,25.03,30.35,29.93
apparentTemperatureMaxTime,1579722480,1579759440,1579896180,1579981800,1580068440,1580153820,1580241240,1580327880,1580446800,1580499840,1580587260,1580644740,1580709600,1580850900,1580935860,1581037980,1581055200,1581198720,1581277800,1581372120,1581452280,1581512520,1581628440,1581717600,1581795720,1581883200,1581962880,1582005600,1582144980,1582233060,1582315200,1582402800,1582482600,1582573560,1582660200,1582749960,1582866000,1582919880,1583013360,1583089800,1583179740,1583264400,1583358480,1583398860,1583524800,1583611080,1583697480,1583730000,1583877480,1583964000,1584036480,1584129360,1584222540,1584309360,1584387540
