,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561,38.4561
Long,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884,-92.2884
Province/State,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri
apparentTemperatureHigh,28.77,33.26,28.5,31.56,42.92,38.05,28.58,28.2,36.61,40.05,41.13,67.36,72.33,32.42,24.7,26.7,34.86,37.49,54.44,33.72,40.08,31.74,5.15,25.39,43.98,52.89,51.58,37.91,41.06,25.41,38.31,53.58,61.15,39.74,32.49,29.99,40.79,43.55,56.55,65.69,51.9,60.5,59.2,59.41,52.86,64.36,70.6,58.57,51.41,64.11,67.45,46.43,36.48,38.14,46.19
apparentTemperatureHighTime,1579718880,1579807920,1579894380,1579996140,1580068500,1580154120,1580241840,1580327460,1580415120,1580500680,1580593500,1580675940,1580759640,1580830800,1580926680,1581019380,1581105240,1581198840,1581273720,1581364920,1581451020,1581545760,1581624000,1581716640,1581796500,1581883980,1581979320,1582056720,1582142760,1582229100,1582316280,1582401660,1582487940,1582572060,1582659660,1582747020,1582834020,1582920240,1583012700,1583089260,1583179260,1583265900,1583351460,1583435340,1583525580,1583611380,1583697720,1583794920,1583876820,1583963460,1584043800,1584129600,1584215280,1584302700,1584395400
apparentTemperatureLow,25.57,26.47,22.55,27.49,25.29,24.18,21.65,25.25,29.5,24.6,32.72,39.66,29.88,21.98,16.51,12.95,14.58,24.1,21.23,26.53,27.61,-4.48,-3.52,15.03,27.39,34.31,25.89,20.15,12.6,14.29,15.74,31.82,37.37,27.91,22.66,18.05,20.29,23.29,37.53,34.55,32.37,34.21,30.3,25.62,24.85,34.03,50,30.44,36.41,40.42,33.97,28.69,27.52,29.36,36.75
apparentTemperatureLowTime,1579741200,1579872900,1579960800,1580025300,1580103840,1580219940,1580291340,1580356080,1580440680,1580552940,1580614620,1580716740,1580824020,1580911200,1580982720,1581069180,1581156240,1581219720,1581332820,1581418440,1581502800,1581602400,1581669900,1581751620,1581851160,1581914940,1582034100,1582116180,1582206900,1582293360,1582365600,1582444680,1582552800,1582638540,1582715160,1582804260,1582888380,1582981200,1583056500,1583157480,1583236320,1583305860,1583402400,1583492580,1583575440,1583664840,1583751840,1583837940,1583913540,1584007020,1584097440,1584190800,1584269940,1584348240,1584442140
apparentTemperatureMax,28.77,33.38,33.6,31.56,42.92,38.05,28.58,28.35,36.61,40.05,41.13,67.36,72.33,39.53,24.7,26.7,34.86,37.49,54.44,33.72,40.08,32.17,26.9,25.39,43.98,52.89,51.58,37.91,41.06,25.41,38.31,53.58,61.15,42.4,34.99,29.99,40.79,43.55,56.55,65.69,52.93,60.5,59.2,59.41,52.86,64.36,70.6,58.82,51.41,64.11,67.45,46.43,40.5,38.14,46.19
apparentTemperatureMaxTime,1579718880,1579831980,1579845960,1579996140,1580068500,1580154120,1580241840,1580360400,1580415120,1580500680,1580593500,1580675940,1580759640,1580796000,1580926680,1581019380,1581105240,1581198840,1581273720,1581364920,1581451020,1581487200,1581573600,1581716640,1581796500,1581883980,1581979320,1582056720,1582142760,1582229100,1582316280,1582401660,1582487940,1582524000,1582610400,1582747020,1582834020,1582920240,1583012700,1583089260,1583128800,1583265900,1583351460,1583435340,1583525580,1583611380,1583697720,1583730000,1583876820,1583963460,1584043800,1584129600,1584162000,1584302700,1584395400
apparentTemperatureMin,16.71,27.12,25.23,22.53,25.85,25.47,24.18,21.65,27.45,30.42,24.6,35.3,39.66,23.38,20.83,16.51,12.95,14.58,26.75,21.23,26.53,26.97,-4.55,-3.52,15.03,27.39,36.19,25.89,20.15,12.6,14.29,15.74,31.82,35.4,27.51,22.66,18.05,20.29,23.29,37.53,34.55,32.37,34.21,30.3,25.62,24.85,34.03,50,30.44,36.41,40.42,33.97,28.11,27.52,29.36
apparentTemperatureMinTime,1579678920,1579759200,1579928400,1579961340,1580101200,1580104800,1580219940,1580291340,1580400240,1580473560,1580552940,1580640360,1580716740,1580878560,1580965200,1580982720,1581069180,1581156240,1581228000,1581332820,1581418440,1581565560,1581602940,1581669900,1581751620,1581851160,1581919200,1582034100,1582116180,1582206900,1582293360,1582365600,1582444680,1582606800,1582693200,1582715160,1582804260,1582888380,1582981200,1583056500,1583157480,1583236320,1583305860,1583402400,1583492580,1583575440,1583664840,1583751840,1583837940,1583913540,1584007020,1584097440,1584193740,1584269940,1584348240
cloudCover,0.93,1,0.99,0.77,0.42,0.85,0.99,0.95,0.86,0.91,0.52,0.1,0.7,0.93,0.96,0.74,0.4,0.2,0.87,0.92,0.73,0.95,0.37,0.02,0.6,0.41,0.87,0.6,0.22,0.36,0,0.48,0.52,1,0.98,0.7,0.31,0.23,0.03,0.47,0.74,0.04,0.54,0.22,0.03,0.11,0.23,0.97,0.71,0.34,0.53,0.71,0.98,0.99,0.98
dewPoint,21.67,30.66,30.57,24.46,26.54,26.84,24.79,24.95,26.26,33,28.43,34.2,38.5,29.65,23.62,20.95,22.06,19.36,37.7,24.92,26.56,28.22,4.55,0.24,22.33,29.82,42.97,27.63,22.2,11.62,6.08,18.39,35.22,41.34,33.95,26.91,23.6,29.89,28.87,45.28,38.28,30.28,32.64,28.35,23.2,23.57,27.72,48.86,35.11,43.01,51.09,29.46,34.17,29.89,34.73
