,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219,46.9219
Long,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544,-110.4544
Province/State,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana
apparentTemperatureHigh,19.1,30.44,36.09,27.49,35.67,23.74,29.4,27.93,23.37,32.96,40.34,13.34,21.32,8.74,16.7,19.05,23.65,20.62,12.15,10.17,16.37,16.56,28.01,13.92,16.06,19.84,17.38,9.06,17.01,24.75,30,28.1,30.65,13.44,19.97,28.02,28.35,38.46,23.95,22.57,21.29,27.65,22.76,37.29,52.84,50.31,29.22,28.36,26.86,27.37,17.78,9.46,13.17,14.91,30.79
apparentTemperatureHighTime,1579722600,1579809480,1579895460,1579982100,1580068560,1580154960,1580241120,1580327520,1580414280,1580522400,1580586840,1580652000,1580756220,1580846580,1580952660,1581007080,1581120000,1581170400,1581278280,1581364200,1581450480,1581534540,1581630360,1581688800,1581806040,1581882180,1581968340,1582055220,1582142460,1582228860,1582314660,1582401600,1582486800,1582573680,1582660380,1582746540,1582833240,1582920240,1582995540,1583099700,1583177580,1583265660,1583337240,1583438820,1583523900,1583610960,1583711520,1583783160,1583877360,1583946240,1584042180,1584129240,1584205200,1584320400,1584396120
apparentTemperatureLow,14.21,24.7,16.5,18.09,18.11,12,16.64,12.81,17.42,29.26,13.2,2.61,-5.73,2.44,14.71,10.78,13.79,-4.4,3.42,-0.02,1.23,3.97,13.05,6.14,12.11,4.99,-0.46,-6.73,2.5,13.04,16.15,14.97,7.17,1.72,9.42,12.71,20.54,23.28,7.99,7.52,15.33,20,8.74,30.3,32.2,16.23,18.92,10.9,22.27,5.35,4.57,3.8,-3.28,3.81,11.97
apparentTemperatureLowTime,1579754820,1579877940,1579964340,1580026260,1580137200,1580202240,1580310000,1580396400,1580440740,1580565660,1580655600,1580740980,1580826780,1580896560,1580958540,1581066000,1581131220,1581256800,1581346800,1581392400,1581518880,1581595800,1581692400,1581759180,1581837540,1581951600,1582037340,1582120200,1582188960,1582293000,1582379940,1582455600,1582538520,1582640820,1582688100,1582811520,1582884060,1582987020,1583074560,1583136000,1583216100,1583329320,1583398620,1583491560,1583572560,1583675940,1583762400,1583848200,1583913420,1584015720,1584090780,1584152280,1584252960,1584359400,1584424800
apparentTemperatureMax,22.03,30.44,36.09,27.49,35.67,23.74,29.4,27.93,23.37,32.96,40.34,22.75,21.32,8.74,17.31,19.05,23.65,23.06,12.15,10.17,16.37,16.56,28.01,18.28,16.06,19.84,17.38,9.06,17.01,24.75,30,28.1,30.65,13.57,19.97,28.02,28.35,38.46,26.44,22.57,21.29,27.65,22.76,37.29,52.84,50.31,29.22,28.36,26.86,27.37,17.78,15.92,13.17,15.09,30.79
apparentTemperatureMaxTime,1579676400,1579809480,1579895460,1579982100,1580068560,1580154960,1580241120,1580327520,1580414280,1580522520,1580586840,1580626800,1580756220,1580846580,1580968800,1581007080,1581120000,1581159780,1581278280,1581364200,1581450480,1581534540,1581630360,1581663600,1581806040,1581882180,1581968340,1582055220,1582142460,1582228860,1582314660,1582401600,1582486800,1582610220,1582660380,1582746540,1582833240,1582920240,1582959600,1583099700,1583177580,1583265660,1583337240,1583438820,1583523900,1583610960,1583711520,1583783160,1583877360,1583946240,1584042180,1584079200,1584205200,1584321180,1584396120
