,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229,40.229
Long,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879,-75.3879
Province/State,"Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA","Montgomery County, PA"
apparentTemperatureHigh,40.23,47.89,53.26,44.91,41.24,39.62,37.01,37.93,38.48,45.77,44.05,36.25,59.87,60.98,40.72,42.26,56.32,35.72,43.92,41.28,47.08,44.53,42.39,25.82,26.89,46.21,52.48,57.53,43.6,33.58,31.93,51.07,57.11,61.99,45.73,52.01,31.08,33.47,24.54,40.22,63.14,57.56,56.08,54.14,39.96,41.86,60.12,72.16,66.3,56.9,56.57,68.51,57.56,54.2,44.99
apparentTemperatureHighTime,1579722840,1579802820,1579894560,1579980360,1580067420,1580153760,1580240400,1580327640,1580413920,1580500380,1580586900,1580658540,1580759940,1580847060,1580930100,1581018720,1581087420,1581191460,1581277680,1581379200,1581451080,1581536640,1581623460,1581681600,1581796260,1581885600,1581969360,1582055880,1582139640,1582228500,1582315260,1582401660,1582487520,1582571460,1582646700,1582745880,1582831800,1582920180,1583006340,1583093100,1583178180,1583255220,1583353680,1583438160,1583511900,1583611140,1583697600,1583783520,1583870820,1583956500,1584043260,1584127080,1584215640,1584302760,1584383400
apparentTemperatureLow,19.46,28.67,31.55,28.29,28.39,29.81,26.61,16.62,25.33,31.91,27.33,29.84,39.14,32.38,29.82,37.31,22.09,28.6,33.45,41.28,30.62,31.98,23.88,7.77,17.57,28.1,28.96,33.81,24.3,11.52,16.25,22.16,27.24,41.78,42.92,27.58,18.47,17.41,18.07,24.12,42.76,36.41,31.34,28.53,25.29,21.95,33.44,44.69,36.52,36.63,42.31,35.17,37.94,25.45,35.93
apparentTemperatureLowTime,1579777560,1579860000,1579938540,1580035560,1580115840,1580206740,1580294760,1580383080,1580451660,1580554020,1580641020,1580717580,1580802600,1580907600,1580966640,1581040680,1581154740,1581249000,1581309720,1581379200,1581507540,1581564480,1581685200,1581756240,1581824160,1581939180,1582012980,1582116900,1582195560,1582279560,1582365660,1582447980,1582544760,1582625220,1582722000,1582808400,1582886100,1582973940,1583059080,1583145480,1583235900,1583319720,1583405940,1583489340,1583584800,1583661420,1583749440,1583833920,1583925600,1583999640,1584068640,1584183120,1584270420,1584356220,1584413880
apparentTemperatureMax,40.23,47.89,53.26,44.91,41.24,39.62,37.01,37.93,38.48,45.77,44.05,36.25,59.87,60.98,51.38,42.26,56.32,35.72,43.92,42.94,47.08,44.53,42.39,32.23,26.89,46.21,52.48,57.53,43.6,33.58,31.93,51.07,57.11,61.99,45.73,52.01,39.62,33.47,24.54,40.22,63.14,57.56,56.08,54.14,39.96,41.86,60.12,72.16,66.3,56.9,56.57,68.51,57.56,54.2,44.99
apparentTemperatureMaxTime,1579722840,1579802820,1579894560,1579980360,1580067420,1580153760,1580240400,1580327640,1580413920,1580500380,1580586900,1580658540,1580759940,1580847060,1580881200,1581018720,1581087420,1581191460,1581277680,1581384660,1581451080,1581536640,1581623460,1581659760,1581796260,1581885600,1581969360,1582055880,1582139640,1582228500,1582315260,1582401660,1582487520,1582571460,1582646700,1582745880,1582783320,1582920180,1583006340,1583093100,1583178180,1583255220,1583353680,1583438160,1583511900,1583611140,1583697600,1583783520,1583870820,1583956500,1584043260,1584127080,1584215640,1584302760,1584383400
