,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546,40.6546
Long,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594,-73.5594
Province/State,"Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY","Nassau County, NY"
apparentTemperatureHigh,35.47,44.1,47.01,44.3,41.12,38.73,37.16,33.14,37.03,40.81,41.36,38.98,51.22,50.72,38.03,39.86,52.21,34.39,40.78,40.95,43.91,42,41.84,25.9,22.99,40.46,47.72,42.8,41.87,30.94,27.88,42.55,51.31,53.11,47.24,43.07,35.01,32.26,26.39,36.73,51.62,52.02,53.01,46.63,41.86,38.9,53.19,60.85,58.37,52.3,43,63.52,53.1,50.14,39.52
apparentTemperatureHighTime,1579730520,1579810020,1579890780,1579991940,1580066940,1580158620,1580234940,1580329620,1580413680,1580497260,1580580540,1580672400,1580761320,1580852040,1580928180,1581007860,1581097440,1581192180,1581276060,1581355800,1581451260,1581530580,1581617040,1581681600,1581781980,1581887340,1581968760,1582058100,1582138140,1582227420,1582322100,1582405320,1582486320,1582569720,1582657680,1582743240,1582804800,1582934400,1583001480,1583107200,1583174040,1583249820,1583352240,1583437680,1583511900,1583613780,1583697300,1583781120,1583867880,1583957040,1584032700,1584131580,1584215940,1584302340,1584383280
apparentTemperatureLow,24.8,30.98,31.73,31.34,28.99,28.33,24.6,18.33,29.45,32.71,30.33,31.16,38.23,32.57,31.04,33.62,20.15,26.84,34.32,39.75,30.1,33.43,24.55,7.44,21.82,30.86,29.68,35.21,21.25,10.26,21.92,28.57,33.36,38.8,41.09,33.12,17.75,20.22,13.76,30.99,41.42,37.05,32.59,32.85,25.92,26.74,37.9,41.14,39.06,36.11,39.09,36.84,36.92,24.9,34.58
apparentTemperatureLowTime,1579776180,1579868100,1579945920,1580036100,1580121300,1580207880,1580295540,1580385180,1580432640,1580546640,1580644260,1580688120,1580801880,1580899080,1580969700,1581036000,1581152760,1581249540,1581310740,1581379200,1581507540,1581569040,1581685200,1581756180,1581822240,1581937380,1582006980,1582116660,1582196280,1582279620,1582365960,1582451760,1582540620,1582613640,1582717500,1582808400,1582889880,1582973280,1583042580,1583139480,1583230560,1583319240,1583406480,1583491680,1583586000,1583661240,1583749740,1583835060,1583924400,1584010020,1584064920,1584183420,1584269460,1584357420,1584418800
apparentTemperatureMax,35.47,44.1,47.01,44.3,41.12,38.73,37.16,33.14,37.03,40.81,41.36,38.98,51.22,50.72,44.21,39.86,52.21,34.44,40.78,40.95,43.91,42,41.84,32.69,22.99,40.46,47.72,42.8,41.87,30.94,27.88,42.55,51.31,53.11,47.24,43.07,40.5,32.26,26.39,36.75,51.62,52.02,53.01,46.63,41.86,38.9,53.19,60.85,58.37,52.97,43.18,63.52,53.1,50.14,39.52
apparentTemperatureMaxTime,1579730520,1579810020,1579890780,1579991940,1580066940,1580158620,1580234940,1580329620,1580413680,1580497260,1580580540,1580672400,1580761320,1580852040,1580878800,1581007860,1581097440,1581209880,1581276060,1581355800,1581451260,1581530580,1581617040,1581661080,1581781980,1581887340,1581968760,1582058100,1582138140,1582227420,1582322100,1582405320,1582486320,1582569720,1582657680,1582743240,1582795860,1582934820,1583001480,1583108340,1583174040,1583249820,1583352240,1583437680,1583511900,1583613780,1583697300,1583781120,1583867880,1583899200,1583985600,1584131580,1584215940,1584302340,1584383280
apparentTemperatureMin,19.36,24.8,30.98,31.73,31.34,28.99,28.33,23.19,18.33,30.18,32.71,30.33,32.41,38.23,32.57,31.04,24.37,20.15,26.84,34.32,37.83,30.1,32.25,9.31,7.44,21.93,30.86,29.68,27.54,19.26,10.26,21.92,28.57,33.36,38.8,35.8,21.07,17.75,15.44,13.76,30.99,41.42,37.05,32.59,29.85,25.87,26.74,37.9,41.14,39.06,36.11,39.16,36.84,36.92,24.9
apparentTemperatureMinTime,1579690740,1579776180,1579868100,1579945920,1580036100,1580121300,1580207880,1580356800,1580385180,1580446800,1580546640,1580644260,1580726580,1580801880,1580899080,1580969700,1581134400,1581152760,1581249540,1581310800,1581480000,1581507540,1581652800,1581739200,1581756180,1581829200,1581937380,1582006980,1582171200,1582257600,1582279620,1582365960,1582451760,1582540620,1582613640,1582776000,1582862400,1582889880,1583035200,1583042580,1583139480,1583230560,1583319240,1583406480,1583553600,1583587800,1583661240,1583749740,1583835060,1583924400,1584010020,1584073200,1584183420,1584269460,1584357420
cloudCover,0.03,0.62,0.4,0.82,0.15,0.28,0.27,0.16,0.31,0.78,0.87,0.75,0.33,0.82,0.97,1,0.77,0.11,0.32,0.89,0.91,0.67,0.94,0.13,0.13,0.53,0.29,0.83,0.38,0.49,0.03,0.01,0,0.26,0.92,0.93,0.45,0.27,0.23,0.04,0.29,0.69,0.12,0.21,0.72,0.4,0.06,0.13,0.47,0.47,0.59,0.69,0.26,0.35,0.3
dewPoint,15.97,23.5,29.21,39.43,33.31,30.76,27.74,19.31,18.52,30.7,34.81,32.86,35.85,40.18,28.5,36.25,35.97,20.41,30.11,38.01,40.46,27.04,35.39,15.01,7.6,26.7,29.11,35.54,26.49,13.35,6.73,15.48,24.22,34.28,40.81,41.04,28.5,16.18,11.51,16.04,34.17,42.96,33.83,28.98,34.19,18.89,22.52,32.87,42.26,33.79,36.58,42.42,26.92,26.18,23.51
humidity,0.55,0.61,0.65,0.85,0.73,0.69,0.64,0.53,0.58,0.73,0.85,0.8,0.75,0.82,0.63,0.85,0.79,0.53,0.71,0.81,0.88,0.57,0.82,0.51,0.5,0.65,0.63,0.77,0.55,0.45,0.41,0.4,0.5,0.68,0.85,0.86,0.63,0.45,0.42,0.48,0.66,0.82,0.58,0.57,0.75,0.47,0.44,0.51,0.7,0.58,0.76,0.72,0.44,0.48,0.53
icon,clear-day,partly-cloudy-day,partly-cloudy-day,rain,clear-day,rain,clear-day,clear-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,rain,rain,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,clear-day,rain,rain,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,rain,rain,clear-day,rain,rain,clear-day,clear-day,rain,partly-cloudy-day,rain,rain,clear-day,partly-cloudy-day,clear-day
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
ozone,339.2,320.7,330.1,355.4,380.3,368.1,373.3,357.9,357.6,357.3,357.6,397.2,346.2,297.9,325.2,319.5,327.5,371.6,343.6,330.5,308.6,302.5,294.5,349.5,330.9,333.3,346.6,327.6,328.5,351.8,432.3,359.1,342.8,333.6,302.7,296.4,354.9,397,434.8,386.2,351.8,380.5,370.6,346.5,376.7,404,351.5,342.4,344.5,383.1,365.6,340.8,313.6,327.9,362.3
precipAccumulation,0.09,0.09,,,,,,0.07,0.12,,,,,,,,,0.09,,,,,,,0.28,0.05,,,,0.19,0.21,0.05,,,,,,0.02,0.13,0.05,,,,,,,,,,,,,,,
