,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254,41.1254
Long,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681,-98.2681
Province/State,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
apparentTemperatureHigh,34.43,25.78,27.76,29.75,38.38,28.36,32.09,37.37,31.73,31.28,44.01,56.63,23.02,17.87,26.66,34.9,21.64,35.46,23.49,37.32,35.98,35.27,19.46,25.33,45.03,52.8,40.2,38.67,12.88,27.81,42.11,59.08,55.41,45.82,27.84,30.44,34.63,54.76,62.24,56.73,52.03,61.46,63.41,53.41,58.88,70.2,72.84,33.9,43.77,68.1,54.02,41.34,27.88,28.02,40.35
apparentTemperatureHighTime,1579735260,1579792200,1579914000,1579991880,1580068500,1580155020,1580253540,1580326140,1580414580,1580518620,1580587980,1580673900,1580758020,1580846880,1580940060,1581025020,1581111780,1581192240,1581285540,1581366060,1581452040,1581531300,1581631200,1581717180,1581797400,1581883380,1581969000,1582056360,1582140180,1582235640,1582320660,1582403340,1582488780,1582580520,1582661100,1582747680,1582846440,1582920180,1583013300,1583092860,1583185200,1583272440,1583352120,1583437860,1583531460,1583618340,1583704560,1583794860,1583877240,1583963760,1584042660,1584129480,1584215040,1584302460,1584388680
apparentTemperatureLow,25.04,13.3,14.83,21.93,17.87,24.4,26.16,24.03,21.31,19.41,27.34,15.73,6.44,14.57,8.75,12.1,13.5,17.23,13.13,14.22,17.98,-17.86,-2.81,15.49,22.22,29.23,15.31,8.48,-6.95,7.86,19.76,22.98,21.33,19.14,10.54,18.8,22.03,23.42,29.58,24.84,24.74,24.97,29.73,22.82,32.05,38.27,23.19,24.92,28.22,40.19,24.25,22.63,21.94,24.26,29.48
apparentTemperatureLowTime,1579778820,1579873320,1579938900,1580024340,1580122140,1580181060,1580305380,1580381640,1580479080,1580538720,1580651160,1580738400,1580824440,1580909040,1580996100,1581084000,1581162420,1581256800,1581337800,1581425400,1581514020,1581595440,1581687720,1581771000,1581860160,1581946980,1582023840,1582117560,1582201680,1582280940,1582373820,1582452000,1582548960,1582630920,1582715160,1582797180,1582887360,1582973160,1583056440,1583153940,1583229600,1583319600,1583410320,1583499960,1583575860,1583664900,1583758800,1583833260,1583921340,1584018000,1584095760,1584190800,1584272280,1584331560,1584431340
apparentTemperatureMax,34.43,28.61,27.8,29.75,38.38,28.36,32.09,37.37,31.73,31.28,44.01,56.63,24.3,17.87,26.66,34.9,23.35,35.46,27.85,37.32,35.98,35.27,19.46,25.33,45.03,52.8,40.2,38.67,17.12,27.81,42.11,59.08,55.41,45.82,27.84,30.44,34.63,54.76,62.24,56.73,52.03,61.46,63.41,53.41,58.88,70.2,72.84,45.06,43.77,68.1,55.48,41.34,27.88,28.02,40.35
apparentTemperatureMaxTime,1579735260,1579759200,1579914360,1579991880,1580068500,1580155020,1580253540,1580326140,1580414580,1580518620,1580587980,1580673900,1580709600,1580846880,1580940060,1581025020,1581055200,1581192240,1581232740,1581366060,1581452040,1581531300,1581631200,1581717180,1581797400,1581883380,1581969000,1582056360,1582092000,1582235640,1582320660,1582403340,1582488780,1582580520,1582661100,1582747680,1582846440,1582920180,1583013300,1583092860,1583185200,1583272440,1583352120,1583437860,1583531460,1583618340,1583704560,1583730000,1583877240,1583963760,1583990280,1584129480,1584215040,1584302460,1584388680
