,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405,34.8405
Long,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485,-106.2485
Province/State,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico
apparentTemperatureHigh,34.66,40.22,45.51,43.89,50.69,38.35,40.41,47.49,36.51,37.64,52.47,58.69,55.84,22.52,13.23,30.11,52.48,59.11,54.61,43.06,16.61,30.57,36.23,40.57,50.03,58.18,56.69,50.04,54.33,31.83,50.44,50.95,36.05,43.06,26.31,35.58,53.6,58.78,59.16,55.39,53.05,53.65,57.76,61.05,61.61,63.86,52.83,59.08,61.58,62.07,61.19,56.59,56.44,62.46,65.33
apparentTemperatureHighTime,1579723200,1579809360,1579895760,1579982220,1580068860,1580154780,1580248080,1580334960,1580413980,1580508300,1580587740,1580673780,1580769000,1580824800,1580932380,1581034800,1581106200,1581198660,1581277800,1581374700,1581472800,1581544320,1581630780,1581710580,1581796740,1581893160,1581969600,1582063140,1582148640,1582235460,1582321980,1582401420,1582494540,1582574460,1582674900,1582754100,1582842840,1582926480,1583013120,1583092680,1583179200,1583264940,1583359080,1583445000,1583531520,1583617680,1583687640,1583793060,1583870400,1583962860,1584043080,1584129960,1584223080,1584308940,1584395340
apparentTemperatureLow,23.68,23.18,23.62,22.95,25.79,19.07,20.33,20.56,21.39,19.02,22.81,27.68,20.42,2.36,2.03,24.74,26.31,30.23,29.75,7.39,11.27,12.36,17.85,22.78,23.58,29.7,27.07,25.69,15.64,17.15,28.21,32.19,22.62,13.19,8.88,17.6,23.51,27.76,29.38,27.03,25.74,25.29,27.61,25.65,31.1,40.88,28.2,33.53,41.1,39.64,39.51,28.78,33.83,33.8,37.1
apparentTemperatureLowTime,1579787640,1579874100,1579960140,1580045880,1580133120,1580220480,1580305080,1580384100,1580457720,1580564340,1580650860,1580737740,1580828400,1580912100,1580979780,1581072600,1581169620,1581256080,1581319620,1581433200,1581508140,1581595020,1581687960,1581774060,1581853380,1581946740,1582035300,1582120560,1582208220,1582271820,1582366800,1582470000,1582541700,1582639320,1582712880,1582796880,1582890300,1582973880,1583060280,1583147100,1583233740,1583319120,1583407080,1583501100,1583576580,1583664960,1583753040,1583837820,1583934420,1584014400,1584108000,1584187020,1584267000,1584356340,1584442740
apparentTemperatureMax,34.66,40.22,45.51,43.89,50.69,38.35,40.41,47.49,36.51,37.64,52.47,58.69,55.84,29.15,13.23,30.11,52.48,59.11,54.61,43.06,21.69,30.57,36.23,40.57,50.03,58.18,56.69,50.04,54.33,31.83,50.44,50.95,36.05,43.06,26.31,35.58,53.6,58.78,59.16,55.39,53.05,53.65,57.76,61.05,61.61,63.86,52.83,59.08,61.58,62.07,61.19,56.59,56.44,62.46,65.33
apparentTemperatureMaxTime,1579723200,1579809360,1579895760,1579982220,1580068860,1580154780,1580248080,1580334960,1580413980,1580508300,1580587740,1580673780,1580769000,1580799600,1580932380,1581034800,1581106200,1581198660,1581277800,1581374700,1581404400,1581544320,1581630780,1581710580,1581796740,1581893160,1581969600,1582063140,1582148640,1582235460,1582321980,1582401420,1582494540,1582574460,1582674900,1582754100,1582842840,1582926480,1583013120,1583092680,1583179200,1583264940,1583359080,1583445000,1583531520,1583617680,1583687640,1583793060,1583870400,1583962860,1584043080,1584129960,1584223080,1584308940,1584395340
apparentTemperatureMin,25.19,23.68,23.18,23.62,22.95,20.77,19.07,20.33,20.56,21.39,19.02,22.81,27.68,6.63,2.36,2.03,24.74,26.31,30.23,27.13,7.03,11.27,12.36,17.85,22.78,23.58,29.7,26.69,25.69,15.64,17.15,28.21,25.24,22.62,10.18,8.88,17.6,23.51,27.76,29.38,27.03,25.74,25.29,27.61,25.65,31.1,33.94,28.2,33.53,41.1,39.64,35.61,28.78,33.83,33.8
apparentTemperatureMinTime,1579759200,1579787640,1579874100,1579960140,1580045880,1580191200,1580220480,1580305080,1580384100,1580457720,1580564340,1580650860,1580737740,1580879220,1580912100,1580979780,1581072600,1581169620,1581256080,1581400800,1581436380,1581508140,1581595020,1581687960,1581774060,1581853380,1581946740,1582089600,1582120560,1582208220,1582271820,1582366800,1582521000,1582541700,1582696800,1582712880,1582796880,1582890300,1582973880,1583060280,1583147100,1583233740,1583319120,1583407080,1583501100,1583576580,1583730000,1583753040,1583837820,1583934420,1584014400,1584162000,1584187020,1584267000,1584356340
cloudCover,0.35,0.16,0.12,0.06,0.18,0.29,0.02,0.2,0.12,0.19,0.03,0.15,0.12,0.76,0.2,0.15,0.08,0,0.42,0.69,0.93,0.32,0.05,0.14,0.08,0.03,0.09,0.36,0.45,0.53,0.65,0.82,0.54,0.04,0.22,0.01,0,0.34,0.12,0.06,0.03,0.37,0.1,0,0.26,0.08,0.73,0.11,0.43,0.87,0.87,0.69,0.06,0.31,0.07
