,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128,40.7128
Long,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006,-74.006
Province/State,"New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY","New York County, NY"
apparentTemperatureHigh,38.45,44.51,52.39,50.74,41.33,43.66,39.85,38.18,37,43.11,39.55,37.67,56.29,56.37,42.73,36.24,55.28,33.95,41.44,41.23,46.54,41.97,39.61,30.83,23.14,44.89,50.14,44.94,45.72,30.22,30.59,44.46,54.81,59.02,48.61,44.39,34.46,31.71,28.62,42.15,56.29,54.99,55.65,51.91,40.21,46.21,57.83,70.64,62.24,54.83,45.93,68.35,56.79,54.82,39.5
apparentTemperatureHighTime,1579726740,1579809660,1579895400,1579986900,1580064900,1580155920,1580230860,1580342220,1580414460,1580496660,1580599020,1580664660,1580763660,1580850960,1580922180,1581007920,1581093840,1581191880,1581290220,1581360240,1581450120,1581531780,1581620640,1581681600,1581793200,1581889980,1581969660,1582055580,1582142220,1582230540,1582316880,1582405740,1582488120,1582570680,1582646280,1582728840,1582819620,1582920360,1583009760,1583099520,1583177220,1583258100,1583353800,1583444580,1583508780,1583613840,1583701140,1583787300,1583870220,1583955600,1584039540,1584133860,1584218940,1584307920,1584378960
apparentTemperatureLow,25.26,32.69,30.75,31.19,29.61,33.21,27.77,15.82,28.95,33.55,30.48,30.88,38.21,35.33,31.29,32.27,23.08,24,34.13,40.02,34.93,31.37,28.26,7.89,19.3,35.55,30.8,39.25,21.65,12.48,21.13,30.94,36.55,43.31,40.84,31.12,17.94,19.41,17.61,33.58,45.8,37.27,34.43,34.84,29.89,29.2,38.75,51.56,40.36,39.86,41.23,38.11,39.3,24.86,33.88
apparentTemperatureLowTime,1579777080,1579870140,1579957200,1580039940,1580111940,1580204880,1580299440,1580385840,1580457660,1580546040,1580648280,1580715900,1580815800,1580896140,1580971440,1581043020,1581163560,1581249420,1581303660,1581379200,1581510420,1581566460,1581685200,1581765420,1581827520,1581942420,1582009560,1582108920,1582197840,1582286400,1582372440,1582458180,1582544580,1582632000,1582715520,1582808400,1582880820,1582980480,1583049600,1583134980,1583236320,1583323140,1583409420,1583495460,1583553000,1583661120,1583754660,1583841600,1583925300,1584012600,1584075420,1584186900,1584265800,1584359700,1584400980
apparentTemperatureMax,38.45,44.51,52.39,50.74,41.33,43.66,39.85,38.18,37,43.11,39.55,37.67,56.29,56.93,52.54,36.24,55.28,33.95,41.44,43.77,46.54,41.97,42.93,38.89,23.14,44.89,50.14,44.94,45.72,32.64,30.59,44.46,54.81,59.02,48.61,44.39,41.16,36.97,28.62,42.15,56.29,54.99,55.65,51.91,40.21,46.21,57.83,70.64,62.24,58.12,47.66,68.35,56.79,54.82,39.5
apparentTemperatureMaxTime,1579726740,1579809660,1579895400,1579986900,1580064900,1580155920,1580230860,1580342220,1580414460,1580496660,1580599020,1580664660,1580763660,1580863680,1580878800,1581007920,1581093840,1581191880,1581290220,1581393600,1581450120,1581531780,1581641880,1581659940,1581793200,1581889980,1581969660,1582055580,1582142220,1582246560,1582316880,1582405740,1582488120,1582570680,1582646280,1582728840,1582797480,1582945020,1583009760,1583099520,1583177220,1583258100,1583353800,1583444580,1583508780,1583613840,1583701140,1583787300,1583870220,1583899200,1583985600,1584133860,1584218940,1584307920,1584378960
