,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301,35.6301
Long,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064,-79.8064
Province/State,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina
apparentTemperatureHigh,41.82,44.5,60.48,53.9,51.75,47.56,51.86,50.76,50.97,38.83,43.93,61.08,71.45,67.05,63.24,65.33,51.3,42.01,54.72,58.75,70.74,57.88,66.42,52.34,45.32,54.49,60.64,60.53,47.75,39.6,34.23,53.98,61.34,51.94,62.75,65.37,42.95,52.56,42.4,57.96,65.8,59.02,62.61,55.64,54.35,54.07,62.71,67.5,66.54,73.28,74.75,73.51,69.78,58.33,59.1
apparentTemperatureHighTime,1579722960,1579809600,1579895880,1579981320,1580068920,1580154420,1580241600,1580327580,1580414280,1580490060,1580586900,1580673360,1580757660,1580841600,1580932620,1581009360,1581076800,1581178260,1581278040,1581363960,1581451320,1581535800,1581605400,1581709320,1581797400,1581877980,1581969180,1582056060,1582149240,1582213740,1582316520,1582401480,1582486080,1582558980,1582660320,1582744140,1582834260,1582919100,1583006340,1583092740,1583175900,1583253960,1583350920,1583434560,1583514000,1583611260,1583697300,1583782920,1583875860,1583954520,1584042600,1584129420,1584210780,1584294960,1584387960
apparentTemperatureLow,19.68,31.07,39.94,28.34,33.88,30.53,28.55,30.93,26.63,32.59,30.05,40.04,52.92,57.66,58.71,43.07,26.42,30.41,28.84,53.5,43.48,54.51,34.96,19.46,30.43,35.2,37,43,36.79,20.59,19.95,25.91,40.68,42.92,48.79,27.82,23.66,26.07,23.48,34.01,53.21,41.36,43.23,34.17,27.58,27.41,30.84,53.26,50.26,45.52,63.63,50.24,51.69,39.83,46.27
apparentTemperatureLowTime,1579774020,1579842240,1579953900,1580035620,1580119020,1580209440,1580293860,1580382720,1580471100,1580532960,1580637840,1580728500,1580813940,1580895900,1580993820,1581080400,1581152100,1581249300,1581332280,1581387720,1581508800,1581557400,1581678840,1581764220,1581837060,1581942960,1582009320,1582117200,1582196160,1582282920,1582371900,1582447800,1582520040,1582597320,1582718340,1582801560,1582889940,1582973340,1583063280,1583147100,1583218980,1583320260,1583402460,1583489940,1583578440,1583653860,1583748420,1583834100,1583927460,1584013320,1584094200,1584184080,1584270180,1584356040,1584438900
apparentTemperatureMax,41.82,44.5,60.48,53.9,51.75,47.56,51.86,50.76,50.97,38.83,43.93,61.08,71.45,67.05,63.24,65.33,59.56,42.01,54.72,58.75,70.74,60.98,66.42,52.34,45.32,54.49,60.64,60.53,56.81,40.48,34.23,53.98,61.34,51.94,62.75,65.37,42.95,52.56,42.4,57.96,65.8,59.02,62.61,55.64,54.35,54.07,62.71,67.5,66.54,73.28,74.75,73.51,69.78,58.33,59.1
apparentTemperatureMaxTime,1579722960,1579809600,1579895880,1579981320,1580068920,1580154420,1580241600,1580327580,1580414280,1580490060,1580586900,1580673360,1580757660,1580841600,1580932620,1581009360,1581061320,1581178260,1581278040,1581363960,1581451320,1581483600,1581605400,1581709320,1581797400,1581877980,1581969180,1582056060,1582092540,1582174800,1582316520,1582401480,1582486080,1582558980,1582660320,1582744140,1582834260,1582919100,1583006340,1583092740,1583175900,1583253960,1583350920,1583434560,1583514000,1583611260,1583697300,1583782920,1583875860,1583954520,1584042600,1584129420,1584210780,1584294960,1584387960
