,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289,47.5289
Long,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999,-99.78399999999999
Province/State,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota
apparentTemperatureHigh,20.5,15.95,11.33,23.08,26.12,20.22,22.55,23.73,21.77,18.56,34.09,23.31,8.06,11,12.79,4.36,-1.57,25.32,14.8,8.84,19.68,-24.76,-13.89,20.07,7.65,9.4,15.76,-12.17,-9.17,14.33,25.61,28.84,25.3,26.47,22.47,12.91,27.39,27.67,31.32,21.39,28.35,27.68,31.69,30.97,26.33,34.43,19.89,27.63,30.69,38.07,21.79,14.45,9.98,22.34,17.09
apparentTemperatureHighTime,1579722180,1579809480,1579895700,1579993020,1580043600,1580155440,1580249220,1580343120,1580414400,1580518020,1580593800,1580648400,1580766540,1580846580,1580939220,1580994000,1581112080,1581187740,1581272160,1581362040,1581458100,1581546900,1581624840,1581725280,1581790200,1581901200,1581969660,1582064100,1582148820,1582235280,1582315380,1582401360,1582488300,1582569840,1582668000,1582746960,1582840860,1582919940,1583005740,1583067600,1583186340,1583282940,1583359440,1583456280,1583525100,1583607840,1583696580,1583794680,1583870520,1583956800,1584014400,1584137940,1584222960,1584309780,1584395760
apparentTemperatureLow,8.8,1.16,-7.94,12.93,8.94,9.99,14.3,12.15,8,10.1,22.6,1.81,-3.8,-3.14,1.37,-29.89,-8.79,2.25,4.87,-1.47,-33.88,-37.98,-24.34,-0.34,-8.06,9.4,-21.62,-34.1,-26.21,6.18,10.02,13.31,7.9,7.3,1.47,-3.07,13.92,17.13,18.57,0.03,15.33,13.41,15.15,12.63,22.63,17.4,-1.12,11.17,18.04,20.29,3,-3.48,2.79,4.94,0.59
apparentTemperatureLowTime,1579788000,1579874400,1579957980,1580011020,1580111700,1580187300,1580306040,1580392500,1580479200,1580543520,1580652000,1580738400,1580799180,1580910660,1580997600,1581082320,1581123600,1581242280,1581343200,1581429600,1581516000,1581601380,1581656880,1581773700,1581841020,1581908280,1582034400,1582119660,1582174860,1582292880,1582372560,1582466400,1582552020,1582638720,1582723980,1582800780,1582892280,1582973760,1583071200,1583144340,1583242980,1583329320,1583410560,1583481660,1583585400,1583669700,1583758320,1583845200,1583899920,1584018000,1584104400,1584190800,1584251820,1584361020,1584446160
apparentTemperatureMax,20.5,15.95,13.28,23.08,26.82,20.22,22.55,23.74,21.77,20.4,34.09,30.39,11.07,11,12.79,13.41,-1.17,25.32,14.8,10.38,22.69,22.37,-13.89,20.07,21.83,11.97,19.37,-3.24,-9.17,14.33,25.61,28.84,25.3,26.47,22.47,12.91,27.39,27.67,31.32,24.94,28.35,27.68,31.69,30.97,26.33,34.43,23.23,27.63,30.69,38.07,30.76,15.04,9.98,23.17,23.91
apparentTemperatureMaxTime,1579722180,1579809480,1579845600,1579993020,1580037240,1580155440,1580249220,1580359260,1580414400,1580450400,1580593800,1580623200,1580709600,1580846580,1580939220,1580976600,1581138000,1581187740,1581272160,1581330240,1581483600,1581487200,1581624840,1581725280,1581749400,1581915600,1581925020,1582005600,1582148820,1582235280,1582315380,1582401360,1582488300,1582569840,1582668000,1582746960,1582840860,1582919940,1583005740,1583043420,1583186340,1583282940,1583359440,1583456280,1583525100,1583607840,1583647740,1583794680,1583870520,1583956800,1583992980,1584075600,1584222960,1584331200,1584335280
apparentTemperatureMin,9.14,7.96,1.15,-7.94,9.49,8.94,10.66,14.3,12.15,7.98,10.1,11.26,-2.02,-3.8,-3.14,-19.42,-29.89,1.45,2.25,4.86,-1.47,-37.05,-37.98,-24.14,-2.08,-8.06,-0.45,-24.37,-34.1,-25.32,6.18,10.02,13.27,7.9,7.3,1.47,-3.07,13.92,17.13,8.33,0.03,15.33,13.41,15.15,12.63,22.06,8.34,-1.56,11.1,18.69,16.54,2.44,-4.21,2.79,4.94
apparentTemperatureMinTime,1579701240,1579833360,1579874640,1579957980,1580095080,1580111700,1580191200,1580306040,1580392500,1580479380,1580543520,1580706000,1580792400,1580799180,1580910660,1581051600,1581082320,1581141600,1581242280,1581343440,1581429660,1581523200,1581601380,1581660000,1581823740,1581841020,1582002000,1582088400,1582119660,1582178400,1582292880,1582372560,1582467000,1582552020,1582638720,1582723980,1582800780,1582892280,1582973760,1583125200,1583144340,1583242980,1583329320,1583410560,1583481660,1583643120,1583726400,1583760900,1583846340,1583902800,1584072000,1584108780,1584194520,1584251820,1584361020
cloudCover,0.31,0.96,0.69,0.52,0.93,0.95,0.96,0.95,0.9,0.77,0.37,0.44,0.57,0.31,0.07,0.72,0.21,0.63,0.55,0.51,0.42,0.46,0.14,0.31,0.43,0.65,0.86,0.39,0.09,0.02,0.01,0.05,0.13,0.39,0.75,0.72,0.66,0.67,0.42,0.57,0.44,0.33,0.59,0.8,0.32,0.27,0.93,0.41,0.47,0.6,0.57,0.34,0.67,0.85,0.56
dewPoint,13.56,11.6,3.73,9.3,21,8.51,19.92,18.71,16.24,16.2,25.29,24.41,6.33,3.23,8.8,2.48,-17.42,13.58,12.65,13.51,14.81,-16.8,-24.54,3.23,9.51,4.31,14.66,-10.27,-21.21,0.72,14.21,17.47,20.54,14.53,13.91,7.72,12.1,20.75,25.63,22.05,19.79,23.52,26.17,26.81,23.56,25.86,19.53,7.2,21.69,28.42,24.59,10.63,6.28,17.3,17.06
humidity,0.69,0.73,0.64,0.68,0.82,0.71,0.8,0.8,0.78,0.75,0.71,0.73,0.67,0.67,0.66,0.67,0.48,0.77,0.75,0.73,0.71,0.52,0.47,0.57,0.67,0.65,0.76,0.57,0.5,0.57,0.61,0.63,0.7,0.73,0.76,0.73,0.74,0.78,0.75,0.73,0.75,0.77,0.77,0.83,0.73,0.74,0.74,0.65,0.78,0.74,0.72,0.63,0.66,0.77,0.73
icon,clear-day,cloudy,partly-cloudy-day,partly-cloudy-day,snow,cloudy,snow,cloudy,cloudy,partly-cloudy-day,partly-cloudy-day,wind,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,wind,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,rain,snow,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,snow,snow,wind,snow,wind,clear-day,cloudy,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,snow,partly-cloudy-day
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.76,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
ozone,370.6,413.6,375.2,360.9,371.4,353.2,358.9,381.1,391.9,371.5,337.4,350.6,386.4,426.6,395.9,408.1,405,386.1,416.9,405.6,418.7,439.8,422,377.1,418,412,434.8,417.3,422.9,398.9,343.6,330.3,363.4,389.5,437.3,438.9,430.8,379.5,339.2,421,405.3,412.1,400.1,411.8,337.6,329.4,338.3,385.5,405.9,368,408.9,386.6,341.2,339.5,339.4
