,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL","Okaloosa County, FL"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773,30.5773
Long,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611,-86.6611
time,1579672800,1579759200,1579845600,1579932000,1580018400,1580104800,1580191200,1580277600,1580364000,1580450400,1580536800,1580623200,1580709600,1580796000,1580882400,1580968800,1581055200,1581141600,1581228000,1581314400,1581400800,1581487200,1581573600,1581660000,1581746400,1581832800,1581919200,1582005600,1582092000,1582178400,1582264800,1582351200,1582437600,1582524000,1582610400,1582696800,1582783200,1582869600,1582956000,1583042400,1583128800,1583215200,1583301600,1583388000,1583474400,1583560800,1583647200,1583730000,1583816400,1583902800,1583989200,1584075600,1584162000,1584248400,1584334800
summary,Partly cloudy throughout the day.,Light rain starting in the afternoon.,Possible drizzle in the morning.,Clear throughout the day.,Light rain starting in the afternoon.,Light rain in the morning.,Clear throughout the day.,Light rain in the morning and afternoon.,Clear throughout the day.,Light rain in the morning and afternoon.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Rain starting in the afternoon.,Rain until evening.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Possible drizzle in the morning.,Possible drizzle overnight.,Rain in the morning.,Clear throughout the day.,Clear throughout the day.,Light rain in the morning and afternoon.,Overcast throughout the day.,Overcast throughout the day.,Mostly cloudy throughout the day.,Rain until evening.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Rain throughout the day.,Rain in the morning.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Possible light rain overnight.,Rain throughout the day.,Rain in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.
icon,partly-cloudy-day,rain,rain,clear-day,rain,rain,clear-day,rain,partly-cloudy-day,rain,rain,clear-day,clear-day,partly-cloudy-day,rain,rain,clear-day,clear-day,clear-day,rain,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,rain,partly-cloudy-day,clear-day,clear-day,rain,rain,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day
sunriseTime,1579697040,1579783440,1579869780,1579956180,1580042520,1580128920,1580215260,1580301660,1580388000,1580474400,1580560740,1580647140,1580733480,1580819820,1580906220,1580992560,1581078900,1581165300,1581251640,1581337980,1581424320,1581510660,1581597000,1581683400,1581769740,1581856080,1581942420,1582028760,1582115100,1582201440,1582287780,1582374120,1582460460,1582546800,1582633140,1582719480,1582805820,1582892160,1582978500,1583064780,1583151120,1583237460,1583323800,1583410140,1583496480,1583582820,1583669100,1583755440,1583841780,1583928120,1584014460,1584100740,1584187080,1584273420,1584359760
sunsetTime,1579734900,1579821360,1579907760,1579994220,1580080680,1580167140,1580253600,1580340060,1580426520,1580512980,1580599440,1580685900,1580772300,1580858760,1580945220,1581031680,1581118140,1581204600,1581291060,1581377460,1581463920,1581550380,1581636840,1581723300,1581809760,1581896160,1581982620,1582069080,1582155540,1582242000,1582328400,1582414860,1582501320,1582587780,1582674180,1582760640,1582847100,1582933560,1583019960,1583106420,1583192880,1583279280,1583365740,1583452200,1583538660,1583625060,1583711520,1583797920,1583884380,1583970840,1584057240,1584143700,1584230160,1584316560,1584403020
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.76,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
