,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908,40.5908
Long,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098,-77.2098
Province/State,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania
apparentTemperatureHigh,36.2,36.02,43.13,38.75,32.57,34.46,35.42,37.45,36.46,40.35,40.18,39.45,60.97,60.01,34.52,37.86,35.81,32.54,40.07,42.94,47.04,41.61,39.95,19.21,25.37,43.38,49.53,45.92,38.44,30.7,31.8,51.57,55.95,57.47,48.19,50.82,22,29.74,22.59,42.73,62.3,50.92,55.29,52.57,42.82,44.81,60.97,71.02,63.2,51.09,58.1,61.44,53.74,51.7,51.85
apparentTemperatureHighTime,1579722720,1579809360,1579893480,1579981920,1580054640,1580144460,1580240340,1580327520,1580410860,1580500380,1580586660,1580680800,1580760000,1580843880,1580927940,1581020040,1581076800,1581206400,1581277860,1581358200,1581448920,1581536640,1581616200,1581708360,1581798240,1581883260,1581969000,1582052880,1582140900,1582223280,1582315380,1582400460,1582487520,1582574040,1582655040,1582745160,1582822080,1582919640,1583006040,1583093580,1583176560,1583274240,1583351700,1583438400,1583524740,1583611080,1583697720,1583782500,1583867100,1583955120,1584042840,1584122820,1584211080,1584302160,1584387000
apparentTemperatureLow,16.1,25.01,29.57,28.33,27.96,27.02,23.98,15.19,25.36,29.24,27.24,34.41,40.91,28.09,26.92,32.55,19.54,29.24,32.04,40.27,28.27,30.42,13.94,9.37,19.74,27.39,30.11,25.6,21.94,10.23,19.02,24.52,28.13,37.5,41.39,19.04,14.6,12.15,16.36,25.08,41.22,33.06,29.1,28.76,22.94,26.01,32.72,47.7,31.25,36.72,43.51,31.81,32.75,24.41,34.46
apparentTemperatureLowTime,1579777380,1579853040,1579943460,1580036400,1580100840,1580208420,1580294940,1580384400,1580446740,1580532120,1580640600,1580727300,1580803020,1580899380,1580971680,1581034740,1581137640,1581247980,1581309420,1581414060,1581507420,1581577140,1581685200,1581771600,1581822420,1581928740,1582023180,1582110720,1582197900,1582281960,1582358340,1582440480,1582534740,1582631100,1582711080,1582806060,1582887060,1582974180,1583038380,1583135220,1583233080,1583319180,1583408340,1583494560,1583578620,1583667840,1583753160,1583826360,1583924040,1583993340,1584086460,1584184680,1584269760,1584356280,1584441180
apparentTemperatureMax,36.2,36.02,43.13,38.75,32.57,34.46,35.42,37.45,36.46,40.35,40.18,39.45,60.97,60.01,35.66,37.86,38.87,32.56,40.07,43.02,47.04,41.61,39.95,28.14,25.37,43.38,49.53,45.92,38.44,30.7,31.8,51.57,55.95,57.47,48.19,50.82,38.07,29.74,22.59,42.73,62.3,50.92,55.29,52.57,42.82,44.81,60.97,71.02,63.2,51.09,58.1,61.44,53.74,51.7,51.85
apparentTemperatureMaxTime,1579722720,1579809360,1579893480,1579981920,1580054640,1580144460,1580240340,1580327520,1580410860,1580500380,1580586660,1580680800,1580760000,1580843880,1580878800,1581020040,1581069120,1581206760,1581277860,1581386700,1581448920,1581536640,1581616200,1581659400,1581798240,1581883260,1581969000,1582052880,1582140900,1582223280,1582315380,1582400460,1582487520,1582574040,1582655040,1582745160,1582779600,1582919640,1583006040,1583093580,1583176560,1583274240,1583351700,1583438400,1583524740,1583611080,1583697720,1583782500,1583867100,1583955120,1584042840,1584122820,1584211080,1584302160,1584387000
